k,h,E,F,M_x,M_z,M_x_nh,M_z_nh
0.0,0.0,0.0,1.0,0j,0j,0j,0j
0.030303030303030304,0.0,0.06060606060606086,1.0,(0.9999999999999998+0j),(-1.5916087892087203e-16+2.7755575615628907e-17j),(1+7.888609052210117e-30j),(-1.45283091113057e-16-2.7755575615627804e-17j)
0.06060606060606061,0.0,0.12121212121212108,1.0000000000000002,(0.9999999999999998+0j),(-8.326672684688594e-17+2.7755575615628907e-17j),(1-5.423418723394455e-31j),(-8.326672684688646e-17+1.3877787807814443e-17j)
0.09090909090909091,0.0,0.18181818181818143,1.0000000000000002,(1-1.2325951644078304e-32j),(-6.938893903907214e-17+2.77555756156289e-17j),(1+1.331202777560457e-30j),(-1.0408340855860823e-16+5.551115123125785e-17j)
0.12121212121212122,0.0,0.24242424242424265,1.0,(1+3.081487911019576e-33j),(2.0122792321330962e-16+0j),(1-2.958228394578793e-31j),(1.0668549377257362e-16+5.5511151231257735e-17j)
0.15151515151515152,0.0,0.30303030303030276,0.9999999999999998,(-0.9999999999999998+0j),(1.630640067418199e-16+0j),(-1.0000000000000002+4.930380657631323e-31j),(1.9081958235744878e-16+1.1102230246251553e-16j)
0.18181818181818182,0.0,0.3636363636363635,1.0,(1+0j),(1.1102230246251575e-16+5.551115123125783e-17j),(1.0000000000000002+5.9164567891575885e-31j),(5.551115123125786e-17-4.163336342344333e-17j)
0.21212121212121213,0.0,0.4242424242424242,1.0,(-0.9999999999999998-1.2325951644078304e-32j),(-1.1102230246251575e-16-2.77555756156289e-17j),(-0.9999999999999998+2.4651903288156615e-31j),(-1.8041124150158799e-16-8.326672684688679e-17j)
0.24242424242424243,0.0,0.4848484848484843,1.0,(-0.9999999999999999+0j),(-5.5511151231257716e-17+2.7755575615628914e-17j),(-1+7.888609052210118e-31j),(1.1517061067435675e-31+1.249000902703301e-16j)
0.2727272727272727,0.0,0.5454545454545454,1.0,(-1+0j),(2.498001805406603e-16-2.7755575615628914e-17j),(-1-6.162975822039155e-32j),(5.55111512312578e-17-1.6653345369377348e-16j)
0.30303030303030304,0.0,0.6060606060606061,1.0000000000000002,(1+0j),(5.551115123125786e-17+0j),(0.9999999999999998+1.972152263052529e-31j),(-4.163336342344336e-17+2.0222264416065966e-32j)
0.33333333333333337,0.0,0.6666666666666671,0.9999999999999998,(-0.9999999999999999+0j),(-8.326672684688668e-17+0j),(-1.0000000000000002+5.54667823983524e-32j),(1.1102230246251564e-16+5.551115123125783e-17j)
