k,h,E
0.0,0.0,0.0
0.010101010101010102,0.0,0.020202020202020138
0.020202020202020204,0.0,0.04040404040404032
0.030303030303030304,0.0,0.06060606060606072
0.04040404040404041,0.0,0.08080808080808083
0.05050505050505051,0.0,0.10101010101010101
0.06060606060606061,0.0,0.12121212121212119
0.07070707070707072,0.0,0.14141414141414146
0.08080808080808081,0.0,0.16161616161616169
0.09090909090909091,0.0,0.1818181818181819
0.10101010101010102,0.0,0.202020202020202
0.11111111111111112,0.0,0.22222222222222215
0.12121212121212122,0.0,0.24242424242424263
0.13131313131313133,0.0,0.2626262626262626
0.14141414141414144,0.0,0.282828282828283
0.15151515151515152,0.0,0.30303030303030304
0.16161616161616163,0.0,0.3232323232323232
0.17171717171717174,0.0,0.3434343434343435
0.18181818181818182,0.0,0.36363636363636365
0.19191919191919193,0.0,0.3838383838383838
0.20202020202020204,0.0,0.40404040404040426
0.21212121212121213,0.0,0.4242424242424244
0.22222222222222224,0.0,0.4444444444444445
0.23232323232323235,0.0,0.4646464646464647
0.24242424242424243,0.0,0.48484848484848486
0.25252525252525254,0.0,0.5050505050505052
0.26262626262626265,0.0,0.5252525252525252
0.27272727272727276,0.0,0.5454545454545454
0.2828282828282829,0.0,0.5656565656565656
0.29292929292929293,0.0,0.5858585858585859
0.30303030303030304,0.0,0.6060606060606062
0.31313131313131315,0.0,0.6262626262626266
0.32323232323232326,0.0,0.6464646464646465
0.33333333333333337,0.0,0.6666666666666669
0.3434343434343435,0.0,0.686868686868687
0.3535353535353536,0.0,0.7070707070707073
0.36363636363636365,0.0,0.7272727272727273
0.37373737373737376,0.0,0.7474747474747471
0.38383838383838387,0.0,0.7676767676767677
0.393939393939394,0.0,0.7878787878787885
0.4040404040404041,0.0,0.8080808080808075
0.4141414141414142,0.0,0.8282828282828285
0.42424242424242425,0.0,0.8484848484848485
0.43434343434343436,0.0,0.8686868686868688
0.4444444444444445,0.0,0.8888888888888888
0.4545454545454546,0.0,0.9090909090909094
0.4646464646464647,0.0,0.9292929292929294
0.4747474747474748,0.0,0.9494949494949497
0.48484848484848486,0.0,0.9696969696969697
0.494949494949495,0.0,0.98989898989899
0.5050505050505051,0.0,1.0101010101010104
0.5151515151515152,0.0,1.030303030303031
0.5252525252525253,0.0,1.0505050505050506
0.5353535353535354,0.0,1.0707070707070707
0.5454545454545455,0.0,1.090909090909091
0.5555555555555556,0.0,1.111111111111111
