k,h,E,F,M_x,M_z
-2.121212121212121j,0.0,0.0,3.6685561036843106e-32,(1.8953619686378414e-16-3.5255200110330826e-34j),(-1.4135401763041585e-16-1.4902485384580867e-32j)
-2.1515151515151514j,0.0,0.0,1.0232243091057082e-32,(1.539462135545317e-17+2.381557924381325e-34j),(-4.850148182057017e-17-3.5095725262204275e-33j)
-2.1818181818181817j,0.0,0.0,3.52776910794439e-32,(7.159683320009463e-17-1.0576952190179958e-32j),(5.741718197212216e-18+6.166031055384155e-33j)
-2.2121212121212124j,0.0,0.0,2.1468051318324295e-34,(-1.920901591161257e-17-4.528011868931496e-33j),(-2.7084973782819035e-17-2.0881048149863414e-33j)
-2.2424242424242427j,0.0,0.0,1.6380705706115662e-32,(6.50515112534673e-17+7.059986344879139e-33j),(-8.846719637984105e-17-2.959338790722769e-33j)
-2.272727272727273j,0.0,0.0,2.3444772086724088e-32,(2.5691091306687448e-17+1.7365291497079585e-33j),(-1.5617005512165556e-17-1.0437086956890807e-33j)
-2.303030303030303j,0.0,0.0,1.281995589340137e-32,(2.7079959102128547e-17+4.5303877038495466e-33j),(1.4436481189271832e-17-9.008381164163166e-33j)
-2.3333333333333335j,0.0,0.0,3.8354195242463256e-32,(-1.6627626136902233e-17-4.903377656050547e-33j),(-1.2970038725455904e-17+5.090653019575781e-34j)
-2.3636363636363638j,0.0,0.0,7.660589957239361e-32,(-1.7018514419180913e-17+2.484373183526545e-33j),(2.1140657102874042e-17-2.0021707009632606e-33j)
-2.393939393939394j,0.0,0.0,1.9487151742325861e-32,(-1.6120853451087036e-17-4.677377600170178e-33j),(-4.203831302847961e-18+4.541125565226532e-33j)
-2.4242424242424243j,0.0,0.0,5.696750893397813e-32,(-3.2072126134424496e-17+8.438529083821325e-33j),(1.2907494889288965e-16-4.1084114640724564e-33j)
-2.4545454545454546j,0.0,0.0,1.3192995052523788e-33,(1.4054957524887456e-16-7.370791567260832e-33j),(2.0476128393931361e-16-4.772671942051408e-33j)
-2.484848484848485j,0.0,0.0,3.0026843274976787e-33,(4.378057724107147e-17+1.4000105679868848e-33j),(-2.7048795182704264e-17-2.9602661048593097e-33j)
-2.515151515151515j,0.0,0.0,5.328887987159104e-34,(4.806088699167285e-17+2.9918499055609354e-32j),(-2.956024124505262e-16-1.9738660245900544e-32j)
-2.5454545454545454j,0.0,0.0,2.37018099713805e-33,(-2.0820965327219732e-17+1.6903802335601553e-33j),(1.5746101767514586e-17+6.1802686556656256e-34j)
-2.5757575757575757j,0.0,0.0,4.2244692497380424e-33,(-3.3390818857139383e-17-4.238458294431912e-33j),(3.794955887902123e-17-3.671577355310014e-33j)
-2.606060606060606j,0.0,0.0,1.3432278789134909e-33,(-1.3555946145952698e-16+3.3710939129984794e-33j),(-5.635171739160196e-17-2.2813903559328872e-32j)
-2.6363636363636362j,0.0,0.0,6.96948201368172e-33,(1.4126503302462064e-16-2.1095274076586313e-32j),(-8.308736799583896e-17-3.878641198153116e-33j)
-2.666666666666667j,0.0,0.0,3.113917476042349e-33,(2.8840578479334605e-17-3.71088281309591e-33j),(2.450761096196906e-17+1.4073325000183994e-33j)
-2.6969696969696972j,0.0,0.0,3.323898443168787e-33,(1.5199285032634444e-17-1.3283575897290188e-33j),(1.219043656199424e-17-8.054594977998732e-34j)
-2.7272727272727275j,0.0,0.0,7.567007838001342e-32,(1.5384796446096616e-16+6.523972815126705e-34j),(-5.159340731097879e-17+3.6197403301215484e-33j)
-2.757575757575758j,0.0,0.0,6.710404455511318e-33,(-3.2168687585590997e-16-9.881630903891353e-33j),(1.1043740982044845e-16+3.314569196698004e-32j)
-2.787878787878788j,0.0,0.0,3.568146897673364e-34,(9.49930646728501e-18-1.1539440661524526e-33j),(4.213310308763978e-18+1.376286758866978e-33j)
-2.8181818181818183j,0.0,0.0,7.603450348477541e-32,(-3.0750704715886484e-19+2.2240168104567223e-33j),(3.7024282883738874e-17-3.2650025573302953e-34j)
-2.8484848484848486j,0.0,0.0,2.0755201948507455e-32,(2.2119145421148852e-16+7.366543241230687e-33j),(1.254693717556696e-16+3.945711844400184e-33j)
-2.878787878787879j,0.0,0.0,1.909946146056267e-32,(2.573916162158443e-18+1.707159167200699e-33j),(-2.8174851289197474e-18-1.150298464989497e-33j)
-2.909090909090909j,0.0,0.0,2.31443376715272e-32,(3.8757140490868674e-16-3.197651426348739e-33j),(-4.1083577029990095e-19-6.916105884254992e-32j)
-2.9393939393939394j,0.0,0.0,2.9480017649102963e-32,(-2.7940352944921236e-16+5.5942521642477525e-34j),(-2.657980530270625e-17-1.424674152783528e-32j)
-2.9696969696969697j,0.0,0.0,4.5791933232116315e-33,(1.18056122547298e-16+8.276049809076992e-33j),(-1.5516694407506515e-16+8.244561279686934e-33j)
-3j,0.0,0.0,2.2999000456109343e-32,(1.7702803848626186e-16-7.234764304141152e-32j),(2.802414909970781e-16-6.292002110265479e-33j)
-0j,0.030303030303030304,0.0,0.9999958455437393,(0.03031696277674516-1.7759993297322344e-19j),(9.375864242516113e-15+2.6020852139652106e-18j)
-0.030303030303030304j,0.030303030303030304,0.0,1.2373131999152383e-23,(0.029423043289304396-1.6166361818574119e-18j),(-3.676768632503223e-17+4.68491408802622e-18j)
-0.06060606060606061j,0.030303030303030304,0.0,1.9552103921102675e-24,(0.028580574976579027-7.017116956327467e-19j),(9.894330491991219e-17-6.007780720489617e-19j)
-0.09090909090909091j,0.030303030303030304,0.0,5.134868925403878e-25,(0.027785199997526305+1.3318928375923324e-20j),(1.6344598210103835e-18-6.3513796368986695e-18j)
-0.12121212121212122j,0.030303030303030304,0.0,1.6869128134813215e-25,(0.027033046989768526-8.946587319364302e-20j),(-1.1494469624927389e-17-1.8362136111602786e-18j)
-0.15151515151515152j,0.030303030303030304,0.0,6.265034432523675e-26,(0.026320663231319784-4.0446282659114747e-19j),(4.3177861734735314e-17-2.9289370093349666e-18j)
-0.18181818181818182j,0.030303030303030304,0.0,2.5585746156520907e-26,(0.025644958320526025-2.893288750876274e-19j),(-1.2113457849160215e-16-6.726868972858125e-18j)
-0.21212121212121213j,0.030303030303030304,0.0,1.11895426215878e-26,(0.025003157007875337-6.275315484262308e-20j),(-2.5843356454984204e-16+3.523943434294443e-18j)
-0.24242424242424243j,0.030303030303030304,0.0,5.180390980143594e-27,(0.02439275941087779+2.4496222966565064e-18j),(-7.562589579711379e-18+1.6829362718411726e-18j)
-0.2727272727272727j,0.030303030303030304,0.0,2.5102651433476294e-27,(0.023811507246061205+1.5084065388075056e-18j),(-4.415851712930518e-16+2.8549745323214262e-18j)
-0.30303030303030304j,0.030303030303030304,0.0,1.2656824074742676e-27,(0.023257355007902512-2.655600544187708e-19j),(1.729265276466978e-16-6.292799067236442e-19j)
-0.33333333333333337j,0.030303030303030304,0.0,6.601995269971086e-28,(0.022728445245941833+1.1701902429748237e-19j),(1.0224031073042833e-16-1.761418482594181e-18j)
-0.36363636363636365j,0.030303030303030304,0.0,3.544065046875329e-28,(0.022223087259888256+5.492086508008356e-19j),(-3.7849098118254485e-17-3.3813107731552517e-19j)
-0.3939393939393939j,0.030303030303030304,0.0,1.9634317978455653e-28,(0.02173973866264468-5.886658109413369e-19j),(-1.3949380735781988e-16-1.2492930851141124e-18j)
-0.42424242424242425j,0.030303030303030304,0.0,1.1080353981341828e-28,(0.021276989362836708+6.763285069825348e-20j),(-5.813776012356458e-18+3.167113134104424e-19j)
-0.4545454545454546j,0.030303030303030304,0.0,6.392953193186629e-29,(0.02083354759871158+2.081525138088633e-19j),(-1.9841100097630596e-16-1.9545590538245277e-18j)
-0.48484848484848486j,0.030303030303030304,0.0,3.770589100873809e-29,(0.0204082277192434-1.6684034774598313e-18j),(-3.5210283615006145e-16-3.276087300967709e-18j)
-0.5151515151515151j,0.030303030303030304,0.0,2.2646045009637094e-29,(0.019999939459681818-1.0426158991548384e-18j),(-2.9495237253255457e-16-1.5391022021384729e-18j)
-0.5454545454545454j,0.030303030303030304,0.0,1.383888552920128e-29,(0.019607678500381965+2.321317437388807e-19j),(-3.0239798357578294e-16+1.2630980506081883e-18j)
-0.5757575757575758j,0.030303030303030304,0.0,8.61192630850998e-30,(0.019230518131651043+8.89229754375673e-19j),(-1.869484410218421e-17-3.191233333176736e-18j)
-0.6060606060606061j,0.030303030303030304,0.0,5.393830735936597e-30,(0.018867601875135864+1.5018274900669927e-18j),(3.707029827054296e-16+3.3683173704358155e-18j)
-0.6363636363636364j,0.030303030303030304,0.0,3.424836131176649e-30,(0.018518136935174193+6.89403822220455e-19j),(5.162763607118931e-17+5.556680990517225e-18j)
-0.6666666666666667j,0.030303030303030304,0.0,2.2075437388067885e-30,(0.01818138837249854+8.874134113887721e-19j),(1.7474767593251946e-16+3.671232709422367e-18j)
-0.696969696969697j,0.030303030303030304,0.0,1.4625147137375098e-30,(0.017856673908485752+2.57385775326347e-19j),(2.5246502168194246e-16+1.6615915094419723e-18j)
-0.7272727272727273j,0.030303030303030304,0.0,9.548473427010034e-31,(0.017543359281337465+8.544255750465262e-21j),(-4.9433973350811726e-17+2.793720445020644e-18j)
-0.7575757575757576j,0.030303030303030304,0.0,6.737429164312923e-31,(0.017240854086656945+8.390962363055955e-19j),(-4.2465752330769987e-16-7.806878439192634e-19j)
-0.7878787878787878j,0.030303030303030304,0.0,4.495992433220411e-31,(0.016948608044245448+2.4667874252171685e-19j),(2.540494763356404e-16-1.1012558500336773e-18j)
-0.8181818181818182j,0.030303030303030304,0.0,2.995818384092914e-31,(0.01666610764080613+1.3922285747158662e-19j),(9.345680216217901e-17-4.132390618404302e-18j)
-0.8484848484848485j,0.030303030303030304,0.0,1.9399512523740685e-31,(0.016392873104991275-6.097593516276318e-19j),(1.6993796331445723e-17-1.3658799475885402e-19j)
-0.8787878787878788j,0.030303030303030304,0.0,1.4288737606466814e-31,(0.016128455676897413+1.0770302088203086e-19j),(1.7905598727529906e-16+4.771228878390831e-19j)
-0.9090909090909092j,0.030303030303030304,0.0,1.0165350293130706e-31,(0.015872435139012295-7.289221779672443e-20j),(5.341112312070024e-17+1.1828524521667374e-18j)
-0.9393939393939394j,0.030303030303030304,0.0,7.445739969748186e-32,(0.015624417579786337+5.4643799057601e-19j),(-1.5005501627597044e-16+8.515404084601021e-19j)
-0.9696969696969697j,0.030303030303030304,0.0,4.519618937903463e-32,(0.015384033364592091-2.25837143332381e-19j),(1.2940634898014488e-16-2.294469284552936e-21j)
-1j,0.030303030303030304,0.0,4.8743143860817984e-32,(0.015150935291928314-4.243440788422706e-20j),(4.621367086000852e-16+9.124725161937591e-19j)
-1.0303030303030303j,0.030303030303030304,0.0,2.2234834309548029e-32,(0.014924796915389796+8.309757100025527e-20j),(3.5189382536289257e-16-1.9690053443970653e-19j)
-1.0606060606060606j,0.030303030303030304,0.0,1.9752108211778495e-32,(0.014705311014234399-6.656424216911936e-19j),(-8.552928152284775e-17-1.3303979638911713e-19j)
-1.0909090909090908j,0.030303030303030304,0.0,1.0658807979065905e-32,(0.014492188197403643-7.153733903695622e-19j),(1.898537451712525e-16-3.3450921247174478e-18j)
-1.1212121212121213j,0.030303030303030304,0.0,7.980922305448852e-33,(0.0142851556275724+1.0267514948861005e-18j),(-1.5666132335199021e-16-2.509703343368022e-18j)
-1.1515151515151516j,0.030303030303030304,0.0,1.1024763775151905e-33,(0.014083955853342408-1.2037646930113343e-19j),(1.3282699433423123e-16-1.9388763868998176e-18j)
-1.1818181818181819j,0.030303030303030304,0.0,5.6193930168128525e-33,(0.013888345739028325-2.6274419215802436e-19j),(7.357318617108751e-16-4.060409330708705e-18j)
-1.2121212121212122j,0.030303030303030304,0.0,2.2197983104845087e-33,(0.013698095482614251-1.2040986086539748e-18j),(-4.4708943801347205e-17-1.2312309925809607e-18j)
-1.2424242424242424j,0.030303030303030304,0.0,1.9623257221066053e-32,(0.013512987713552574+3.0349478954735794e-19j),(-4.1460456481292444e-16+2.6611562639706982e-19j)
-1.2727272727272727j,0.030303030303030304,0.0,1.0148822818679312e-32,(0.013332816662872934-7.574796164689131e-20j),(-2.313783584282832e-16-4.614490234676671e-18j)
-1.303030303030303j,0.030303030303030304,0.0,9.893411721463278e-34,(0.01315738739897111-2.5339199257679687e-19j),(4.4396821331568234e-16-4.962681048147622e-18j)
-1.3333333333333335j,0.030303030303030304,0.0,1.1030980790400524e-32,(0.012986515123044594+4.15658096733942e-21j),(3.226021338699408e-16-2.2437205989635776e-18j)
-1.3636363636363638j,0.030303030303030304,0.0,1.3002998760948179e-33,(0.012820024518841169+2.3574612799349144e-19j),(-6.724982604703188e-16-2.483333917964083e-18j)
-1.393939393939394j,0.030303030303030304,0.0,1.283211595674478e-32,(0.012657749151870564-3.529719436815192e-20j),(9.214687439919348e-17-2.006408088488957e-18j)
-1.4242424242424243j,0.030303030303030304,0.0,1.9877705222577684e-33,(0.01249953091375428-1.841961498209117e-19j),(-7.039813221666203e-17-6.984039431987743e-19j)
-1.4545454545454546j,0.030303030303030304,0.0,1.1247314794034874e-33,(0.01234521950778953+2.9080643416405e-21j),(-2.6263894513650105e-17-2.01919841960874e-18j)
-1.4848484848484849j,0.030303030303030304,0.0,9.716571179672016e-33,(0.012194671972221034+4.2931011491725435e-20j),(2.1842591005196265e-17-3.476596444843015e-18j)
-1.5151515151515151j,0.030303030303030304,0.0,5.196006891672558e-33,(0.012047752238016048+3.605479800168234e-20j),(-3.022823309757737e-16-1.9844256619282056e-18j)
-1.5454545454545454j,0.030303030303030304,0.0,3.4114170567148226e-33,(0.011904330718266054-1.1314624401391155e-18j),(3.986001378243581e-16-4.542021075917184e-19j)
-1.5757575757575757j,0.030303030303030304,0.0,2.8913841097819072e-33,(0.01176428392660893-5.096912886610792e-19j),(4.928975968820001e-16-4.629353477667877e-18j)
-1.6060606060606062j,0.030303030303030304,0.0,1.715251538051329e-33,(0.011627494122307572-9.985460876601111e-20j),(6.346899078363377e-17+1.5442394761552002e-18j)
-1.6363636363636365j,0.030303030303030304,0.0,7.406996734028028e-33,(0.01149384897982364+4.275140978356897e-19j),(5.352250604371853e-16+2.598376688432961e-18j)
-1.6666666666666667j,0.030303030303030304,0.0,6.481620169693507e-34,(0.011363241280952424-1.715365990656156e-19j),(1.7680081425591855e-17-1.2011718486613833e-18j)
-1.696969696969697j,0.030303030303030304,0.0,6.558269194993746e-33,(0.011235568627728728-1.334716237306547e-20j),(-2.0262329110083626e-16+1.3449885958143027e-18j)
-1.7272727272727273j,0.030303030303030304,0.0,4.0436111750678227e-32,(0.01111073317448709-2.1273045772924615e-19j),(1.4129286084450218e-16-4.246249498241201e-19j)
-1.7575757575757576j,0.030303030303030304,0.0,1.5448496364999506e-32,(0.010988641377611047-9.34128257720478e-21j),(3.7311075816234687e-16-2.8444771552368963e-18j)
-1.7878787878787878j,0.030303030303030304,0.0,1.2774129031897873e-33,(0.01086920376160948+1.3151531086145785e-19j),(5.304225667366904e-16+1.0341812509001245e-18j)
-1.8181818181818183j,0.030303030303030304,0.0,3.666672646778932e-33,(0.01075233470030108-1.382311450723344e-19j),(-5.767667974679541e-17+1.0150696111919234e-18j)
-1.8484848484848486j,0.030303030303030304,0.0,5.453386267511733e-34,(0.010637952211974399-1.1048317764839232e-20j),(-1.494318671376507e-16-1.5978415774003388e-18j)
-1.878787878787879j,0.030303030303030304,0.0,9.289028926675052e-33,(0.010525977767495323-1.9435345722456284e-19j),(-3.8616230081414797e-16+1.937706761018251e-18j)
-1.9090909090909092j,0.030303030303030304,0.0,5.736585469144444e-34,(0.010416336110414228+6.771060399499872e-20j),(-4.9561464182023366e-17+2.825305241218215e-18j)
-1.9393939393939394j,0.030303030303030304,0.0,1.4220225506626228e-32,(0.0103089550882083+2.586605856002011e-20j),(2.1125856722203055e-16+3.189879218295479e-19j)
-1.9696969696969697j,0.030303030303030304,0.0,5.611353632480012e-33,(0.010203765493865072-6.229089618948448e-20j),(-2.906938323906208e-16-4.1085395012857727e-19j)
-2j,0.030303030303030304,0.0,3.981106755594143e-33,(0.010100700917064744-2.41480835857866e-19j),(-2.1047042008568488e-16+1.236645925474279e-18j)
-2.0303030303030303j,0.030303030303030304,0.0,1.3592204724483086e-32,(0.009999697604307935-2.060440088318273e-19j),(1.3380040531088707e-17-2.524903072412331e-18j)
