k,h,E
-3.0,-3.0,13.103716988262633
-2.9393939393939394,-3.0,12.396330689633418
-2.878787878787879,-3.0,11.690887274846013
-2.8181818181818183,-3.0,10.987213169873316
-2.757575757575758,-3.0,10.285075237546925
-2.696969696969697,-3.0,9.584191856554524
-2.6363636363636362,-3.0,8.884258326916823
-2.5757575757575757,-3.0,8.184976415277578
-2.515151515151515,-3.0,7.48603541320597
-2.4545454545454546,-3.0,6.786946150478831
-2.393939393939394,-3.0,6.086686317465883
-2.333333333333333,-3.0,5.383445933961227
-2.2727272727272725,-3.0,4.675346339767929
-2.212121212121212,-3.0,3.9628297747349635
-2.1515151515151514,-3.0,3.2487646643828043
-2.090909090909091,-3.0,2.524568548548096
-2.0303030303030303,-3.0,1.7501692684012102
-1.9696969696969697,-3.0,0.96177396678668
-1.9090909090909092,-3.0,2.0816671653205436e-14
-1.8484848484848484,-3.0,0.0
-1.7878787878787878,-3.0,2.92730480912845e-14
-1.7272727272727273,-3.0,1.7271730194985233e-14
-1.6666666666666665,-3.0,0.0
-1.606060606060606,-3.0,1.8190104840476544e-14
-1.5454545454545454,-3.0,0.0
-1.4848484848484849,-3.0,0.0
-1.4242424242424243,-3.0,1.5445738613179673e-14
-1.3636363636363635,-3.0,1.975755245605438e-14
-1.303030303030303,-3.0,0.0
-1.2424242424242424,-3.0,0.0
-1.1818181818181817,-3.0,0.0
-1.121212121212121,-3.0,0.0
-1.0606060606060606,-3.0,0.0
-1.0,-3.0,0.0
-0.9393939393939394,-3.0,0.0
-0.8787878787878789,-3.0,1.1429265016821283e-14
-0.8181818181818183,-3.0,0.0
-0.7575757575757573,-3.0,1.1862548596576724e-14
-0.6969696969696968,-3.0,0.0
-0.6363636363636362,-3.0,0.0
-0.5757575757575757,-3.0,0.0
-0.5151515151515151,-3.0,0.0
-0.4545454545454546,-3.0,0.0
-0.39393939393939403,-3.0,0.0
-0.33333333333333304,-3.0,0.0
-0.2727272727272725,-3.0,0.0
-0.21212121212121193,-3.0,0.0
-0.15151515151515138,-3.0,0.0
-0.09090909090909083,-3.0,0.0
-0.030303030303030276,-3.0,0.0
0.030303030303030276,-3.0,0.0
0.09090909090909083,-3.0,0.0
0.15151515151515138,-3.0,0.0
0.21212121212121238,-3.0,0.0
0.27272727272727293,-3.0,0.0
0.3333333333333335,-3.0,0.0
0.39393939393939403,-3.0,0.0
0.4545454545454546,-3.0,0.0
0.5151515151515151,-3.0,0.0
0.5757575757575757,-3.0,0.0
0.6363636363636367,-3.0,0.0
0.6969696969696972,-3.0,0.0
