N,h,k,energy,variance
8,2.75,0.25,-176.87488280100453 - 3.9834871490285195e-7im,0.011720988288288936
4,2.75,0.25,-44.23472435036226 - 5.345029974179738e-14im,-6.969003152335063e-10
5,2.75,0.25,-69.09636161996806 - 2.027031320572803e-12im,-3.865352482534945e-10
6,2.75,0.25,-99.49359071722111 + 2.55757059974826e-9im,1.0030656994786114e-5
