N,h,k,energy,variance
4,2.75,0.25,-44.23472435036214 - 1.432187701766452e-14im,-7.082689990056679e-10
5,2.75,0.25,-69.09636161926029 - 8.526512829121202e-14im,-5.185938789509237e-9
6,2.75,0.25,-99.49359069132706 - 3.800975645340543e-10im,1.1408810678403825e-6
