N,h,k,energy,variance
4,2.75,0.25,-44.2347243503623 - 1.787459069646502e-14im,-7.125890988390893e-10
5,2.75,0.25,-69.0963616238325 - 4.3490037959781347e-13im,8.827737474348396e-8
6,2.75,0.25,-99.49359047807782 + 3.483074939580888e-10im,6.489178304036614e-5
8,2.75,0.25,-176.87474027646851 - 1.6852122408650416e-7im,0.025463854890404036
