N,h,k,energy,variance
4,0.5,1.0,-16.793268567009996 - 15.59985360072885im,-3.184368324582465e-10
5,0.5,1.0,-26.239481689032225 - 24.37477112058344im,-1.532498572487384e-9
6,0.5,1.0,-37.78485367312368 - 35.09967059417691im,2.188089638366364e-7
8,0.5,1.0,-67.17376513293333 - 62.39910740328827im,0.003360270377015695
