N,h,k,energy,variance
4,0.5,1.0,-16.793268567008447 + 15.599853600727466im,-3.119566827081144e-10
5,0.5,1.0,-26.239481689991592 + 24.374771118767004im,-1.737134880386293e-9
6,0.5,1.0,-37.784853627424965 + 35.09967042834623im,-6.763457349734381e-9
8,0.5,1.0,-67.17307352497542 - 62.399414970504125im,8.882689144229516e-7
