N,h,k,energy,variance
4,2.75,0.25,-44.23472435140244 - 4.325377133285874e-15im,2.2740844087820733e-6
5,2.75,0.25,-69.09636590624832 - 1.5725589358472902e-8im,0.0013927535037510097
6,2.75,0.25,-99.49372283900804 + 6.052662072930648e-6im,0.02608569571384578
8,2.75,0.25,-176.7816199809472 - 4.049836724306921e-7im,1.0438650812320702
