ks,hs,Gs_exact,E_estimate
0.25,1.5,(-13.442636109839427-4.836252182719927e-15j),(-13.461252820620217-0.03513740404561836j)
0.26282051282051283,1.5,(-13.393345940225517+2.9690499328277173e-16j),(-13.399279219630367-0.006251819524403546j)
0.27564102564102566,1.5,(-13.340701228950092-4.940200263618209e-15j),(-13.345638536855317-0.0029295909290106676j)
0.28846153846153844,1.5,(-13.284502879814392-2.9632763293363457e-15j),(-13.28958057287269-0.002072567141931093j)
0.30128205128205127,1.5,(-13.224515075156296-4.310762228678342e-16j),(-13.230129166891874-0.0016476332536484665j)
0.3141025641025641,1.5,(-13.160455125192314-2.3138165516740836e-15j),(-13.16591876709903-0.00042804309103549264j)
0.3269230769230769,1.5,(-13.091979164145856+2.88951156540407e-16j),(-13.09749333534003+7.045964425519348e-05j)
0.33974358974358976,1.5,(-13.018661358542934-3.481849573606326e-15j),(-13.024058470049713+0.00023424555381465473j)
0.35256410256410253,1.5,(-12.93996253565583-2.3854713327284453e-15j),(-12.94467058647366-3.297042500169816e-05j)
0.36538461538461536,1.5,(-12.855180635136687+9.661581759787297e-16j),(-12.85850476125055-0.00028815328688882403j)
0.3782051282051282,1.5,(-12.763367840890309-1.396831477222599e-14j),(-12.765329118007639-5.273834237889328e-05j)
0.391025641025641,1.5,(-12.663181353486825+4.2054349081117747e-16j),(-12.66235455704134+0.00035078905282454195j)
0.40384615384615385,1.5,(-12.55258656135591+1.4295210665207694e-15j),(-12.547227319565568+0.001305456945008949j)
0.41666666666666663,1.5,(-12.428176416371882+1.6145603998864086e-15j),(-12.415781983353789+0.002973048927399741j)
0.4294871794871795,1.5,(-12.283217911311441+4.549560496402722e-15j),(-12.253654127300303+0.006987796371283289j)
0.4423076923076923,1.5,(-12.098967061959462+1.638836635842189e-14j),(-12.036565508340912+0.012538045436259795j)
0.4551282051282051,1.5,(-11.788548987821484-0.13738438567326006j),(-11.781699841228221+0.25266275314112935j)
0.46794871794871795,1.5,(-11.714917747072768-0.3211457217698559j),(-11.707794350406138+0.38959484186627386j)
0.4807692307692307,1.5,(-11.637778419641853-0.4436078491394593j),(-11.640395083166558+0.4968726706744619j)
0.4935897435897436,1.5,(-11.557232252879427-0.549682062430243j),(-11.56789246458757+0.5962710931874982j)
0.5064102564102564,1.5,(-11.473634439187506-0.6498228903993564j),(-11.49302866094689+0.6938174848630094j)
0.5192307692307692,1.5,(-11.38774254921908+0.7489786705734556j),(-11.413921349104173+0.7782230508662641j)
0.532051282051282,1.5,(-11.30083974564319+0.8500479147473108j),(-11.332912802681784+0.864488521377588j)
0.5448717948717949,1.5,(-11.214679655566082-0.9545496051489137j),(-11.250323616682623+0.9576637717956434j)
0.5576923076923077,1.5,(-11.131102221823854+1.0627060191116389j),(-11.16681339479745+1.059468426923718j)
0.5705128205128205,1.5,(-11.051447749760065-1.173693457396375j),(-11.088762437509232+1.1556426225211973j)
0.5833333333333333,1.5,(-10.976203792074038-1.2862335726301115j),(-11.014852670444164+1.2650282055984412j)
0.5961538461538461,1.5,(-10.905119049764188-1.3991811408644956j),(-10.946580821670235+1.379708926094116j)
0.608974358974359,1.5,(-10.837563035555753-1.511794149445457j),(-10.87464402505893+1.5010140895478221j)
0.6217948717948718,1.5,(-10.772832647683657-1.6237205832225854j),(-10.799224641995393+1.6110914769682565j)
0.6346153846153846,1.5,(-10.710309867434752-1.7348776179953838j),(-10.725975329086289+1.7230065712954608j)
0.6474358974358974,1.5,(-10.649510074590548-1.8453346893506613j),(-10.661584384864724+1.8430634984081147j)
0.6602564102564102,1.5,(-10.590077806094458+1.9552322892298317j),(-10.598478037657497+1.9590070723829127j)
0.6730769230769231,1.5,(-10.531764649423794+2.0647331936217395j),(-10.538608226962422+2.0703848741255486j)
0.6858974358974359,1.5,(-10.474404652902441-2.1739956022664426j),(-10.480542623188775+2.1801522610701127j)
0.6987179487179487,1.5,(-10.417892568534215-2.2831595582555955j),(-10.42327102619965+2.288633079730376j)
0.7115384615384615,1.5,(-10.362166091836295-2.392341105572212j),(-10.36658724535478+2.3970825637990525j)
0.7243589743589743,1.5,(-10.307191867547449-2.5016309250644078j),(-10.31104031064384+2.5056998363753116j)
0.7371794871794872,1.5,(-10.252954708906293+2.6110955656069557j),(-10.256432590239692+2.614536096514795j)
0.75,1.5,(-10.19944949940005+2.7207801458583027j),(-10.202673925465197+2.7236402154832975j)
