ks,hs,Gs_exact,E_estimate
2.0,2.75,(-22.936932376287988+11.52277788462946j),(-22.877235492898127-11.4816954937545j)
1.9166666666666667,2.75,(-23.658659443361152+10.14023890968399j),(-23.86403250770044-10.099716740512388j)
1.8333333333333333,2.75,(-24.42328484940428+8.759200250695642j),(-24.317092496444765-8.825226773981312j)
1.75,2.75,(-25.238749219512783+7.377384305848935j),(-25.33189330492202-7.365709094105177j)
1.6666666666666667,2.75,(-26.117248791524734+5.990786567439997j),(-25.763364343715626-6.237431491833481j)
1.5833333333333335,2.75,(-27.077302057365586-4.594472504047712j),(-27.01292470381595-4.8182425598522025j)
1.5,2.75,(-28.15055949139167+3.169874294513864j),(-27.041907942161757-3.4535562229522507j)
1.4166666666666667,2.75,(-29.41478146419365-1.6994060666007584j),(-27.651206018250903-1.984605727758717j)
1.3333333333333335,2.75,(-31.44852688751749+4.426094866851043e-14j),(-28.971955614993103-1.8150784950675258j)
1.25,2.75,(-33.53560708592609-5.291599225747491e-14j),(-29.165213300068878-0.4763882263639899j)
