L,k=0.25,k=0.75,k=1.1565656565656566,k=1.75,k=2.75
4,0.9245531161601859,0.43694596449214795,0.033041904041887296,0.05901409460462819,0.11771075076665108
6,0.8887421343858497,0.2868185463131251,0.002487021950030682,0.014064927916534757,0.04017402968944697
8,0.8544674487858661,0.18905630574645949,9.962427407893962e-05,0.003332282808987122,0.013757214961468488
10,0.8215219184620035,0.12465883540762787,7.057697219493129e-06,0.0008062194011670367,0.0047115283800654864
12,0.7898470035369931,0.08219899674881936,2.6138596553863588e-06,0.00019364339118155345,0.0016135936518055507
14,0.7593933741917399,0.054201443314084226,4.782481535140266e-07,4.659081703518897e-05,0.0005526199281885851
16,0.7301139267745712,0.03574005796229487,7.009101379694697e-08,1.120660103527321e-05,0.00018926003037463262
