k,L=6,L=8,L=10,L=12
0.1,0.9815647053296983,0.9754937016164175,0.9694614703796938,0.9634665975653713
0.17435897435897435,0.9447108671121777,0.9269637249697616,0.9095536372331037,0.8924707124861013
0.24871794871794872,0.8898332739157272,0.8558666085282156,0.8232037840553752,0.7917878235586044
0.32307692307692304,0.8193266120934264,0.7666536533082695,0.7173787960884074,0.6712715187116634
0.39743589743589747,0.7362487735795706,0.664785772832794,0.6002764171248512,0.5420277182812512
0.4717948717948718,0.6441698795676024,0.5562937396589452,0.48042841497670563,0.4149104226209352
0.5461538461538461,0.5469937080537784,0.4472947691698062,0.3657965096650706,0.29914883726082275
0.6205128205128205,0.4487591656012407,0.3435067339850803,0.2629747933675746,0.2013245098847359
0.6948717948717948,0.35343060759225603,0.24980257924806534,0.1765983814030391,0.12484853043662639
0.7692307692307692,0.26468678343722474,0.16984539086498293,0.10903047930437419,0.06999323144807786
0.8435897435897436,0.1857190153798434,0.10583902682668575,0.0603619892825926,0.034428044821970656
0.9179487179487179,0.11905016689617975,0.058420485503318596,0.028713788519831085,0.014115489104752105
0.9923076923076922,0.0663881306652563,0.02670889771514795,0.010787594148855634,0.004359661178497751
1.0666666666666667,0.02853694323379486,0.008514372387501839,0.0025733058196520725,0.0007800385236817915
1.1410256410256412,0.00546065579874815,0.0007200205390945922,9.938341038226656e-05,1.4207818461464594e-05
1.2153846153846155,0.0033550198295025104,0.000643256572593164,7.887113766137295e-05,8.909606169831134e-06
1.2897435897435898,0.0061272113291801515,0.0007485847335678695,0.00011693514922798201,2.191121959479203e-05
1.3641025641025641,0.006728889866799829,0.000991856048420875,0.0002045428476175333,3.5839598126964434e-05
1.4384615384615385,0.007080070689671485,0.0014487391909866188,0.0002860012313621763,5.489640083351167e-05
1.512820512820513,0.008182541789705771,0.001895899234169414,0.0003803462927055152,7.964654355115068e-05
1.5871794871794873,0.009923646804930986,0.002313639810648644,0.0004965936055327176,0.0001090924728811408
1.6615384615384616,0.011855392794056265,0.002749889724092031,0.000629748783648811,0.00014404221210332887
1.735897435897436,0.013724394657592722,0.0032345267335844754,0.0007767415718928282,0.0001851370429755134
1.8102564102564103,0.01547317570559038,0.0037685041871637717,0.0009383806047955261,0.00023259523423357052
1.8846153846153846,0.01713910633019438,0.004341416860920258,0.001116182318064815,0.0002866601224885155
1.9589743589743591,0.018783921931238946,0.004945206360017949,0.0013109281503780523,0.0003477056094188284
2.033333333333333,0.020458380105047125,0.005577512542142901,0.001522933322578803,0.0004161670452670555
2.1076923076923078,0.022191463379326842,0.006239829476917333,0.0017526061804735758,0.0004925189433937066
2.1820512820512823,0.023993504660131344,0.00693510730656524,0.0020007109716942625,0.0005773090024932076
2.2564102564102564,0.025864402418103224,0.007666509031546817,0.0022684083395502264,0.0006712055439924788
2.330769230769231,0.02780133043304306,0.00843727008534557,0.0025572601490689096,0.0007750433999872344
2.405128205128205,0.02980370964870973,0.009251091937932816,0.0028692806584298533,0.0008898718572847698
2.4794871794871796,0.03187542042608877,0.010112607209329872,0.0032070284814483966,0.0010170079854327834
2.553846153846154,0.03402512030365708,0.011027704262508032,0.003573708786016762,0.0011580940698448763
2.628205128205128,0.03626558635757781,0.0120036791459984,0.0039732637503750974,0.0013151560576996945
2.7025641025641027,0.03861273215249328,0.013049258010622174,0.0044104428891933375,0.0014906605180209811
2.776923076923077,0.041084649943170154,0.014174540949151875,0.004890852579304599,0.0016875686852377903
2.8512820512820514,0.043700809169666475,0.01539090041316656,0.005420986098588063,0.0019093867205635185
2.925641025641026,0.04648141695801642,0.01671084845940597,0.0060082347292858725,0.0021602112860200826
3.0,0.049446894225658705,0.01814787560562138,0.006660879145678542,0.002444769090245007
