ks,Gs_exact,E_estimate
0.0,(-3.5792270487606364+4.519059574949262e-17j),(-3.5753258596076694+0.0001389680049092766j)
0.010101010101010102,(-3.5788711473125376+7.383181238746261e-18j),(-3.5730865032583505-0.0016870232120393977j)
0.020202020202020204,(-3.5778027704101585-5.3486977746897054e-17j),(-3.5729930247993344-0.0008160780441723338j)
0.030303030303030304,(-3.5760198926309616-1.419667872594917e-16j),(-3.573563634123618+0.0002929825029669928j)
0.04040404040404041,(-3.573519112219643-1.8708750009978588e-16j),(-3.572940405951069-0.00029034363154428994j)
0.05050505050505051,(-3.570295611217238-1.69794745051193e-16j),(-3.5695621574452874-0.00023011004440545198j)
0.06060606060606061,(-3.5663430980087742+2.316517456968681e-16j),(-3.567424102005291-0.0001943571579044822j)
0.07070707070707072,(-3.5616537305491756+2.486165484341903e-16j),(-3.563395979682517+5.077789015661396e-05j)
0.08080808080808081,(-3.556218017865142-2.9205084019113896e-16j),(-3.5566209441345342-0.00012255131244476658j)
0.09090909090909091,(-3.5500246966260094-2.2021906245165774e-16j),(-3.551643778426838+3.060412078771442e-05j)
0.10101010101010102,(-3.543060578570249-4.65768068837847e-16j),(-3.5452171188462467+0.00041403218479151385j)
0.11111111111111112,(-3.535310363288361+2.6089036640624565e-16j),(-3.5366793940946284+0.00046227740315187395j)
0.12121212121212122,(-3.5267564091871573-6.31566989561207e-17j),(-3.5289710859164516-0.0008708113976822871j)
0.13131313131313133,(-3.5173784532398855-2.677214217063646e-16j),(-3.516893611642553+0.00036035534965895785j)
0.14141414141414144,(-3.507153267134102-3.6979867777563397e-16j),(-3.5095234258792574-0.0002415460988348157j)
0.15151515151515152,(-3.4960542333319506+1.7311882465463685e-16j),(-3.4986623544056497+3.3425444265902684e-05j)
0.16161616161616163,(-3.4840508188533317-4.006771578778014e-16j),(-3.4827524279253916+3.0205953789690497e-05j)
0.17171717171717174,(-3.4711079165119267+1.966731809435387e-16j),(-3.466443709172173-2.4440247246208915e-05j)
0.18181818181818182,(-3.4571850116695946+1.0348232768361747e-16j),(-3.4583374105683573+0.0003993025958264986j)
0.19191919191919193,(-3.4422351153885704-3.483850380600524e-16j),(-3.438792941547735-0.0009013626395758534j)
0.20202020202020204,(-3.426203378959145-1.0459187677415927e-16j),(-3.4283667759646823-0.0007631071108427705j)
0.21212121212121213,(-3.409025264740512-5.630908043259476e-16j),(-3.409227177338609-0.00026422929335815634j)
0.22222222222222224,(-3.390624084566744+5.989668147255609e-16j),(-3.3920631137242823-0.0003590678905292872j)
0.23232323232323235,(-3.3709076123226414+5.045827406443569e-16j),(-3.3678273204172666-0.0002518896456707482j)
0.24242424242424243,(-3.3497632987784542+3.725607601756215e-16j),(-3.352673224468329-0.0012972434338934969j)
0.25252525252525254,(-3.327051298662184-4.460093921081405e-16j),(-3.3269282655349435+0.0004284439306538573j)
0.26262626262626265,(-3.3025939230664605+1.3352661289493532e-15j),(-3.2999022661133535+0.000907076827465917j)
0.27272727272727276,(-3.2761589386459566-2.8705959297765217e-16j),(-3.2777846964345865-0.0025200249722752625j)
0.2828282828282829,(-3.2474315674869976+7.361277295062299e-16j),(-3.2419971468889965+0.0038137143727653487j)
0.29292929292929293,(-3.2159639494754604-3.9956609447218285e-16j),(-3.20345719107064+0.0017763259373452815j)
0.30303030303030304,(-3.181074423334899-3.533030028921896e-16j),(-3.1852561647251325+0.0022858681349140772j)
0.31313131313131315,(-3.1416163016106657-4.1988470157896976e-16j),(-3.140464140168703+0.0019510376366249256j)
0.32323232323232326,(-3.0953144988149806-5.048153444142182e-16j),(-3.087542335968198+0.013954658150647295j)
0.33333333333333337,(-3.035832845074707+3.82520078980042e-15j),(-2.992051662126204-0.04929194251931943j)
0.3434343434343435,(-2.931938208764769+0.04641520192385784j),(-2.903711954735011-0.0873408807286622j)
0.3535353535353536,(-2.9118478279934505-0.11069835015262486j),(-2.8823382628773624-0.09874187008485474j)
0.36363636363636365,(-2.8909023462568393+0.1525034025078984j),(-2.904490534827468-0.1746483632795397j)
0.37373737373737376,(-2.8691136572905087-0.18793256698729444j),(-2.874250946624919-0.19678157640248944j)
0.38383838383838387,(-2.8465209120112287-0.22052153570392874j),(-2.83877160320425-0.23080014649066416j)
0.393939393939394,(-2.823203627586163-0.2518406529372977j),(-2.827771737042042-0.25771513841754123j)
0.4040404040404041,(-2.799296633304278-0.28279909173361384j),(-2.820412415331302-0.28767964569550275j)
0.4141414141414142,(-2.775002310687877+0.31399193352828125j),(-2.79072901565251-0.31049361527752545j)
0.42424242424242425,(-2.7505912097000893+0.34580734105955147j),(-2.773079187381436-0.3630504348959396j)
0.43434343434343436,(-2.7263802671111574+0.37845302216554044j),(-2.7510669929596-0.36206146250553284j)
0.4444444444444445,(-2.702685176646968+0.41196558902720676j),(-2.725086823799304-0.4744397288375797j)
0.4545454545454546,(-2.6797611415939144-0.4462387604746789j),(-2.732661116162511-0.46353474900275016j)
0.4646464646464647,(-2.657759855565028-0.4810792359949807j),(-2.7279518432530487-0.46185776560332675j)
0.4747474747474748,(-2.63672230454747+0.5162719866856477j),(-2.656879541675629-0.5199576680485876j)
0.48484848484848486,(-2.6166031229355724-0.5516297759459351j),(-2.5876629296161124-0.5196906104392655j)
0.494949494949495,(-2.5973070180171973-0.587015962712433j),(-2.583213696942808-0.574665046272011j)
0.5050505050505051,(-2.5787205146187837-0.622345720955764j),(-2.5972516257795064-0.6085551030508124j)
0.5151515151515152,(-2.560732583551601+0.6575763850991958j),(-2.528721170101874-0.6690937714156102j)
0.5252525252525253,(-2.5432450982340344-0.6926951829170478j),(-2.543042746686273-0.6999999995887483j)
0.5353535353535354,(-2.5261764994054086+0.7277084281264321j),(-2.529034308506706-0.7147872352808702j)
0.5454545454545455,(-2.5094617336654275+0.7626333644548056j),(-2.5246476222393692-0.7507081867936856j)
