,ks,L=6,L=8,L=10,L=12,L=14,L=16
0,1.13,2.583573199235964,2.0707379185283425,1.7668495466389054,1.5714027894393396,1.4380627394987506,1.3430197260561343
1,1.1315384615384614,2.5709952010374693,2.0540126602699775,1.7467786857699181,1.5486468256636563,1.4131276563732236,1.3162927663964759
2,1.1330769230769229,2.5581907607227876,2.036855931407663,1.7260656141491566,1.5250559135990152,1.387187889314724,1.288412233107863
3,1.1346153846153846,2.545147692797471,2.019232840817766,1.704644568861056,1.5005315441804932,1.360113923148024,1.2592204630854518
4,1.136153846153846,2.5318526284897978,2.0011032968431106,1.6824371230619235,1.4749530086383729,1.3317440219591603,1.2285179884103563
5,1.1376923076923076,2.51829084670538,1.9824208391112066,1.6593484279223567,1.4481695430039458,1.301871452217494,1.1960456640604527
6,1.139230769230769,2.5044460724982205,1.9631311082063228,1.635261877930386,1.4199884614122915,1.270224271397126,1.1614554323153712
7,1.1407692307692308,2.490300235076093,1.9431698054796023,1.6100313047758874,1.3901564395165487,1.2364315651973712,1.124259340291637
8,1.1423076923076922,2.475833174927004,1.9224599182431046,1.5834691339722262,1.3583283726466924,1.1999629784008974,1.083732866591589
9,1.1438461538461537,2.4610222863311737,1.9009078580723475,1.5553276089764445,1.3240119052257882,1.1600099121816392,1.0387092299337297
10,1.1453846153846152,2.4458420769099387,1.8783979408142688,1.5252673550368812,1.2864592944134792,1.1152197059109383,0.9870603134419227
11,1.146923076923077,2.430263619358131,1.8547842435114905,1.4928009414799348,1.2444282761265626,1.0629695565378938,0.9239484884315203
12,1.1484615384615384,2.414253861197773,1.8298781297991003,1.4571817056855778,1.1955414739910388,0.9965142333502968,0.8300006332721459
13,1.15,2.3977747447971005,1.8034282392839796,1.417154225155997,1.133870000214614,0.8469289606613748,0.7456366254027054
14,1.1515384615384614,2.3807820696579647,1.7750864874837493,1.370269929226719,1.0221206236355123,0.8501573094080468,0.7496421439788027
15,1.1530769230769229,2.3632239981321668,1.7443458501550975,1.3101796487470736,0.9865811195147658,0.8535744536354294,0.75398359661377
16,1.1546153846153846,2.3450390575138247,1.710414585856741,1.173602172447583,0.989387459960964,0.8571961493195105,0.7587005243832752
17,1.156153846153846,2.3261534138692017,1.6719230335310282,1.1758417061980784,0.9923073304035734,0.861039688402938,0.7638377953301395
18,1.1576923076923076,2.3064770639121193,1.6260675036168095,1.1781384995258246,0.9953473068456912,0.8651240461746709,0.7694462560124525
19,1.159230769230769,2.2858983681948715,1.564727503463521,1.1804946896499506,0.9985144083391176,0.8694700362157318,0.7755833878100423
20,1.1607692307692308,2.2642759458271,1.4519293948804444,1.1829125076731961,1.0018161263362557,0.8741004701323877,0.7823139185620293
21,1.1623076923076923,2.2414261829357542,1.4537606210562795,1.185394282756883,1.0052604550939366,0.8790403178849033,0.7897103111341662
22,1.1638461538461538,2.2171030471986235,1.4556195624528387,1.187942446423889,1.008855922923141,0.8843168625071403,0.7978530120889155
23,1.1653846153846152,2.1909634726073204,1.4575068379659186,1.1905595369828395,1.0126116239487646,0.8899598404523178,0.8068302955620813
24,1.166923076923077,2.162503250460361,1.4594230828095902,1.1932482040587582,1.016537249941602,0.8960015555330776,0.8167374844189372
25,1.1684615384615384,2.1309252613878122,1.4613689489514288,1.196011213222403,1.0206431216580945,0.9024769504863401,0.8276752838959216
26,1.17,2.0948246631228216,1.4633451055530142,1.198851450697322,1.0249402189399786,0.9094236154946903,0.8397469440954591
27,1.1715384615384614,2.051230349936011,1.4653522394187886,1.2017719281222463,1.029440208656953,0.9168817079508025,0.8530540114535257
28,1.173076923076923,1.990796469355498,1.4673910554522878,1.2047757873475502,1.0341554693224893,0.9248937525389935,0.8676905780663431
29,1.1746153846153846,1.8953715242268816,1.469462277118895,1.2078663052327483,1.0390991109697088,0.93350428635773,0.8837362248015774
30,1.176153846153846,1.8968448488039826,1.4715666469139426,1.2110468984017968,1.0442849885705374,0.9427593113824213,0.9012482718094097
31,1.1776923076923076,1.8983299220998067,1.4737049268388214,1.2143211279244222,1.0497277069512811,0.9527055180569628,0.9202544102988243
32,1.179230769230769,1.8998268810406613,1.4758778988788506,1.217692703859719,1.0554426148206322,0.9633892510646729,0.9407471139141436
33,1.1807692307692308,1.9013358644518208,1.4780863654885952,1.2211654896103536,1.0614457851500865,0.9748552041706158,0.9626812000606305
34,1.1823076923076923,1.9028570130836786,1.4803311500784644,1.2247435060113971,1.0677539788254926,0.987144856789289,0.9859754058925712
35,1.1838461538461538,1.9043904696377356,1.482613097504464,1.228430935077354,1.0743845881571106,1.0002947012886663,1.0105179539056148
36,1.1853846153846153,1.9059363787929684,1.4849330745593816,1.2322321233172218,1.0813555566535629,1.0143343542625634,1.0361751290911054
37,1.186923076923077,1.907494887232254,1.4872919704643137,1.2361515845075783,1.088685271360052,1.0292846909633244,1.0628012580077264
38,1.1884615384615385,1.9090661436691359,1.4896906973585273,1.2401940018129352,1.0963924242103527,1.0451561796878426,1.0902483902164695
39,1.19,1.9106502988746128,1.4921301907878377,1.2443642291171764,1.104495839266141,1.0619476097697753,1.1183743792807133
