ks,Gs_exact,E_estimate
0.0,(-1.538819441731558-2.8264810418160425e-18j),(-1.5291664720436506-9.040007296631647e-06j)
0.010101010101010102,(-1.5386721209797152-3.089044455341708e-17j),(-1.5378044828635484+8.252411415444387e-05j)
0.020202020202020204,(-1.5382299214955535+1.880349724000958e-17j),(-1.5378309679453381+9.759591705153617e-05j)
0.030303030303030304,(-1.5374921294340407-8.490065340214029e-17j),(-1.5374873316669913-3.802525713881953e-05j)
0.04040404040404041,(-1.5364575478090083-8.508615816708235e-17j),(-1.5364527890365562-3.771502756288984e-06j)
0.05050505050505051,(-1.535124485459283+7.929816573076353e-17j),(-1.5351538250016967-3.328725945370681e-06j)
0.06060606060606061,(-1.5334907412599046-2.345377320921014e-17j),(-1.5335301817672484+8.056873560725024e-08j)
0.07070707070707072,(-1.5315535832204688-1.283007674941076e-16j),(-1.5315035913402115-1.0504196009300556e-07j)
0.08080808080808081,(-1.5293097219856528-1.957662547694139e-17j),(-1.529299384779051-4.055238054780435e-08j)
0.09090909090909091,(-1.5267552781048233-2.6556027242625952e-17j),(-1.5267492041662616+8.947161664253846e-08j)
0.10101010101010102,(-1.5238857422616525-1.8293660075065518e-16j),(-1.5238697568597146+1.0200474397669997e-07j)
0.11111111111111112,(-1.5206959274407805-1.1210983982723097e-17j),(-1.520707462193626+1.1031940156627043e-07j)
0.12121212121212122,(-1.5171799117449558+1.9531638597583203e-16j),(-1.5171834901812664+4.3242706141885355e-08j)
0.13131313131313133,(-1.5133309702466875-9.873947769438104e-17j),(-1.5133550004918646+3.193569201458519e-08j)
0.14141414141414144,(-1.5091414938405758-4.141652298894627e-17j),(-1.509177105418178+1.4068701454911867e-07j)
0.15151515151515152,(-1.5046028925278867+2.1857619029448216e-17j),(-1.5046246429659478+9.298174904654442e-08j)
0.16161616161616163,(-1.4997054798710108+1.2841130736167582e-17j),(-1.4997514701200267+2.4539991245221364e-07j)
0.17171717171717174,(-1.4944383344460879+1.9467527633335036e-16j),(-1.494391049307173-6.784518362172945e-08j)
0.18181818181818182,(-1.488789132915225-1.9746455582865877e-18j),(-1.4888256736904997+8.993342929217275e-08j)
0.19191919191919193,(-1.4827439477188873+6.196215415754658e-17j),(-1.4827337540178593-5.574819388961023e-08j)
0.20202020202020204,(-1.476287000183242-2.829443603570635e-16j),(-1.476305166377691-4.101668474120278e-08j)
0.21212121212121213,(-1.4694003567940424-1.5012631962633928e-16j),(-1.4693989436265773-1.7187698973078518e-07j)
0.22222222222222224,(-1.4620635521251049-9.491597097047513e-17j),(-1.4620941021020046+7.764325416416091e-09j)
0.23232323232323235,(-1.4542531158387015-1.7969198479791593e-17j),(-1.454223576489215-4.25911760443582e-08j)
0.24242424242424243,(-1.445941972371912-1.1369792072421438e-16j),(-1.445895709484135-3.5018945830544164e-08j)
0.25252525252525254,(-1.4370986689014826-3.321720170787728e-16j),(-1.4370335195299246+4.011911555107534e-08j)
0.26262626262626265,(-1.4276863674840092-1.3907603367557808e-16j),(-1.4276563762487455-9.544836279336532e-08j)
0.27272727272727276,(-1.4176615067271523-1.946206549091665e-16j),(-1.4177371426424277-3.4352327863139005e-08j)
0.2828282828282829,(-1.406971989636209+2.836784950931244e-17j),(-1.406900991892653-8.614645180306892e-08j)
0.29292929292929293,(-1.3955546740551854-9.638073909046158e-17j),(-1.3956097855771745+7.58272255681856e-08j)
0.30303030303030304,(-1.3833318050254702+2.6797012135215914e-16j),(-1.3833734650617284+3.4187515830380745e-08j)
0.31313131313131315,(-1.3702057838067347-7.759469019119512e-17j),(-1.3701991195822005-1.9039997735258576e-07j)
0.32323232323232326,(-1.3560512092468784+3.5789760354348464e-16j),(-1.3560136690193736+2.0519424498334965e-07j)
0.33333333333333337,(-1.3407022113729328-6.602458703830476e-17j),(-1.3405778973121574+1.2793861917552177e-06j)
0.3434343434343435,(-1.3239311280515433+8.64974757241173e-16j),(-1.3236919233195257+5.7528513379396225e-06j)
0.3535353535353536,(-1.3054099231020133+1.7002189933003621e-16j),(-1.3059048863614717+3.5268728689456385e-06j)
0.36363636363636365,(-1.2846333054089507+3.3572562055906694e-16j),(-1.28523737821142+7.241504777031e-05j)
