ks,Gs_exact,E_estimate
0.0,(-3.5792270487606364+4.519059574949262e-17j),(-3.5597313701691364+0.0003102733099708753j)
0.010101010101010102,(-3.5788711473125376+7.383181238746261e-18j),(-3.573712678106668-0.0008311240745106297j)
0.020202020202020204,(-3.5778027704101585-5.3486977746897054e-17j),(-3.574919885807457-0.0008789523787601972j)
0.030303030303030304,(-3.5760198926309616-1.419667872594917e-16j),(-3.577518800869468-0.0008923900771887066j)
0.04040404040404041,(-3.573519112219643-1.8708750009978588e-16j),(-3.573320028365093-1.6555520543418662e-05j)
0.05050505050505051,(-3.570295611217238-1.69794745051193e-16j),(-3.5788245675228363-0.0011355321215230135j)
0.06060606060606061,(-3.5663430980087742+2.316517456968681e-16j),(-3.567218551771784-0.0002597635904851808j)
0.07070707070707072,(-3.5616537305491756+2.486165484341903e-16j),(-3.5608490205245755+0.00043550080772137125j)
0.08080808080808081,(-3.556218017865142-2.9205084019113896e-16j),(-3.557622687566888+7.234236772672065e-05j)
0.09090909090909091,(-3.5500246966260094-2.2021906245165774e-16j),(-3.5522789159372867-0.0002608711621154759j)
0.10101010101010102,(-3.543060578570249-4.65768068837847e-16j),(-3.545338065239071+0.0001984474907413236j)
0.11111111111111112,(-3.535310363288361+2.6089036640624565e-16j),(-3.538855952557551+0.0001439574284373205j)
0.12121212121212122,(-3.5267564091871573-6.31566989561207e-17j),(-3.525621698210477-0.0009776172263131996j)
0.13131313131313133,(-3.5173784532398855-2.677214217063646e-16j),(-3.519777674204082-2.634870561728604e-05j)
0.14141414141414144,(-3.507153267134102-3.6979867777563397e-16j),(-3.508791019908694+0.00027896806331720206j)
0.15151515151515152,(-3.4960542333319506+1.7311882465463685e-16j),(-3.497116108278897-0.0018505025805236163j)
0.16161616161616163,(-3.4840508188533317-4.006771578778014e-16j),(-3.482571994157075-7.140133957351906e-05j)
0.17171717171717174,(-3.4711079165119267+1.966731809435387e-16j),(-3.470655066650974-0.0001525239299258264j)
0.18181818181818182,(-3.4571850116695946+1.0348232768361747e-16j),(-3.459879427838118+0.00011122960143556121j)
0.19191919191919193,(-3.4422351153885704-3.483850380600524e-16j),(-3.4436770903623137+0.0017822981133335752j)
0.20202020202020204,(-3.426203378959145-1.0459187677415927e-16j),(-3.4248702722417286+0.0019785211716715017j)
0.21212121212121213,(-3.409025264740512-5.630908043259476e-16j),(-3.4101090972674606-0.0007560396956841779j)
