ks,Gs_exact,E_estimate
0.0,(-3.5792270487606364+4.519059574949262e-17j),(-3.5760251943980634-2.711318582843125e-16j)
0.010101010101010102,(-3.5788711473125376+7.383181238746261e-18j),(-3.5788482499024865-1.281631133157445e-05j)
0.020202020202020204,(-3.5778027704101585-5.3486977746897054e-17j),(-3.5778911641718567-9.898149623007659e-06j)
0.030303030303030304,(-3.5760198926309616-1.419667872594917e-16j),(-3.576114639498509-6.371632321562287e-06j)
0.04040404040404041,(-3.573519112219643-1.8708750009978588e-16j),(-3.5736331509889117-5.251233798950862e-06j)
0.05050505050505051,(-3.570295611217238-1.69794745051193e-16j),(-3.570430046183112-1.154105150405294e-05j)
0.06060606060606061,(-3.5663430980087742+2.316517456968681e-16j),(-3.5664955021618585-6.636583261688812e-06j)
0.07070707070707072,(-3.5616537305491756+2.486165484341903e-16j),(-3.5618019842058697+1.3130134247369315e-06j)
0.08080808080808081,(-3.556218017865142-2.9205084019113896e-16j),(-3.5563866047156236-7.873142204278674e-06j)
0.09090909090909091,(-3.5500246966260094-2.2021906245165774e-16j),(-3.550165207320213-1.1557970984970157e-05j)
0.10101010101010102,(-3.543060578570249-4.65768068837847e-16j),(-3.5432063927298456-2.333264306809299e-05j)
0.11111111111111112,(-3.535310363288361+2.6089036640624565e-16j),(-3.535472825868745-5.41848616304235e-05j)
0.12121212121212122,(-3.5267564091871573-6.31566989561207e-17j),(-3.5269080398763495-0.00010401493640645715j)
0.13131313131313133,(-3.5173784532398855-2.677214217063646e-16j),(-3.5174645320087357-0.00012277169104699188j)
0.14141414141414144,(-3.507153267134102-3.6979867777563397e-16j),(-3.5072121215022425-0.00014266053325214442j)
0.15151515151515152,(-3.4960542333319506+1.7311882465463685e-16j),(-3.496105949580371-0.0001584546214779792j)
0.16161616161616163,(-3.4840508188533317-4.006771578778014e-16j),(-3.4841088448168027-0.00017166560273176268j)
0.17171717171717174,(-3.4711079165119267+1.966731809435387e-16j),(-3.4712049973053998-0.0001581260115182931j)
0.18181818181818182,(-3.4571850116695946+1.0348232768361747e-16j),(-3.4572710723555953-0.00018452641466374034j)
0.19191919191919193,(-3.4422351153885704-3.483850380600524e-16j),(-3.442285105883656-0.0002306945011825922j)
0.20202020202020204,(-3.426203378959145-1.0459187677415927e-16j),(-3.426137639493975-0.00014399681578841235j)
0.21212121212121213,(-3.409025264740512-5.630908043259476e-16j),(-3.4088419358133906-0.00012971132528860708j)
0.22222222222222224,(-3.390624084566744+5.989668147255609e-16j),(-3.3902250212434017-0.00015353341391700234j)
0.23232323232323235,(-3.3709076123226414+5.045827406443569e-16j),(-3.370346665584978-0.0001973026202409851j)
0.24242424242424243,(-3.3497632987784542+3.725607601756215e-16j),(-3.34895932238514-0.00024260735734215805j)
