ks,Gs_exact,E_estimate
0.0,(-4.090524668464469-2.8048710448485604e-17j),(-4.049218342259837-0.00019401561516223172j)
0.010101010101010102,(-4.090117869341435+1.347873958393383e-16j),(-4.085975664780492-0.0005107891695016909j)
0.020202020202020204,(-4.088896702270071-1.69663499475891e-16j),(-4.083298428495014-0.0006374379579630072j)
0.030303030303030304,(-4.086858849246999-3.409081750428729e-16j),(-4.0905171670637825-0.0009528741024776289j)
0.04040404040404041,(-4.084000417019698+6.616862105360022e-17j),(-4.085495236493812-0.0017221995810167644j)
0.05050505050505051,(-4.08031589129895+2.9578608621427095e-16j),(-4.086868840511544-0.0023202006639240456j)
0.06060606060606061,(-4.075798070769635-3.355495729661825e-16j),(-4.076199296198201-0.0009796994703362486j)
0.07070707070707072,(-4.070437978888475-1.9207477042985727e-16j),(-4.072032421552415-0.000816447294575793j)
0.08080808080808081,(-4.064224750690693+1.5829230773671944e-16j),(-4.064687641386527-0.00024324365190601339j)
0.09090909090909091,(-4.057145490893836-3.4831534471705705e-17j),(-4.061751162692904-0.0011668649699272849j)
0.10101010101010102,(-4.049185098418103+9.036987703283534e-17j),(-4.053241223719046-0.0004640198236991318j)
0.11111111111111112,(-4.040326050945903+9.5777395282672e-16j),(-4.042133626625383-0.00020775731192287355j)
0.12121212121212122,(-4.030548141189119+4.26280615541957e-16j),(-4.033870178433479-0.00026421531161006836j)
0.13131313131313133,(-4.01982815393795-2.2836635620196337e-16j),(-4.021351099996536+0.00027324039720510237j)
0.14141414141414144,(-4.00813946945962+1.6062300520970823e-15j),(-4.009521475910777-0.0005814565825355726j)
0.15151515151515152,(-3.9954515740028453-1.6380371766823084e-16j),(-3.994496757086967-0.000383083689473069j)
0.16161616161616163,(-3.981729451445025-1.5876242641686427e-15j),(-3.978719047201255-0.0003548541881226354j)
0.17171717171717174,(-3.96693282056639+1.5190026247413277e-17j),(-3.966007172401971-0.0012651108991689037j)
0.18181818181818182,(-3.9510151685950214+1.8847195265617944e-15j),(-3.9474754389041986-0.0015217647130876056j)
0.19191919191919193,(-3.933922511180101+9.831591943968746e-16j),(-3.930777117162299-0.0005660461217112171j)
0.20202020202020204,(-3.915591777916741+8.238585415893381e-17j),(-3.908980012957966+0.0010326698436831647j)
0.21212121212121213,(-3.895948674280916+1.139285884119068e-15j),(-3.8948320398775915-0.00036528762371690164j)
0.22222222222222224,(-3.8749047935197556+1.2342094087192472e-16j),(-3.8720870244416816+0.0006237984307931012j)
0.23232323232323235,(-3.852353623932667+5.097634168778376e-16j),(-3.8497313830787316-0.0017916871799221266j)
0.24242424242424243,(-3.828164876238313-1.6563086862053484e-16j),(-3.827866069960681+0.0006744153205594228j)
0.25252525252525254,(-3.8021761575673136-9.062867945152258e-16j),(-3.805989681325358-0.0002528946805104606j)
0.26262626262626265,(-3.774180260350575-1.0029746943129374e-15j),(-3.776340472961835+0.0017452560979371867j)
0.27272727272727276,(-3.743904792127767+4.391040629801363e-16j),(-3.732885963837653+0.0017327923501143333j)
