h,k,r,M_z,c_r_z,cc_r_z,M_z_LR,c_r_z_LR,cc_r_z_LR
0.5,1.0,0,-0.9750127792358398,1.0,0.04934902589593548,(-0.9860936943927481-0.019956093151771916j),(1.000000008203319+7.14040211116263e-09j),(0.028017815993042587-0.03935640655161862j)
0.5,1.0,1,-0.9750127792358398,0.9510488510131836,0.00039892486529424787,(-0.9860936943927481-0.019956093151771916j),(0.9716403886223272+0.03909880924404205j),(-0.0003421805687961535-0.00025831789328440086j)
0.5,1.0,2,-0.9750127792358398,0.9506409962972006,-8.769959094934165e-06,(-0.9860936943927481-0.019956093151771916j),(0.9719728536113403+0.03938009382607081j),(-9.73288422217074e-06+2.2825372601683854e-05j)
0.5,1.0,3,-0.9750127792358398,0.9506902694702148,4.035876190755516e-05,(-0.9860936943927481-0.019956093151771916j),(0.9719752063573626+0.039306148993697415j),(-7.280427093171726e-06-5.10359780770041e-05j)
0.5,1.0,4,-0.9750127792358398,0.9506816864013672,3.1890696845948696e-05,(-0.9860936943927481-0.019956093151771916j),(0.9720178507215513+0.03928359957827059j),(3.5330331420196925e-05-7.361146614119022e-05j)
2.75,0.25,0,-0.0005903244018554688,1.0,0.9999935130617814,(-0.0008614115100608901-0.27490455626647253j),(0.9999999896838888+9.489716985088384e-09j),(1.0755651480188364-0.00047291297437431184j)
2.75,0.25,1,-0.0005903244018554688,0.10367012023925781,0.10366922434332082,(-0.0008614115100608901-0.27490455626647253j),(0.04487328305577243-0.00021045442709943752j),(0.12044512472157305-0.0006846755161852484j)
2.75,0.25,2,-0.0005903244018554688,0.03256988525390625,0.03257064494149139,(-0.0008614115100608901-0.27490455626647253j),(-0.03560893979214541+0.00022203311473985388j),(0.039963500642797446-0.0002513012951626635j)
2.75,0.25,3,-0.0005903244018554688,0.016098976135253906,0.016099371954624075,(-0.0008614115100608901-0.27490455626647253j),(-0.05520521404661682+0.0002515947614848107j),(0.020367886882154622-0.00022204751248753907j)
2.75,0.25,4,-0.0005903244018554688,0.012456893920898438,0.012455247313482687,(-0.0008614115100608901-0.27490455626647253j),(-0.059827045734268086+2.1725996004616103e-05j),(0.01574175136326269-0.0004516819942122125j)
