h,k,r,M_z,c_r_z,cc_r_z,M_z_LR,c_r_z_LR,cc_r_z_LR
0.5,1.0,0,-0.97512451171875,1.0,0.049131418876349926,(-0.9858971708960558-0.01989252668477472j),(0.9999999888026193-2.063592648371051e-09j),(0.028402654981710553-0.03922332697566314j)
0.5,1.0,1,-0.97512451171875,0.9512286376953125,0.0003606669930741191,(-0.9858971708960558-0.01989252668477472j),(0.9712891356810388+0.03895516952946546j),(-0.0003083755055888915-0.0002685928554698416j)
0.5,1.0,2,-0.97512451171875,0.9508544921875,-1.332893269136548e-05,(-0.9858971708960558-0.01989252668477472j),(0.971603145757849+0.039232050846115904j),(5.618240038302025e-06+8.121877892372405e-06j)
0.5,1.0,3,-0.97512451171875,0.9508413696289062,-2.63602240011096e-05,(-0.9858971708960558-0.01989252668477472j),(0.9716016805352419+0.039246181898703554j),(4.136903663255476e-06+2.210780203072145e-05j)
0.5,1.0,4,-0.97512451171875,0.9508624267578125,-5.188779905438423e-06,(-0.9858971708960558-0.01989252668477472j),(0.9715983340549933+0.03921564837679962j),(8.274772410543641e-07-8.574136625816713e-06j)
2.75,0.25,0,0.0008447265625,1.0,0.9999878178723156,(0.0015428160906655573-0.2734466531857057j),(0.9999999838940216+5.211275896851713e-09j),(1.0747630377675246+0.0008425314231203305j)
2.75,0.25,1,0.0008447265625,0.10055908203125,0.10055763548705726,(0.0015428160906655573-0.2734466531857057j),(0.04222510228027334-0.000257725717169123j),(0.11699608588725958+0.0005841328538312082j)
2.75,0.25,2,0.0008447265625,0.023956298828125,0.02395684616873041,(0.0015428160906655573-0.2734466531857057j),(-0.045410047947827645-0.0009448387022978986j),(0.029361485812108602-0.00010031696480080847j)
2.75,0.25,3,0.0008447265625,0.0083282470703125,0.008328292309306562,(0.0015428160906655573-0.2734466531857057j),(-0.06402568378265096-0.000536979679162715j),(0.010744953404616368+0.0003070623000728045j)
2.75,0.25,4,0.0008447265625,0.0033258056640625,0.0033246528124436735,(0.0015428160906655573-0.2734466531857057j),(-0.0709262813625155-0.0006455627675071038j),(0.0038444537738029174+0.00019829338098562344j)
