h,k,r,M_z,c_r_z,cc_r_z,M_z_LR,c_r_z_LR,cc_r_z_LR
2.75,0.25,0,-0.00015767415364583334,1.0,0.9999951346156498,(0.0009770783751879102-0.2770087021200282j),(0.9999999831389436+1.3341735340894527e-08j),(1.0767410409752962+0.0005424853612669913j)
2.75,0.25,1,-0.00015767415364583334,0.0991270277235243,0.09912748415889736,(0.0009770783751879102-0.2770087021200282j),(0.04013754024217733+0.0004936446566519863j),(0.11687391984639382+0.0010418049967666385j)
2.75,0.25,2,-0.00015767415364583334,0.02238443162706163,0.02238495714846067,(0.0009770783751879102-0.2770087021200282j),(-0.04798180766294637-1.1813940345774462e-05j),(0.028749958373980186+0.0005320029322095109j)
2.75,0.25,3,-0.00015767415364583334,0.007097371419270833,0.007097373830361499,(0.0009770783751879102-0.2770087021200282j),(-0.0663975013504479-3.684930061745119e-05j),(0.010332683990310364+0.00050220015573527j)
2.75,0.25,4,-0.00015767415364583334,0.003063837687174479,0.003063548173587252,(0.0009770783751879102-0.2770087021200282j),(-0.07120699930052014+0.00016145482916156623j),(0.0055280140653417836+0.0007029633251586636j)
2.75,0.25,5,-0.00015767415364583334,0.0016543070475260417,0.0016545028095909704,(0.0009770783751879102-0.2770087021200282j),(-0.07289948202431958-0.000811776658712238j),(0.003833333738131723-0.00027384876487211355j)
2.75,0.25,6,-0.00015767415364583334,0.0003475613064236111,0.0003470107266265485,(0.0009770783751879102-0.2770087021200282j),(-0.07450336459006082-1.4572557419786633e-05j),(0.0022258967275899785+0.0005129682810683121j)
0.5,1.0,0,-0.9749921162923177,1.0,0.04938940526012124,(-0.9859343777425561-0.020023208196202458j),(0.999999991685682-8.751664509067197e-09j),(0.02833440873911862-0.039482347135345416j)
0.5,1.0,1,-0.9749921162923177,0.9509273105197482,0.0003175451743623449,(-0.9859343777425561-0.020023208196202458j),(0.9713794795919249+0.03928385967884384j),(-0.00028608681824119107-0.00019923502844252934j)
0.5,1.0,2,-0.9749921162923177,0.9506041208902994,-5.507012247107923e-06,(-0.9859343777425561-0.020023208196202458j),(0.9716783260751445+0.039481932434757415j),(1.2697324877891349e-05-1.2476710936783959e-06j)
0.5,1.0,3,-0.9749921162923177,0.9506223890516493,1.2765385003553497e-05,(-0.9859343777425561-0.020023208196202458j),(0.9716627290955866+0.039467953077225094j),(-2.967571397169102e-06-1.5127823741716798e-05j)
0.5,1.0,4,-0.9749921162923177,0.950638665093316,2.9091516302691565e-05,(-0.9859343777425561-0.020023208196202458j),(0.971656244259566+0.03946184781238161j),(-9.435229825452418e-06-2.1344034952695192e-05j)
0.5,1.0,5,-0.9749921162923177,0.9506043328179253,-5.101384077635076e-06,(-0.9859343777425561-0.020023208196202458j),(0.9716853042100337+0.03947201545808392j),(1.9543529221755875e-05-1.1281815527702268e-05j)
0.5,1.0,6,-0.9749921162923177,0.9505606757269965,-4.864879883825779e-05,(-0.9859343777425561-0.020023208196202458j),(0.9716711027309978+0.03953514970842012j),(5.36609578859975e-06+5.185009090274818e-05j)
