ks,hs,Gs_exact,E_estimate,re_E,M_z_exact,M_z_estimate,M_x_exact,M_x_estimate
0.2,1.5,(-30.234823544987965+7.084263644969308e-15j),(-30.234859568096077-0.0002480629051311349j),8.290600869944131e-06,-2.069525106840331e-15,-0.00017299999999999976,0.9500128367335231,0.95024029518707
0.4,1.5,(-27.968326321680912-2.5933928306327566e-14j),(-27.96729199349391-0.0007998488090473531j),4.674981284883834e-05,3.469446951953614e-15,-0.0004169999999999996,0.8678112322552121,0.8679829255871975
0.45,1.5,(-26.531946519803707-0.2509878618603736j),(-26.629576821690897-0.3601629867321969j),0.005519936096335883,0.027887540206708063,-0.040551000000000004,0.8137529597675353,0.8176239783403808
0.5,1.5,(-25.55030979993534-1.2839956209347863j),(-25.65478785445816-1.1113995416464937j),0.007886428802970665,0.12839956209347797,-0.105971,0.7760129382083208,0.7795068986467453
0.7,1.5,(-23.13739392744823-5.091493602875001j),(-23.100417822591844-5.0917453391583j),0.001560803702243847,0.363678114491071,-0.364522,0.6757080040921711,0.6747791171844824
0.1,1.5,(-30.692361430318087+2.4895979218808547e-15j),(-30.692266838466896-0.00023833060194657714j),8.354386882007642e-06,-1.573394192710964e-15,0.0020669999999999994,0.9663734626095805,0.9668171091844247
0.3,1.5,(-29.40131110081935+5.381633199818476e-15j),(-29.401102790054576-0.00039067108814361793j),1.50584570628317e-05,-9.020562075079397e-16,0.0011720000000000003,0.9200384305045209,0.9203494324161087
0.6,1.5,(-24.204886753663878-3.1966699921570036j),(-23.982134425144846-3.1999777110979997j),0.009124567770291213,0.2663891660130858,0.265174,0.7216179498242813,0.715244056688154
0.8,1.5,(-22.215276090773923-7.003284553162779j),(-22.11888205818737-6.992050876719645j),0.004166331063051331,0.4377052845726742,0.43684500000000004,0.634308112736512,0.6349548819088341
