h,k,r,M_z,M_z_err,c_r_z,c_r_z_err,cc_r_z,cc_r_z_err,M_z_LR,M_z_LR_err,c_r_z_LR,c_r_z_LR_err,cc_r_z_LR,cc_r_z_LR_err
2.75,0.25,0,(-0.0005741119384765625+0j),0.0004196702973785437,(1+0j),,(0.9999864685742068+0j),(2.1700535528107476e-06+0j),(-0.0015362860791400307+0.27620599267434554j),0.005137314592823403,(0.9999999692395884-2.4053375886371454e-08j),(0.005134064212108628+0j),(1.0762686202101943+0.0008585413666240703j),(0.004725767090247387-4.794819735052498e-06j)
2.75,0.25,1,(-0.0005741119384765625+0j),0.0004196702973785437,(0.09957766532897949+0j),(0.00017805179771918417+0j),(0.09957398514598026+0j),(0.00017805517294211125+0j),(-0.0015362860791400307+0.27620599267434554j),0.005137314592823403,(0.039069985219580106-0.0005731909659300487j),(0.002568789684856127+0j),(0.11535942309308489+0.00027422173955535484j),(0.00236479281539565-2.395481151082031e-06j)
2.75,0.25,2,(-0.0005741119384765625+0j),0.0004196702973785437,(0.022144436836242676+0j),(0.0001261215102006567+0j),(0.022142564194837178+0j),(0.00012612384832238433+0j),(-0.0015362860791400307+0.27620599267434554j),0.005137314592823403,(-0.04833033156843372-0.0002617636978266779j),(0.0018164074948504743+0j),(0.027950727369428878+0.0005852194424968536j),(0.0016721598225009808-1.6938624604290044e-06j)
2.75,0.25,3,(-0.0005741119384765625+0j),0.0004196702973785437,(0.005822579065958658+0j),(0.00010318257018315819+0j),(0.005822249777944913+0j),(0.00010318449496964975+0j),(-0.0015362860791400307+0.27620599267434554j),0.005137314592823403,(-0.06857703607543957-0.0001129303150703667j),(0.0014830881598750915+0j),(0.007708992748654336+0.0007367800131756598j),(0.0013653102258165506-1.383034553831321e-06j)
2.75,0.25,4,(-0.0005741119384765625+0j),0.0004196702973785437,(0.0019014903477260043+0j),(9.574966197913334e-05+0j),(0.0019018094405639982+0j),(9.575144601203634e-05+0j),(-0.0015362860791400307+0.27620599267434554j),0.005137314592823403,(-0.07363091919397574-0.00027583434474433445j),(0.0013730721482224564+0j),(0.0026578811550142453+0.0005757332289129309j),(0.0012640309107236486-1.280441330400783e-06j)
2.75,0.25,5,(-0.0005741119384765625+0j),0.0004196702973785437,(0.0008780161539713541+0j),(0.00010300805068609036+0j),(0.0008780533898971044+0j),(0.00010300997285027251+0j),(-0.0015362860791400307+0.27620599267434554j),0.005137314592823403,(-0.07496988460162435-0.00013981182989055362j),(0.001483087222197281+0j),(0.0013178691345937022+0.0007063526683970847j),(0.0013653092072480023-1.3830367062536776e-06j)
2.75,0.25,6,(-0.0005741119384765625+0j),0.0004196702973785437,(0.0005667209625244141+0j),(0.0001262033476975719+0j),(0.0005679076393789728+0j),(0.00012620571943150474+0j),(-0.0015362860791400307+0.27620599267434554j),0.005137314592823403,(-0.07584781201471012-0.00043943543080950684j),(0.001816403316428483+0j),(0.0004455984430510112+0.0004070673882868867j),(0.0016721552837366724-1.6938670560901475e-06j)
2.75,0.25,7,(-0.0005741119384765625+0j),0.0004196702973785437,(0.0006623268127441406+0j),(0.0001789595611185023+0j),(0.0006646992460446199+0j),(0.00017896289922001194+0j),(-0.0015362860791400307+0.27620599267434554j),0.005137314592823403,(-0.07571160917087544-0.0016444682650360492j),(0.002568782222658508+0j),(0.0005807475016597998-0.0007911758993511623j),(0.002364784698399083-2.395485958680152e-06j)
2.75,0.25,8,(-0.0005741119384765625+0j),0.0004196702973785437,(0.0003032684326171875+0j),(0.0003575183270994958+0j),(0.0003054612097912468+0j),(0.00035752496764725173+0j),(-0.0015362860791400307+0.27620599267434554j),0.005137314592823403,(-0.07617543047846403-0.003593453928324836j),(0.00513756405044737+0j),(9.736330761028018e-05-0.0027607493033278098j),(0.004729568941288172-4.790995991749268e-06j)
0.5,1.0,0,(0.9750146865844727+0j),0.00011106485407686073,(1+0j),,(0.04934557654632954+0j),(0.00015313788720505223+0j),(0.9857763471920944+0.019933161900115515j),0.00036724186965549934,(1.0000000037970902+1.3420491750838008e-08j),(0.0003696431499800973+0j),(0.028642273470902424-0.0392985123839277j),(0.0006314382287194319+8.393493873267571e-06j)
0.5,1.0,1,(0.9750146865844727+0j),0.00011106485407686073,(0.9509923458099365+0j),(7.699474328844375e-05+0j),(0.0003386466305528302+0j),(0.00010858878573733201+0j),(0.9857763471920944+0.019933161900115515j),0.00036724186965549934,(0.971065553019945+0.03907309510195396j),(0.00018246084702819055+0j),(-0.0002920827455819477-0.00022615717553230147j),(0.00031434309099491714+4.215183270062376e-06j)
0.5,1.0,2,(0.9750146865844727+0j),0.00011106485407686073,(0.9506546258926392+0j),(5.453288092318917e-05+0j),(9.969508028007112e-07+0j),(7.684732789143918e-05+0j),(0.9857763471920944+0.019933161900115515j),0.00036724186965549934,(0.9713515417056208+0.03930947509472553j),(0.0001290360962531533+0j),(-6.139591608811477e-06+1.0181541714086731e-05j),(0.00022228388241797082+2.9804567779346203e-06j)
0.5,1.0,3,(0.9750146865844727+0j),0.00011106485407686073,(0.9506443341573079+0j),(4.4473378297564775e-05+0j),(-9.370000043418258e-06+0j),(6.270814768624368e-05+0j),(0.9857763471920944+0.019933161900115515j),0.00036724186965549934,(0.9713655126728457+0.03930569116325105j),(0.00010535816842224551+0j),(7.89587997226977e-06+6.4558267180980955e-06j),(0.00018149439614546358+2.433524624844143e-06j)
0.5,1.0,4,(0.9750146865844727+0j),0.00011106485407686073,(0.9506406784057617+0j),(4.129540704803846e-05+0j),(-1.2976749920718637e-05+0j),(5.8142570924770256e-05+0j),(0.9857763471920944+0.019933161900115515j),0.00036724186965549934,(0.9713556911298523+0.039316153662906105j),(9.754230357176673e-05+0j),(-1.970087985036615e-06+1.6886525138742066e-05j),(0.00016803092386657079+2.2530107161088825e-06j)
0.5,1.0,5,(0.9750146865844727+0j),0.00011106485407686073,(0.9506638844807942+0j),(4.4566962054490366e-05+0j),(1.0295141692040488e-05+0j),(6.27747548254978e-05+0j),(0.9857763471920944+0.019933161900115515j),0.00036724186965549934,(0.9713570958858335+0.039290515746912925j),(0.00010535775008645564+0j),(-6.110774254218752e-07-8.776096742316015e-06j),(0.00018149415582139028+2.4335308876748866e-06j)
0.5,1.0,6,(0.9750146865844727+0j),0.00011106485407686073,(0.9506402015686035+0j),(5.445992401443359e-05+0j),(-1.334896751359338e-05+0j),(7.679577437836068e-05+0j),(0.9857763471920944+0.019933161900115515j),0.00036724186965549934,(0.9713636318968519+0.039316733549638626j),(0.00012903678636738374+0j),(5.924165013858514e-06+1.7382186703111837e-05j),(0.00022228427782017504+2.980455173233331e-06j)
0.5,1.0,7,(0.9750146865844727+0j),0.00011106485407686073,(0.9506783485412598+0j),(7.728242607675067e-05+0j),(2.4826273147482425e-05+0j),(0.00010879356166131056+0j),(0.9857763471920944+0.019933161900115515j),0.00036724186965549934,(0.9713584802932218+0.039273674998145686j),(0.00018248504014413002+0j),(7.067371244453072e-07-2.5722267279386824e-05j),(0.0003143571449481847+4.215008821586625e-06j)
