h,k,r,M_z,M_z_err,c_r_z,c_r_z_err,cc_r_z,cc_r_z_err,M_z_LR,M_z_LR_err,c_r_z_LR,c_r_z_LR_err,cc_r_z_LR,cc_r_z_LR_err
2.75,0.25,0,(6.654527452256944e-05+0j),0.000558817170550258,(1+0j),,(0.9999925541083535+0j),(2.1588595889131135e-06+0j),(-4.63795882690307e-05+0.2773190925262475j),0.001985055822435411,(0.9999999831012208+1.341283382095838e-08j),(0.0019635671499108444+0j),(1.0769009102567566+1.191976059477504e-05j),(0.001802650507189701-2.614316806854592e-08j)
2.75,0.25,1,(6.654527452256944e-05+0j),0.000558817170550258,(0.09926181369357638+0j),(0.00023736892771845176+0j),(0.09926147844978711+0j),(0.0002373713584270246+0j),(-4.63795882690307e-05+0.2773190925262475j),0.001985055822435411,(0.03912958318141458-0.0001684986714126331j),(0.0009934439742219734+0j),(0.11603756300710166-0.00014461393968487153j),(0.0009140125642551085-1.2840147042578202e-08j)
2.75,0.25,2,(6.654527452256944e-05+0j),0.000558817170550258,(0.022836049397786457+0j),(0.00016829105100115913+0j),(0.022836480472405028+0j),(0.00016829278198223865+0j),(-4.63795882690307e-05+0.2773190925262475j),0.001985055822435411,(-0.04870304548817038+0.00035183990583795006j),(0.0007024632021871498+0j),(0.028203113274054805+0.00037727094368764764j),(0.0006462960228972285-9.074806793924247e-09j)
2.75,0.25,3,(6.654527452256944e-05+0j),0.000558817170550258,(0.007416788736979167+0j),(0.00015028311946307485+0j),(0.007417012487227718+0j),(0.00015028466900018683+0j),(-4.63795882690307e-05+0.2773190925262475j),0.001985055822435411,(-0.06724112275766238+0.000263866126140291j),(0.0006282860453875126+0j),(0.009663329298401788+0.0002910978470854373j),(0.0005780471829444126-8.11239663188849e-09j)
2.75,0.25,4,(6.654527452256944e-05+0j),0.000558817170550258,(0.0033679538302951386+0j),(0.00016818296450740023+0j),(0.003368035633078155+0j),(0.0001681846938391908+0j),(-4.63795882690307e-05+0.2773190925262475j),0.001985055822435411,(-0.07274099848729126+0.0001187144307290494j),(0.0007024384972508065+0j),(0.00416399766632782+0.0001449029432880679j),(0.000646269165449559-9.072953708445965e-09j)
2.75,0.25,5,(6.654527452256944e-05+0j),0.000558817170550258,(0.001842498779296875+0j),(0.00023798262031087615+0j),(0.0018431647978205646+0j),(0.00023798506086300888+0j),(-4.63795882690307e-05+0.2773190925262475j),0.001985055822435411,(-0.0748486864517032+0.00033339201588763394j),(0.000993394262820604+0j),(0.0020611642707148103+0.000359567978664023j),(0.0009139585209548541-1.2832025674305241e-08j)
2.75,0.25,6,(6.654527452256944e-05+0j),0.000558817170550258,(0.0011249118381076388+0j),(0.0004817868107963003+0j),(0.0011245346912700268+0j),(0.00048179159799147965+0j),(-4.63795882690307e-05+0.2773190925262475j),0.001985055822435411,(-0.07512216374736232-0.0013327289475810419j),(0.0019867874431614718+0j),(0.0017833964438327618-0.0013040916222831712j),(0.0018279158170357616-2.5642784268755872e-08j)
0.5,1.0,0,(0.9748433430989583+0j),0.00014928809994241721,(1+0j),,(0.04967991271728856+0j),(0.00020580954427205038+0j),(0.9857330213518016+0.020181042935474583j),0.0004132091636931054,(0.999999991707286-8.784161887965968e-09j),(0.00040928996147100494+0j),(0.028737738685362686-0.039785694748746186j),(0.0007065978447548245+9.613954977736027e-06j)
0.5,1.0,1,(0.9748433430989583+0j),0.00014928809994241721,(0.950620863172743+0j),(0.00010330555702350062+0j),(0.0003013673219053695+0j),(0.00014581468840846982+0j),(0.9857330213518016+0.020181042935474583j),0.0004132091636931054,(0.9709689266685299+0.03959084210909882j),(0.0002086162260359878+0j),(-0.0002933949650919331-0.00019538398577023119j),(0.00035561366327753+4.775606579220085e-06j)
0.5,1.0,2,(0.9748433430989583+0j),0.00014928809994241721,(0.9503307342529297+0j),(7.315341548422473e-05+0j),(1.1235056768378448e-05+0j),(0.00010318129880549382+0j),(0.9857330213518016+0.020181042935474583j),0.0004132091636931054,(0.9712655064403891+0.039770912049382136j),(0.00014748322712529582+0j),(3.15901518799927e-06-1.543198427495212e-05j),(0.0002514388180670336+3.3770925210673973e-06j)
0.5,1.0,3,(0.9748433430989583+0j),0.00014928809994241721,(0.9503075493706598+0j),(6.55295632076783e-05+0j),(-1.191739510330889e-05+0j),(9.23584666439194e-05+0j),(0.9857330213518016+0.020181042935474583j),0.0004132091636931054,(0.9712817959475136+0.03977960227517019j),(0.00013191150030752888+0j),(1.946893010545033e-05-6.719883066057272e-06j),(0.0002248928334761389+3.0205774659629183e-06j)
0.5,1.0,4,(0.9748433430989583+0j),0.00014928809994241721,(0.9503169589572482+0j),(7.312951553000583e-05+0j),(-2.672504504314727e-06+0j),(0.00010316421120441088+0j),(0.9857330213518016+0.020181042935474583j),0.0004132091636931054,(0.9712755319148263+0.03978024426738364j),(0.0001474821703777589+0j),(1.3254116322342541e-05-5.859157979285503e-06j),(0.0002514381864845911+3.377127634963123e-06j)
0.5,1.0,5,(0.9748433430989583+0j),0.00014928809994241721,(0.9503233167860242+0j),(0.00010345397254384547+0j),(3.72594675152666e-06+0j),(0.0001459191835814128+0j),(0.9857330213518016+0.020181042935474583j),0.0004132091636931054,(0.9712702895096641+0.039767170747410464j),(0.00020857211167099848+0j),(8.00966800805183e-06-1.9076145040030484e-05j),(0.00035558778720966175+4.7759503327431455e-06j)
0.5,1.0,6,(0.9748433430989583+0j),0.00014928809994241721,(0.9503546820746527+0j),(0.0002083681824873455+0j),(3.52600020252996e-05+0j),(0.00029287833343118907+0j),(0.9857330213518016+0.020181042935474583j),0.0004132091636931054,(0.9712527340904447+0.03975228557273158j),(0.0004171494271084915+0j),(-9.671040765330603e-06-3.400598962070883e-05j),(0.0007111786510632205+9.55184761982733e-06j)
