E,var
(-20.350739669051773-0.22885051982288587j),490.435778435799
(-19.551707548492534-4.2964947128520325j),329.1435154351033
(-18.941129441972535-6.560219849666626j),259.26758744751345
(-18.178420805502824-8.46902762425629j),198.2196857444213
(-17.709648234238827-9.501127023833433j),167.68812745186239
(-17.364147026732653-9.900657522852113j),154.92063684765063
(-16.731233947413664-11.171610124053878j),145.26797264576828
(-16.476044503527216-11.400133442751677j),140.0920589872083
(-16.164030974042106-11.815948393045716j),131.5281413750243
(-15.836333597129531-12.367658071256841j),130.97255581814466
(-15.78078463108401-12.442734424491919j),129.72307901545602
(-15.577550131845586-12.576903588884996j),129.27457839943733
(-15.483296846303636-12.639959558480193j),127.38025501620088
(-15.165539575506305-13.27388497679433j),126.55988433137114
(-15.433933728196042-12.649173820656314j),127.03863216476287
(-15.117325300345753-13.236590933387513j),126.72280722273837
(-14.988391079723216-13.459916419713249j),125.71662000356358
(-14.96439628080367-13.361509493663394j),125.69481136988922
(-14.943423029705588-13.314783209763483j),125.33576670151352
(-15.058100479075158-13.269466711331573j),125.95068212040893
(-14.924539757345393-13.367320214830194j),125.67198331220433
(-14.879226312661004-13.685093151467958j),125.55602431622113
(-14.83958321873807-13.4873264181104j),125.60543479832513
(-14.861015668182944-13.297826444647262j),125.5058499598843
(-14.811350014871504-13.695986138774124j),125.42206265465273
(-14.784391288112795-13.480106894281722j),125.45712474108673
(-14.93895547754291-13.28685693935902j),125.52115820783968
(-14.817176220868326-13.527633946135767j),125.30161619854174
(-14.929345975217636-13.404974676251316j),125.50879565518224
(-14.784441757529633-13.488571699886084j),125.52293496957574
(-14.783793716712749-13.573969328808758j),125.43107637545377
(-14.695532651813714-13.733511106756772j),125.48909236026527
(-14.95166491761769-13.389633337159285j),125.41425427192618
(-14.80925689472032-13.607344985297829j),125.42001712104428
(-14.808758040925404-13.603137307678427j),125.42420589885873
(-14.831570508510106-13.398450874801856j),125.05304495877739
(-14.898680835201912-13.354540028832055j),125.49918671360807
(-14.627502654435778-13.764864367953836j),125.38399738989406
(-14.728435720244704-13.567202970835828j),125.5751816661458
(-14.690387588100148-13.794134588617691j),125.49241812393619
(-14.795166010430322-13.478609442713594j),125.46705407037324
(-14.778631171208017-13.729313395185377j),125.39785088163285
(-14.76657061722902-13.623792141887838j),125.44551976951394
(-14.656917114166887-13.789450880211918j),125.38352899323556
(-14.669975710166835-13.796638126272697j),125.37217232260527
(-14.744761287622554-13.611728745682358j),125.44247088810825
(-14.794582488119277-13.553481376589097j),125.46555217014055
(-14.785940493518273-13.691765888174432j),125.42505695526518
(-14.813670299834426-13.568506277810096j),125.42982953804439
(-14.8742650543783-13.43821380852768j),125.44479725552242
(-14.844938728136716-13.394005463614803j),125.3618885906303
(-14.956147401257525-13.219962907584138j),125.40152309564914
(-14.975095132382028-13.299494113056884j),125.43903877781968
(-14.761161507495698-13.57215057580289j),125.47792248102205
(-14.542101452202917-13.96261910693865j),125.44058170040991
(-14.885545031553534-13.399980043482389j),125.4743632707609
(-14.7942782771223-13.533148118267217j),125.44667907464444
(-14.873580987294869-13.510891697835929j),125.42724144275219
(-14.844056516948744-13.379778974880493j),125.50145113482898
(-14.800189851277667-13.614893145267995j),125.43510827306679
(-14.894658572056038-13.250358257385578j),125.44600506158493
(-14.55751284449715-13.925086237604058j),125.50915322934215
(-14.776602029719829-13.631491793143894j),125.42752660926612
(-14.756612440561623-13.62480994196478j),125.42703567598643
(-14.800575065070582-13.487735844821833j),125.439220028727
(-14.81783251002932-13.299781669484169j),125.35274026797657
(-14.764348478587216-13.580371488075299j),125.37171859735822
(-14.73029707941898-13.632996588995894j),125.37392227039082
(-14.682558290176116-13.598577214299189j),125.39931790663232
(-14.939635654864096-13.274780747058553j),125.38292547412118
(-14.720557672683832-13.736551488116993j),125.39811699463664
(-14.691698066588899-13.631215965223195j),125.38850940646337
(-14.759352437731664-13.590290361348488j),125.36727607655361
(-14.87173754031478-13.465527746059172j),125.41544601620478
(-14.71688409867324-13.701742867097845j),125.47757987115975
(-14.913948422264253-13.350913457422608j),125.41963125957255
(-14.882774241128216-13.410288326965764j),125.46520777344966
(-14.82105549270929-13.492678429039826j),125.4724647945856
(-14.915366093224032-13.389041320188783j),125.47512478199197
(-14.785161799784381-13.461187451144687j),125.41118456109012
(-14.748592917788079-13.563872899581689j),125.44768782292019
(-14.813585318041108-13.666058034176052j),125.50400955422356
(-14.702872710889626-13.638155120636622j),125.40077176078056
(-14.88926344748867-13.341308953477384j),125.53413943665795
(-14.811672343976218-13.570086404603556j),125.45918753377869
(-14.970881631367215-13.186935303333275j),125.46670122898705
(-14.791183082321291-13.497850267135918j),125.14298881120894
(-14.688727048428936-13.761986412186015j),125.40989193432759
(-14.915994540909576-13.319837552862419j),125.4059363049054
(-14.841214146766701-13.308030280910806j),125.44627320734477
(-14.848526290474855-13.487889019260315j),125.42450467608256
(-14.81638612862794-13.54846385022433j),125.49550471567309
(-14.75195049661556-13.515239331781714j),125.42900217627191
(-14.874650275361766-13.50142700665191j),125.48108860476081
(-14.846202901290933-13.648852108723956j),125.40643000941917
(-14.974347389347507-13.279672400968058j),125.35150976462968
(-14.946211645847466-13.243982577216842j),125.5086864708687
(-14.798549165257608-13.668780214099389j),125.4023359579943
(-14.731790863777347-13.69755623977728j),125.25260142240023
(-14.81761000770463-13.381462778411178j),125.49930692392586
(-14.824636698053569-13.597688952449714j),125.33309857214512
(-14.915236357139971-13.50503692323524j),125.42234852578602
(-14.813918869696481-13.512485921372738j),125.43068618846083
(-14.642898133266259-13.58147284110072j),125.36788950444549
(-14.809893703515431-13.506180568318452j),125.42991102174668
(-14.667608884909692-13.74362123175276j),125.14909753870134
(-14.69110309037843-13.73881076045409j),125.410920589522
(-14.759680093231966-13.846886008877073j),125.5275145278495
(-14.9106939723626-13.40873965916226j),125.39800402974042
(-14.872835426372506-13.458836287226791j),125.41088380705196
(-14.813323660870603-13.51936542843644j),125.39703009370908
(-14.79096000868297-13.673177431872091j),125.38725132602623
(-14.75509678584343-13.64001670297232j),125.3501206638494
(-14.814495262122831-13.46452756391656j),125.38352861838382
(-14.831912196207975-13.618387230217882j),125.42244853132725
(-14.84900793136959-13.290057242492841j),125.44636698133215
(-14.910830744414088-13.287756042057568j),125.47407881512322
(-14.813469426556813-13.449687843202527j),125.39926109184543
(-14.732927471874673-13.684920978260726j),125.37690657847004
(-14.973441587710271-13.214460044634489j),125.48185567100616
(-14.760846699983574-13.63066176808577j),125.25597561233674
(-14.800304878109529-13.568376028379115j),125.45803494500187
(-14.7636412905446-13.634746033990522j),125.37253663423625
(-14.878192876314587-13.491425016285088j),125.33384147646512
(-14.677099266816846-13.696225119402685j),125.4682522828182
(-14.865686956838603-13.382637920394117j),125.37347805631161
(-14.782912837816754-13.670863455221205j),125.41706366507808
(-14.929744180246125-13.440187989842102j),125.50771518109795
(-14.817974812250396-13.37753073055702j),125.40131961404241
(-14.701806940076661-13.613778898087705j),125.4749992689494
(-14.764206712852951-13.701151723413679j),125.40021659152764
(-14.778999728014622-13.629994695818032j),125.4410422243514
(-14.78437823417496-13.616346665280124j),125.34796759951637
(-14.9121964179654-13.548629950610911j),125.40379512195274
(-14.715498208624384-13.745647276001389j),125.40999308529594
(-14.924535192032256-13.289680514747179j),125.38072917285311
(-14.93174310303151-13.374724262499514j),125.41468801092508
(-14.856251886275826-13.368557440517858j),125.49924904057873
(-14.906383553676527-13.366032348520877j),125.38011545747443
(-14.870622417931491-13.473227546296322j),125.36984890917597
(-14.81723098984231-13.494472536994756j),125.45749994093153
(-14.741417299788244-13.546149117057096j),125.44329665083963
(-14.808352100982363-13.65303292675242j),125.46992183444704
(-14.814932379280352-13.435305878722197j),125.46745811764369
(-14.768961999098876-13.495363387613013j),125.5502078080864
(-14.975492708544717-13.249888798085847j),125.4125361010795
(-14.764506951320646-13.559840158693818j),125.42964332991893
(-14.93160871610022-13.36094320396248j),125.48896666421503
(-14.78498967886226-13.628097223287552j),125.10368252224845
(-14.845077734784283-13.422736217646154j),125.4501957726428
(-14.836713277684275-13.210529781447011j),125.40846206718543
(-14.81042251253273-13.40629486429979j),125.35749568318644
(-14.924652896823655-13.274624977938162j),125.46735349230828
(-14.831725512392323-13.29618966907382j),125.11031655231928
(-14.840789970425098-13.555776040154424j),125.40729997501
(-14.698382253510088-13.696055730899811j),125.36855610967937
(-14.763387032399663-13.642097932538888j),125.41668381296796
(-14.638778227266087-13.751206945399323j),125.34656233215986
(-14.776455578104487-13.570205368223567j),125.43669010011173
(-14.782520344712609-13.496401320046536j),125.42666735864545
(-14.782509269745741-13.650482020306367j),125.38403556803611
(-14.709586585362862-13.438317248057844j),125.4172334059124
(-14.934888553152598-13.430184126827458j),125.391553641738
(-14.760575048761105-13.67551924847969j),125.44543434014139
(-14.859997333295873-13.362805036738305j),125.3682514062764
(-14.881559477092404-13.34080765942969j),125.44261027652784
(-14.703350703317291-13.686509029347521j),125.46149273316792
(-14.9364020664423-13.126831622961035j),125.42230333315312
(-14.587212365389226-13.981762478013556j),125.43816232133436
(-14.830773075794493-13.442926692112975j),125.42371207918208
(-14.739198062513806-13.689286249848173j),125.40761359978774
(-14.884424285333873-13.28812694782428j),125.4672256589303
(-14.919457868613145-13.330116300119357j),125.4024666042298
(-14.720075817606677-13.6916025416381j),125.45044861890638
(-14.68071746382628-13.724360105453886j),125.37465886665888
(-14.789281423270799-13.403670278796177j),125.39733301882944
(-14.936450610695546-13.247405126159215j),125.44565891195967
(-14.830448176419635-13.373754116424289j),125.41470166047866
(-14.748931816650103-13.6268920980312j),125.3855273238555
(-14.85832455224376-13.572137975718674j),125.38425587399925
(-14.77490767499962-13.740431246234346j),125.38081587394743
(-14.806530522532892-13.285732076719503j),125.39504619842982
(-14.781695251156739-13.575774015507632j),125.3669017538067
(-14.791202126284755-13.49676117632821j),125.4916428148551
(-14.785423164321765-13.693414781462264j),125.46277818674241
(-14.870620966170677-13.32625311772883j),125.42666550553646
(-14.861306986012728-13.535546697331185j),125.44425661622908
(-14.60091098948994-13.971464229811543j),125.49474870041003
(-14.904568295589609-13.374319112278815j),125.3785673968294
(-14.974507549847626-13.416645549947027j),125.44994108291726
(-14.851965013494972-13.517293300336064j),125.3793896454086
(-15.000772278458454-13.22473444260853j),125.40376248039996
(-14.893205605629475-13.390972761809005j),125.52339254462903
(-14.661175697772203-13.70369806771164j),125.42826036747492
(-14.805394031893654-13.55178544874688j),125.45216991055159
(-14.844481368473776-13.530736197566677j),125.55221229128075
(-14.852968955439032-13.54443126116569j),125.47539204000275
(-14.88091115619395-13.430361742161086j),125.36478115731805
(-14.735695341531901-13.753205111937625j),125.42395332925487
(-14.772288189890263-13.715820106484903j),125.45132214113734
(-14.81622791981327-13.517263425361584j),125.45665408291414
(-14.79142646034722-13.621327655912358j),125.42881148780032
(-14.731159599698223-13.542705612296196j),125.39448717299679
(-14.61520750932385-13.804045125556806j),125.44962309334484
(-14.834352530906408-13.517394677910753j),125.4369855805425
(-14.832002762340217-13.48363761993426j),125.33504225888541
(-14.948794809196128-13.286952582372955j),125.42912951983604
(-14.673986815593363-13.722971957193176j),125.54206690292803
(-14.747869679049668-13.513446466426377j),125.44015459469851
(-14.71569126214158-13.731916856604341j),125.44019620285826
(-14.891122249786624-13.299300178697827j),125.4851809205418
(-14.848743456136711-13.37784083815554j),125.4067971648269
(-14.881374243352859-13.483178443316682j),125.47511944948042
(-14.83085017361502-13.484482820800674j),125.46709264528815
(-14.877259421880142-13.36435734007983j),125.37955889978804
(-14.781163906477891-13.689415449083405j),125.3303183394189
(-14.763413530381412-13.592365013659347j),125.43857174934767
(-14.89223208905434-13.440083946035037j),125.3820883347328
(-14.879228368021684-13.53923502363524j),125.38535145495689
(-14.778528275393777-13.595121174239026j),125.49448897971517
(-14.891219141607907-13.47010510619107j),125.4501078310304
(-14.840101644573954-13.377026467311584j),125.39279448743481
(-14.822460672351262-13.61932275623987j),125.36886174187823
(-14.843446946571786-13.456422428691722j),125.39870448977803
(-14.86997238217056-13.404697349880143j),125.41389922232557
(-14.674509174908726-13.772449688477288j),125.45985181404059
(-14.910331386033178-13.435933258142677j),125.21457967599326
(-14.918425754437214-13.154642651319069j),125.3737128882088
(-14.72527971428261-13.590634825311438j),125.38160498411892
(-14.80449185567189-13.357630652826032j),125.39469601738794
(-14.76886541248798-13.684771013695446j),125.42880558417274
(-14.797222252638186-13.671638284014854j),125.40745610619622
(-14.721372838443912-13.603992745580443j),125.49320403234428
(-14.852756280770082-13.363692814832863j),125.45121955496522
(-14.836157638239142-13.28809754641513j),125.4389151861316
(-14.841042822612355-13.568826403489362j),125.45264842398603
(-14.823662944297563-13.428328428517469j),125.3752786872534
(-14.942630971173378-13.163181627542906j),125.39974573657966
(-14.824819017952265-13.359295685386089j),125.40167012166822
(-14.824771692968891-13.234608820769788j),125.46003955838044
(-14.88896266370799-13.427204884882022j),125.43151801393955
(-14.803292652406736-13.534521101080022j),125.44569107269172
(-14.702959215871571-13.573381958628904j),125.42032694270675
(-14.843165967763522-13.432375355705744j),125.42740805741988
(-14.650287639374334-13.713312971363196j),125.38514231921403
(-14.777912565989029-13.381993293836086j),125.21460349627112
(-14.790228442533143-13.687143991195866j),125.39137683302182
(-14.862731289273272-13.384726203862384j),125.41210890251838
(-14.794052524300321-13.501927889250783j),125.39216116665924
(-14.852659376226722-13.609691163381132j),125.39450852567661
(-14.820068641974434-13.535897023150707j),125.4712759632495
(-14.64779325751191-13.783679024479444j),125.1602551328694
(-14.838925714729454-13.304267649579485j),124.89588752580377
(-14.687004632740802-13.673388977888457j),124.7428052610792
(-14.810448419612339-13.54392450208553j),124.41275623388269
(-14.729550249125106-13.636712011917114j),124.14423264033262
(-14.728097768591525-13.540828850303015j),123.94628179594471
(-14.916059602087492-13.376332738998306j),123.71744609487214
(-14.898474292248437-13.157737736812344j),123.4695714636306
(-14.74120144296969-13.642724171936848j),122.78839674555392
(-14.800992160623728-13.582250083127924j),123.01221731829455
(-14.752527037781997-13.657829981402227j),122.74875221748127
(-15.067738612525575-13.128430804939871j),122.47746389278213
(-14.758548459980723-13.483480913627202j),122.1759631486799
(-14.744701230772577-13.497806432269797j),121.94614752316194
(-14.712972729735881-13.651955082134094j),121.73676389851374
(-14.75245066483406-13.37466961231717j),121.42868953677252
(-14.915706826505174-13.544841602428281j),121.29929299315849
(-14.820434087584745-13.339736600322254j),120.91608424042458
(-14.818964144112899-13.462431143931791j),120.72248387862747
(-14.853878744350167-13.553651552388144j),120.46229145733915
(-14.774285523550537-13.504068466126933j),120.2330888920813
(-14.739097893660077-13.57317659753578j),119.93728933811104
(-14.824960389649359-13.573792065275635j),119.8121467429795
(-14.814333262141465-13.392112602383662j),119.38314638260769
(-14.813638711096313-13.401458869155405j),119.16878019746567
(-14.7431458855959-13.725354804463928j),119.0665904864091
(-14.815445260882688-13.457220648802855j),118.69149935030761
(-14.78323424977405-13.454384484902834j),118.47000095746303
(-14.64894374068146-13.699534657445751j),118.23269168197487
(-14.762060689790074-13.302247708476738j),117.97604989402859
(-14.783564919301204-13.602758419597599j),117.80256329795073
(-14.719975204302697-13.460410144466527j),117.45612884658027
(-14.716740273641465-13.667060175050304j),117.09882501675884
(-14.832307660210775-13.497017172960836j),117.05723984458632
(-14.762951074053866-13.393098810702673j),116.70228672295366
(-14.797494834175911-13.48203336671332j),116.56747871496246
(-14.69994070127108-13.604006403371491j),116.21007027687665
(-14.685007695669693-13.540712260997038j),115.94866955881655
(-14.879954013111515-13.417416470911594j),115.8374169610341
(-14.7566750553677-13.488040290186161j),115.47175574810855
(-14.756207461855013-13.454651702732837j),115.30015151657965
(-14.664290087325275-13.613504155689267j),115.11907656155911
(-14.762199238854606-13.677307980344684j),114.89993633735041
(-14.881768451742417-13.181109428489409j),114.4781214288823
(-14.861528792364986-13.535695300255396j),114.43946336064462
(-14.697609099387638-13.514411357941325j),114.09759624361479
(-14.728356332607142-13.604903090616023j),113.92230358000361
(-14.612599996921084-13.77005857674383j),113.72630092825091
(-14.567094880032911-13.809150754114784j),113.40603349863142
(-14.744292717761033-13.582133287549729j),113.19385521534294
(-14.871373152824876-13.210523132175972j),112.87080260534451
(-14.712133722076297-13.449030269450576j),112.6036225123229
(-14.76416174130895-13.476870814917042j),112.47640786842689
(-14.699308315340643-13.451642484761859j),112.16240646487171
(-14.684778613305099-13.618678910838833j),111.91816719477708
(-14.775409615623438-13.526635537081983j),111.8571481835512
(-14.913966924745548-13.213008266951027j),111.45031282232867
(-14.710467209305186-13.524193011557607j),111.29338210399801
(-14.75826681004062-13.613963416865358j),111.1683663678517
(-14.75937943813408-13.313490891252627j),110.587134032792
(-14.87214435161373-13.234136351226425j),110.54071884751127
(-14.660771680016383-13.633558225859746j),110.4217340841826
(-14.65423433694364-13.654529471903073j),110.06451492885006
(-14.737458013345512-13.5655792426952j),109.90484722330687
(-14.837178079780871-13.497172449723578j),109.75439074453452
(-14.679866125902436-13.81526092985119j),109.49252432154633
(-14.613368181440057-13.72662585631339j),109.19191308720438
(-14.84435117171171-13.444312013032187j),108.84628573260747
(-14.910649416502036-13.374387179017722j),108.74199499717224
(-14.637414554731137-13.461836278656893j),108.34355800085939
(-14.597295464097465-13.582858728301137j),108.18247034991737
(-14.757324378557382-13.172275982632796j),107.75754409678831
(-14.679467372855216-13.547248291056125j),107.47961497567104
(-14.745658659585906-13.421909423577175j),107.48515696204548
(-14.839957294882772-13.048926041936907j),107.04063773086035
(-14.855913788841205-13.080726205475434j),106.95361984344765
(-14.823355064573029-13.269026494005077j),106.75643743344918
(-14.692809933616347-13.5467759495246j),106.62514937591533
(-14.696896362699123-13.56371251843357j),106.33303370622468
(-14.775369326910823-13.468304375914439j),106.07607070830372
(-14.741030857605994-13.540665607267695j),105.867509692452
(-14.622882123699704-13.548212751907355j),105.54748256866672
(-14.742852012562214-13.588203433134607j),105.46548721962945
(-14.884919402986036-13.045648326768983j),105.06748181362622
(-14.642420926642961-13.370850545822991j),104.7003784940223
(-14.805113780391967-13.37013223927049j),104.74322094671254
(-14.59071453519787-13.676543372301422j),104.54507253297692
(-14.770085462916127-13.36016929667829j),104.26201142534343
(-14.619442422778693-13.621549058751727j),103.97484591487438
(-14.759922332964525-13.318880449163116j),103.70774948534758
(-14.617460080735997-13.694666276493816j),103.59484657117397
(-14.74793184510998-13.406190423646027j),103.31934563672014
(-14.745179707839283-13.524790773925327j),103.18821185831854
(-14.717191872216247-13.508153604182771j),102.8738680147442
(-14.722795956675535-13.36104244309189j),102.57906206956294
(-14.723146771194797-13.36202419424178j),102.28895419472526
(-14.591531398960187-13.655647093183335j),102.24876707508776
(-14.755709952252916-13.358274600171878j),101.93114775035659
(-14.840593214779645-13.197683002222089j),101.62203376440698
(-14.707324233329901-13.518122128136886j),101.625970741707
(-14.692086216146349-13.492038316813733j),101.21596427031459
(-14.69291785134284-13.254215255494323j),100.83556167344332
(-14.746189469881536-13.484234476562808j),100.90211897515721
(-14.58883830342256-13.53420009198051j),100.43301768726724
(-14.66308242015019-13.397030842519154j),100.29668516979524
(-14.599835465786986-13.601041310685002j),100.15935744957801
(-14.707787111691468-13.369718965600383j),99.84756795746905
