E,z,var
(-20.216005282068483+0.1754640545725485j),(-24.75-20.25j),468.89592190753916
(-20.107501364829954-4.212651464897453j),(-24.75-20.25j),320.91240254475963
(-19.590669071552476-6.741138988467446j),(-24.75-20.25j),253.75770631247968
(-19.06995827337648-8.600126411326993j),(-24.75-20.25j),199.34837788309113
(-18.68613030947954-9.800251583303204j),(-24.75-20.25j),177.04209500843007
(-18.227607248323114-10.865847040729873j),(-24.75-20.25j),155.1468770116455
(-17.928249254373483-11.44825057205251j),(-24.75-20.25j),144.60728000702633
(-17.678590875782366-11.814653609418306j),(-24.75-20.25j),140.41191674441987
(-17.270706008355-12.640811709046078j),(-24.75-20.25j),132.7834683890259
(-17.083459022445815-12.951420721275754j),(-24.75-20.25j),133.39764068121633
(-17.191221391352933-12.939652119039296j),(-24.75-20.25j),130.5839097333536
(-16.791193911910927-13.475122448561926j),(-24.75-20.25j),129.14331902649454
(-16.89358926359991-13.380422551280862j),(-24.75-20.25j),127.0203711433193
(-16.675399769564972-13.724521032278826j),(-24.75-20.25j),126.7634142249641
(-16.495423501799234-13.920710996300489j),(-24.75-20.25j),126.51614672146154
(-16.434251096114703-13.928488600938243j),(-24.75-20.25j),125.89722534930353
(-16.228520176019163-14.175950612336628j),(-24.75-20.25j),125.8502255933999
(-16.251157250948687-14.180511985171952j),(-24.75-20.25j),126.23904069564729
(-16.258694919184325-14.19355040959524j),(-24.75-20.25j),125.69896597835842
(-16.298077072018433-14.293665160025233j),(-24.75-20.25j),125.91929546051092
(-16.09972985840035-14.38158995427233j),(-24.75-20.25j),125.56703288851968
(-16.096841596033656-14.414261623045704j),(-24.75-20.25j),125.5563895565793
(-16.30469809497732-14.176775578943438j),(-24.75-20.25j),125.55226193368907
(-16.121047429425563-14.361202169134762j),(-24.75-20.25j),125.59930082735185
(-16.046242778387096-14.451505298652624j),(-24.75-20.25j),125.4634099632387
(-16.03950096354939-14.40542995005601j),(-24.75-20.25j),125.61479902147488
(-16.170034396028466-14.44233538656116j),(-24.75-20.25j),125.43777673806295
(-16.326522918228385-14.202462077218199j),(-24.75-20.25j),125.43255474675061
(-16.18950040547254-14.395471563856791j),(-24.75-20.25j),125.44183715395621
(-16.116983724124193-14.435787115605118j),(-24.75-20.25j),125.37804343139757
(-15.97175487825279-14.506428548931229j),(-24.75-20.25j),125.48692430827636
(-16.088537803323092-14.305755516255156j),(-24.75-20.25j),125.42825855872437
(-16.141370274688356-14.385762733479204j),(-24.75-20.25j),125.32875566313506
(-16.207993746506062-14.325340252860933j),(-24.75-20.25j),125.44073392471536
(-16.133478437668206-14.451854109663094j),(-24.75-20.25j),125.48749476770142
(-16.192051282976976-14.336574015044027j),(-24.75-20.25j),125.48613228430325
(-16.343652361321244-14.284478996052034j),(-24.75-20.25j),125.56975705141336
(-15.986093803787815-14.574400578502233j),(-24.75-20.25j),125.53449004856287
(-16.209761181057292-14.339986258216246j),(-24.75-20.25j),125.48683803254269
(-16.17702267452778-14.347027694609288j),(-24.75-20.25j),125.16493866054735
(-16.107667985624342-14.410520690735542j),(-24.75-20.25j),125.55609389028075
(-16.191326047607806-14.27157929096575j),(-24.75-20.25j),125.3123605001707
(-16.158256648075845-14.468965390624257j),(-24.75-20.25j),125.4084210513076
(-16.235082713053465-14.246809467916892j),(-24.75-20.25j),125.45874661490016
(-16.237910487849415-14.240814469925873j),(-24.75-20.25j),125.42437825246621
(-16.21421730786486-14.30670373558352j),(-24.75-20.25j),125.39864630024738
