E,z,var
(-16.018478860733847-14.495280876829185j),(-24.75-20.25j),125.46534123221633
(-16.113011336166327-14.408587255276588j),(-24.75-20.25j),125.4356094517297
(-16.238057033011533-14.295206216479519j),(-24.75-20.25j),125.43414322840685
(-16.20264103949919-14.298843993631284j),(-24.75-20.25j),125.42000335942978
(-16.17646310497262-14.434567788113497j),(-24.75-20.25j),125.33062651936629
(-16.234545711273665-14.279091292960576j),(-24.75-20.25j),125.23756148977934
(-16.094449601013196-14.390189994002755j),(-24.75-20.25j),125.47694508534896
(-16.16594025786948-14.190606706651797j),(-24.75-20.25j),125.35557319595179
(-16.15873271554546-14.381979530304545j),(-24.75-20.25j),125.34224909928223
(-16.11435999893414-14.262814287871066j),(-24.75-20.25j),125.52731559132918
(-15.984795806024772-14.506527109098604j),(-24.75-20.25j),125.3947467414929
(-16.310983883927364-14.250070005373734j),(-24.75-20.25j),125.39568555706663
(-16.2682104658322-14.404733141137955j),(-24.75-20.25j),125.4874040346713
(-16.283711684837783-14.210649654426922j),(-24.75-20.25j),125.44210765771847
(-16.074436843482168-14.41625320348923j),(-24.75-20.25j),125.39774256417338
(-15.951008274219756-14.601111461394977j),(-24.75-20.25j),125.39115388660743
(-16.21230745734042-14.258359762245242j),(-24.75-20.25j),125.4914254520771
(-16.269271025152186-14.343614164718936j),(-24.75-20.25j),125.2169228317011
(-16.17156834135304-14.372900253704683j),(-24.75-20.25j),125.51706143283089
(-16.274198972490936-14.310539004803916j),(-24.75-20.25j),125.42489850814984
(-16.19344759328936-14.458096721755714j),(-24.75-20.25j),125.43221946158563
(-16.18977622662769-14.282124377719672j),(-24.75-20.25j),125.47366950794265
(-16.28933603239783-14.2106167372696j),(-24.75-20.25j),125.46371386270567
(-16.1949776871978-14.413328828355176j),(-24.75-20.25j),125.46769086290206
(-16.0966328219951-14.484649976927136j),(-24.75-20.25j),125.42303567419867
(-16.154133818244528-14.271357415922541j),(-24.75-20.25j),125.38199394928314
(-16.134190253610036-14.383886610015686j),(-24.75-20.25j),125.42735413712137
(-16.16797715747432-14.310119977674818j),(-24.75-20.25j),125.48918337632429
(-16.202890195477103-14.27735259915773j),(-24.75-20.25j),125.3430049993949
(-16.140750056804173-14.320262892219672j),(-24.75-20.25j),125.42919174612585
(-16.12347510471439-14.459505639747599j),(-24.75-20.25j),125.46491681461248
(-16.113713633391612-14.37779153614486j),(-24.75-20.25j),125.41167795124758
(-16.197601103680093-14.28825970374421j),(-24.75-20.25j),125.56423690401597
(-16.07922067111056-14.524175265839094j),(-24.75-20.25j),125.41865890097799
(-15.991267278255119-14.563137182683352j),(-24.75-20.25j),125.44881591394878
(-15.951035178361888-14.509498966754855j),(-24.75-20.25j),125.403636802952
(-16.162739297299588-14.370808472132936j),(-24.75-20.25j),125.3927226183412
(-16.177143944163593-14.414742415472743j),(-24.75-20.25j),125.53708139442026
(-16.134642080010103-14.35383495133224j),(-24.75-20.25j),125.56668507423963
(-16.119417846838186-14.425126372639406j),(-24.75-20.25j),125.42050901046179
(-16.121380654679122-14.333350936026767j),(-24.75-20.25j),125.50598109052352
(-16.1627449868005-14.380973602664492j),(-24.75-20.25j),125.40538581916572
(-16.027239180001214-14.506897130003063j),(-24.75-20.25j),125.44144715005828
(-15.933115434498728-14.527745984666451j),(-24.75-20.25j),125.40862061377898
(-16.06942484814495-14.543215646310102j),(-24.75-20.25j),125.44006441462552
(-16.16305361655598-14.369290090794733j),(-24.75-20.25j),125.43123500452548
(-16.29064508652414-14.226806021568436j),(-24.75-20.25j),125.43114888423068
(-16.258267079572278-14.174603464631947j),(-24.75-20.25j),125.48290183737454
(-16.057518843154998-14.35899282062831j),(-24.75-20.25j),125.50300302546377
(-16.2614160457521-14.193046413278333j),(-24.75-20.25j),125.47595601569137
(-16.15323978516366-14.369331561868533j),(-24.75-20.25j),125.36704277684969
(-16.02272382140796-14.532163362606324j),(-24.75-20.25j),125.47251868138217
(-15.91087804539482-14.608440583299647j),(-24.75-20.25j),125.41051462271598
(-16.171805228159524-14.358866797489947j),(-24.75-20.25j),125.45386529694197
(-15.970956795283374-14.655676404149432j),(-24.75-20.25j),125.39914838054021
(-16.22650281201791-14.28772080639082j),(-24.75-20.25j),125.47119968746368
(-15.96605194325342-14.660190462019333j),(-24.75-20.25j),125.38178757902497
(-16.22316436343715-14.259387702244902j),(-24.75-20.25j),125.5384498610978
(-16.09189608268917-14.371332848734871j),(-24.75-20.25j),125.42766135577216
(-16.039108587701694-14.461123236164518j),(-24.75-20.25j),125.40551635159501
(-16.301410510101974-14.281884813246123j),(-24.75-20.25j),125.5188583553325
(-16.04286433449313-14.413140525185426j),(-24.75-20.25j),125.40694028048678
(-16.112119897996614-14.330676520824042j),(-24.75-20.25j),125.48293124339244
(-16.11411677890396-14.36030937550517j),(-24.75-20.25j),125.34802899516184
(-16.21633228005298-14.346317013999736j),(-24.75-20.25j),125.38688529111555
(-16.07950086032882-14.350393475712224j),(-24.75-20.25j),125.37372860838556
(-16.16713371485913-14.385767098826427j),(-24.75-20.25j),125.4721612459434
(-16.285914414034714-14.254834803542337j),(-24.75-20.25j),125.46640480626722
(-16.162047554645994-14.41056872340887j),(-24.75-20.25j),125.39754932858516
(-16.006570895747178-14.509535658794649j),(-24.75-20.25j),125.55176734704345
(-16.05899144426566-14.380230437079009j),(-24.75-20.25j),125.36956465226469
(-15.93563476852688-14.545101015368893j),(-24.75-20.25j),125.50094830598992
(-15.95234384973469-14.573629353856653j),(-24.75-20.25j),125.3648257348357
(-16.179632605002077-14.31645974120232j),(-24.75-20.25j),125.41527721483524
(-16.09959993120787-14.357231306646268j),(-24.75-20.25j),125.49220740782609
(-16.171192522059943-14.361463588051018j),(-24.75-20.25j),125.52171399984859
(-16.173666602611128-14.317922155918893j),(-24.75-20.25j),125.43127909798532
(-16.07692766242294-14.437034054032221j),(-24.75-20.25j),125.42871280817985
(-16.19794256218728-14.409739825628066j),(-24.75-20.25j),125.45465892758588
(-16.224970908593516-14.290012370643792j),(-24.75-20.25j),125.3536886635748
(-16.075761855782716-14.426264046450504j),(-24.75-20.25j),125.57066535008353
(-16.11655181966861-14.383502897343991j),(-24.75-20.25j),125.4946182664461
(-16.102468024129788-14.494578174547078j),(-24.75-20.25j),125.44956710189098
(-16.008688497313116-14.54849000445803j),(-24.75-20.25j),125.4091839268301
(-16.238557788527142-14.326516263749227j),(-24.75-20.25j),125.48740024184917
(-16.04046178876398-14.50462633932777j),(-24.75-20.25j),125.39681940412753
(-16.231224616724532-14.256969982737711j),(-24.75-20.25j),125.4388861963517
(-16.00442558439495-14.555342903615077j),(-24.75-20.25j),125.4755225221488
(-16.119718846472505-14.384266942530598j),(-24.75-20.25j),125.45109123502466
(-16.10101617727028-14.45716904602443j),(-24.75-20.25j),125.42694264835987
(-16.06576858355064-14.461105397963513j),(-24.75-20.25j),125.43671365851515
(-16.09078365413899-14.414999593137873j),(-24.75-20.25j),125.38183913356573
(-16.1925453978662-14.310444367004745j),(-24.75-20.25j),125.4199174368394
(-16.132768988955654-14.44001876085158j),(-24.75-20.25j),125.39168211843005
(-15.917539004459128-14.595673842943233j),(-24.75-20.25j),125.39518235645286
(-16.220852923762664-14.31844847866627j),(-24.75-20.25j),125.46735041582319
(-16.120334686377927-14.50086083905695j),(-24.75-20.25j),125.41168371090131
(-15.987062465106908-14.481904923502658j),(-24.75-20.25j),125.42284701120234
(-16.34184574732521-14.210447907439386j),(-24.75-20.25j),125.36520524810528
(-16.26391287547869-14.230027782293096j),(-24.75-20.25j),125.49722902887402
(-16.05704844267019-14.44489784784986j),(-24.75-20.25j),125.41996349519799
(-16.025558980007894-14.451431189269611j),(-24.75-20.25j),124.81401438455626
(-16.1968645794111-14.234170899027749j),(-24.75-20.25j),125.46629224897214
(-16.082996828418505-14.359558094956544j),(-24.75-20.25j),125.35189264376636
(-16.13368245686605-14.337755662110881j),(-24.75-20.25j),125.33334192511431
(-15.775740816436517-14.723001402318415j),(-24.75-20.25j),125.4866541154754
(-16.323303762992825-14.2396888294446j),(-24.75-20.25j),125.42832433641036
(-16.078051457932542-14.381187810610086j),(-24.75-20.25j),125.45018991049452
(-16.32488611131457-14.301816749778993j),(-24.75-20.25j),125.42340325659511
(-16.120329515293047-14.390982660987678j),(-24.75-20.25j),125.4246051194729
(-16.116678085736023-14.43581415083942j),(-24.75-20.25j),125.44358272532894
(-15.969879142481984-14.50032812421407j),(-24.75-20.25j),125.43040338486703
(-16.244182275697586-14.301200913350067j),(-24.75-20.25j),125.4783094830008
(-16.063772797299297-14.41956322270822j),(-24.75-20.25j),125.43622513016642
(-16.288829651767454-14.222079573365056j),(-24.75-20.25j),125.4934194484643
(-16.107746982841025-14.42028521001532j),(-24.75-20.25j),125.51147809185761
(-16.070193489559873-14.523871295851746j),(-24.75-20.25j),125.28608569425774
(-16.17424969279269-14.324663394339435j),(-24.75-20.25j),125.45325354530682
(-16.209843985937606-14.295792399319083j),(-24.75-20.25j),125.4962792719101
(-16.234068882962013-14.237234172490467j),(-24.75-20.25j),125.3503120634028
(-16.24306777878767-14.214656079687174j),(-24.75-20.25j),125.34531328760254
(-15.847801491070397-14.613990295234785j),(-24.75-20.25j),125.42071185937142
(-16.107212157493116-14.409576712472651j),(-24.75-20.25j),125.39888596831973
(-16.25071143742979-14.25586965027588j),(-24.75-20.25j),125.4181866643295
(-16.109076164789595-14.381923523084282j),(-24.75-20.25j),125.45948561069679
(-16.114834638478147-14.44332212943009j),(-24.75-20.25j),125.36194242031138
(-15.858533392979227-14.6446333947345j),(-24.75-20.25j),125.42902700919568
(-16.202828342432113-14.307250177640004j),(-24.75-20.25j),125.45130046725978
(-16.09291819892496-14.475144844858328j),(-24.75-20.25j),125.45631022216926
(-15.981359848863626-14.552191217537663j),(-24.75-20.25j),125.36059211591518
(-16.00810730729522-14.541601511305448j),(-24.75-20.25j),125.44191231874281
(-16.033373448326966-14.414752160439756j),(-24.75-20.25j),125.42927910180262
(-16.11821544978678-14.320924299903854j),(-24.75-20.25j),125.41665335327448
(-16.307187743015213-14.266961084993381j),(-24.75-20.25j),125.40767654983898
(-15.988049893698612-14.529547777474853j),(-24.75-20.25j),125.39413857281718
(-15.97666131590001-14.558035235789248j),(-24.75-20.25j),125.3409574150317
(-15.967346576243221-14.564358689018457j),(-24.75-20.25j),125.45457831074548
(-15.958264416934286-14.520675939921189j),(-24.75-20.25j),125.4838816347473
(-16.012531964678924-14.47941282761413j),(-24.75-20.25j),125.45618972751595
(-16.08844263374858-14.334385467542342j),(-24.75-20.25j),125.33408244646425
(-16.275590041918843-14.232954321791174j),(-24.75-20.25j),125.48813580843964
(-16.04940796970565-14.478802270080946j),(-24.75-20.25j),125.42727474751639
(-16.202536335375644-14.241234025089266j),(-24.75-20.25j),125.44171766276318
(-16.079267523705013-14.519903090702204j),(-24.75-20.25j),125.45022382970285
(-16.134957341465952-14.441596298282015j),(-24.75-20.25j),125.0290274702967
(-16.02396002561564-14.394577368223704j),(-24.75-20.25j),125.1636415842428
(-16.328972000106656-14.146811941592324j),(-24.75-20.25j),125.43431596872307
(-16.15857882901785-14.338142385040479j),(-24.75-20.25j),125.44617311041496
(-16.159959252446715-14.319551627828414j),(-24.75-20.25j),125.43729202533927
(-16.14074687601738-14.499622572324737j),(-24.75-20.25j),125.5217939435515
(-15.9987660764326-14.477323915314136j),(-24.75-20.25j),125.45921565043568
(-16.100226573629996-14.44751937943131j),(-24.75-20.25j),125.44116215497675
(-16.101294473580314-14.414901975406647j),(-24.75-20.25j),125.43191056716357
(-16.197729135387505-14.370898208229198j),(-24.75-20.25j),125.41990780463694
(-16.261262604391966-14.286687650058036j),(-24.75-20.25j),125.37130377931678
(-16.07131497577681-14.482377889547864j),(-24.75-20.25j),125.38493106109046
(-16.081208251787935-14.384491818355551j),(-24.75-20.25j),125.47765354900193
(-15.98519818670614-14.575739862731844j),(-24.75-20.25j),125.46279809849422
(-16.185420878131396-14.352151069833322j),(-24.75-20.25j),125.40457741715333
(-16.20311069813721-14.36580319400256j),(-24.75-20.25j),125.45135589981739
(-16.02905968455374-14.46712205452061j),(-24.75-20.25j),125.2262421718801
(-15.978248517162173-14.551635552185546j),(-24.75-20.25j),125.37088235560161
(-16.127270103173288-14.311918427378046j),(-24.75-20.25j),125.3985870404632
(-16.29163690930821-14.205391750320961j),(-24.75-20.25j),125.45853423112581
(-15.989600974922167-14.4663983209745j),(-24.75-20.25j),125.42368705369786
(-16.213317103498028-14.262750618167873j),(-24.75-20.25j),125.42865545862661
(-16.087722996979068-14.420826782424179j),(-24.75-20.25j),125.32732406911953
(-16.323965472710288-14.266830498520298j),(-24.75-20.25j),125.3931624442845
(-16.042718498382534-14.448454761544232j),(-24.75-20.25j),125.38009525651302
(-15.886540062155714-14.582258082004554j),(-24.75-20.25j),125.4923277972976
(-16.06321529778652-14.45746280391439j),(-24.75-20.25j),125.38179614368836
(-16.08140716563177-14.347153112809867j),(-24.75-20.25j),125.43930004490363
(-16.217293601278588-14.351120204174597j),(-24.75-20.25j),125.45741756263793
(-16.14166747581337-14.34172957297682j),(-24.75-20.25j),125.35226814327214
(-15.992036003920965-14.50814354628001j),(-24.75-20.25j),125.39534698644927
(-16.17732922817694-14.388825021641999j),(-24.75-20.25j),125.47870429274224
(-16.05655568859047-14.411168573392775j),(-24.75-20.25j),125.40245988387603
(-16.058066132678658-14.454122374595459j),(-24.75-20.25j),125.42344410703122
(-15.917024044074815-14.554522533851012j),(-24.75-20.25j),125.46001395948254
(-16.022796890134007-14.39303181652839j),(-24.75-20.25j),125.3608756138282
(-16.13907898836287-14.384612042331325j),(-24.75-20.25j),125.38962654554538
(-16.166646921425198-14.297987568071848j),(-24.75-20.25j),125.47944444532503
(-16.08899898096172-14.373259192801045j),(-24.75-20.25j),125.39028445927363
(-15.923412742595827-14.635374444621604j),(-24.75-20.25j),125.34265478000621
(-16.222846583228645-14.373336120763794j),(-24.75-20.25j),125.44789736899905
(-15.985100392213974-14.450878069945656j),(-24.75-20.25j),125.42194837958735
(-16.408051425387153-14.225606307057669j),(-24.75-20.25j),125.3683780071694
(-15.944952803262861-14.475490311865927j),(-24.75-20.25j),125.4469367520538
(-16.078267128405617-14.414919249334783j),(-24.75-20.25j),125.44255459509999
(-16.22550964127134-14.272669411222635j),(-24.75-20.25j),125.44518901142116
(-16.195199737193896-14.23766965278346j),(-24.75-20.25j),125.33842030879178
(-16.33962525275021-14.204243831452194j),(-24.75-20.25j),125.40043069203575
(-16.01655405757494-14.386429359387206j),(-24.75-20.25j),125.37009518716444
(-16.083610242638716-14.391595739308293j),(-24.75-20.25j),125.41484966177137
(-16.03154041672827-14.45356976312483j),(-24.75-20.25j),125.44102656385535
(-16.02495356480254-14.499186143155958j),(-24.75-20.25j),125.4012803756708
(-16.186939920303015-14.357272125393957j),(-24.75-20.25j),125.37084511287952
(-16.046755403363846-14.482052132848787j),(-24.75-20.25j),125.34552262350175
(-16.160843705424043-14.420724552233233j),(-24.75-20.25j),125.43470441964185
(-16.15462172417521-14.325836855708136j),(-24.75-20.25j),125.4009136098072
(-16.192999107672954-14.255727739312544j),(-24.75-20.25j),125.47104981562653
(-15.950434639001136-14.537225153230128j),(-24.75-20.25j),125.40255838722338
(-16.2047804309364-14.306493261786159j),(-24.75-20.25j),125.37142787533575
(-16.067083105222014-14.422536250297146j),(-24.75-20.25j),125.42729833266156
(-16.058668087266824-14.503631427205987j),(-24.75-20.25j),125.37635402407206
(-16.047623971724548-14.400359459141095j),(-24.741297623971725-20.24415035945914j),125.20864301819023
(-16.046191436730698-14.473097641292707j),(-24.732592382873463-20.238446195282584j),124.987264109078
(-16.104600058524024-14.347775252788377j),(-24.72406380017557-20.232293325758366j),124.74126615308282
(-16.198021932186858-14.28520698207939j),(-24.715792087728747-20.22614082792832j),124.58278993377311
(-16.10558531868764-14.367292069646934j),(-24.706777926593436-20.220586460348233j),124.33985204777476
(-15.91572093031867-14.597599900730929j),(-24.696994325581915-20.216085599404384j),124.07339787319394
(-16.18697738293519-14.286089077286839j),(-24.690058841680546-20.208252623541007j),123.83487883070738
(-16.194295392050677-14.399983900226125j),(-24.681554363136406-20.20319987120181j),123.75495944057737
(-16.125045382205858-14.297858810434516j),(-24.67237540843985-20.196430729293912j),123.43865813245495
(-16.075908011802643-14.453511371318523j),(-24.663259080118028-20.192035113713185j),123.30289767458127
(-16.14957266164938-14.335863491561417j),(-24.655395299278144-20.184944498407173j),123.04169804540625
(-16.08961865542888-14.31834494908109j),(-24.646075423865145-20.178820139388975j),122.88932511680112
(-16.113000240480645-14.386646835717588j),(-24.637719003126247-20.17377640886433j),122.65375154564194
(-16.312594833362706-14.322966211420757j),(-24.63187632766708-20.16702152695989j),122.45090720856858
(-16.21879945897891-14.255114039227085j),(-24.622031991884683-20.160076710588406j),122.17797457406064
(-16.033437383777386-14.366630446430394j),(-24.610534998140437-20.155866087142886j),121.90111061653653
(-16.234346526588105-14.271785818827851j),(-24.605233890951997-20.148370358920076j),121.65905073187594
(-16.165762692020227-14.294713010585058j),(-24.595483728456365-20.14280483419053j),121.5121921013398
(-16.01706282928755-14.472042037903142j),(-24.584074193756464-20.14021879872016j),121.29093102746947
(-16.27726126026669-14.158587510499915j),(-24.580545225205334-20.128171750209997j),121.02152571645058
(-16.148924613617567-14.309542696910496j),(-24.569377416885967-20.125250396635117j),120.93770039184496
(-16.06150174534938-14.518306269461846j),(-24.558853038397686-20.123902737928162j),120.668067754438
(-16.149556153355896-14.324444493986032j),(-24.552189791527187-20.11371222336168j),120.48393725935533
(-16.212034775644902-14.395078311632588j),(-24.545088834615477-20.109481879479183j),120.32921982439487
(-16.083495112979776-14.452922909457007j),(-24.53333737782449-20.105073072736424j),119.95816828274056
(-16.05407406910459-14.386371344465166j),(-24.52390592579672-20.097545654956093j),119.78490100137596
(-15.97409108364101-14.450025857137655j),(-24.513050459258306-20.093400698142716j),119.58892596192896
(-16.16597865083542-14.34112946649084j),(-24.50964740222339-20.084551625061742j),119.43498587533182
(-16.131293352538144-14.368310819799571j),(-24.500057507223605-20.079431013774187j),119.21713928800281
(-15.939740590183591-14.566647269821479j),(-24.48569221770551-20.079499418094642j),118.95467736519949
(-16.046504156259413-14.403666425529124j),(-24.480191628844043-20.068763659191404j),118.65777938219594
(-15.844592571397614-14.518335017451609j),(-24.46502696228472-20.06658672055845j),118.47610320064429
(-16.030572853176672-14.42798573895227j),(-24.462258904154833-20.057873529385425j),118.30230175197616
(-16.301286174958268-14.309452254465286j),(-24.46274372994858-20.048021376651818j),117.9086960393946
(-16.061455870559875-14.300191558078167j),(-24.445900955469597-20.041756704532734j),117.90087745708136
(-16.084889859626866-14.458744831536318j),(-24.438056034946566-20.041514813935308j),117.69003321683576
(-15.99059315918638-14.516326028837957j),(-24.425901946889898-20.037854063067005j),117.43714874667309
(-16.270487905112667-14.238385921842063j),(-24.427778540394282-20.02155866503j),117.35162047407252
(-15.813600364462076-14.654090161219784j),(-24.40148041421402-20.031759516287572j),116.8937906673365
(-16.03438640405072-14.41138244084011j),(-24.40137545616203-20.016455297633602j),116.80278239524453
(-16.093843800303894-14.446837877024455j),(-24.395097595812462-20.012070352958006j),116.7152855678308
(-16.14200059528831-14.336662690328604j),(-24.388464025002108-20.001639832993803j),116.47522524582716
(-16.037437222586213-14.454349150306836j),(-24.375359800571207-20.000787013463192j),116.17962578548745
(-16.16340295195167-14.217241033811245j),(-24.37218972988587-19.984558605487692j),115.9940090403149
(-15.91197089157106-14.446386402100126j),(-24.352288690120698-19.988837388094503j),115.72347451658001
(-16.182357832262877-14.433730366422235j),(-24.355888460284092-19.982451596855423j),115.76447113901382
(-15.97527745501592-14.479728253049917j),(-24.337588040385747-19.978797227893345j),115.29437462089922
(-16.232994330175014-14.340384686052936j),(-24.3411837278484-19.96633846493054j),115.29099757887366
(-16.22199698193318-14.295124361358017j),(-24.332127852114727-19.95821109370654j),115.02646504046675
(-15.837912527034689-14.652911368831042j),(-24.304395626351734-19.970145568441552j),114.6576814385578
(-16.137301201997406-14.30694311858251j),(-24.310752361301866-19.946904099047707j),114.56050114581346
(-15.932147489408985-14.505758359330553j),(-24.291471669449265-19.95129943468519j),114.2197955347675
(-16.01593438677231-14.460198382694752j),(-24.287094522498933-19.94314051428282j),114.1546385530699
(-16.125234609420854-14.336682328342526j),(-24.284262668908728-19.930680845730496j),113.96013646686059
(-16.02891609207247-14.43649789349591j),(-24.270340385063985-19.930257384142276j),113.63445606415827
(-16.157525156596858-14.335654570128513j),(-24.268821408769423-19.918796655927196j),113.53399822662254
(-16.2265156783881-14.31805843389195j),(-24.26416139366812-19.91187933073184j),113.42849703610939
(-16.04826834865722-14.390155360285027j),(-24.24529956422212-19.91012901089653j),113.07562908001059
(-15.877352202879939-14.478086865341268j),(-24.226513779969917-19.909457125055134j),112.46968735283374
(-16.083602038597665-14.335420153900072j),(-24.230016122315856-19.895125209234006j),112.67927451167319
(-15.880815221580525-14.51872191095316j),(-24.20897972851641-19.900392036568142j),112.3964875258719
(-15.910821678745204-14.57921196404468j),(-24.201970944082202-19.89841114177077j),112.26948340121346
(-16.170942662296316-14.269639247014378j),(-24.20951938772467-19.873237272561905j),112.10888398495374
(-16.070749848302377-14.30082478077012j),(-24.194527990291352-19.869252785969287j),111.71235014880952
(-15.965912214119266-14.531699122662877j),(-24.179034293917756-19.878310442973085j),111.64435950924441
(-16.189233345793316-14.414008428285594j),(-24.18498940082236-19.86482455626685j),111.59840477845285
(-16.135527166740733-14.328741106646396j),(-24.17283032017163-19.85327565414531j),111.24736528793646
(-16.14382030596162-14.306342002788535j),(-24.16477978080539-19.84583125618962j),110.99909820917136
(-16.29372103949762-14.150695078996007j),(-24.16651675172534-19.829147960450726j),110.87334408898599
(-15.970927890554984-14.485173415560222j),(-24.13546495233885-19.846462139089216j),110.61996797228159
(-16.11267156151096-14.352081897900074j),(-24.13674968086728-19.831247814750906j),110.40870991480358
(-16.087083113636705-14.46451429895162j),(-24.126269984181842-19.83344502952452j),110.22412803813509
(-16.037945047559006-14.463540948021148j),(-24.11401998847181-19.827588489205542j),109.93596265689234
(-16.131871739753333-14.451461504694139j),(-24.112258508741746-19.820908151347364j),109.91597589359799
(-16.06800135750081-14.370301444494766j),(-24.09885010181256-19.809022608337106j),109.62796902377283
(-16.30657539445512-14.137502951454916j),(-24.108299729978587-19.785450224310576j),109.49087129227308
(-16.28164321628264-14.143114259232862j),(-24.097936527653765-19.77976979796093j),109.33946881138753
(-15.829083488334966-14.628371811052691j),(-24.05416851209013-19.81151300126211j),108.97817927945913
(-16.13028726023045-14.384776418799298j),(-24.069042693558206-19.786647337085142j),108.86206831859027
(-16.074788232023277-14.456303224676487j),(-24.05598305856186-19.786504257974123j),108.42896348729143
(-16.043789334500435-14.399403683836654j),(-24.044796936094535-19.77610169839077j),108.35152221359156
(-16.155653669081108-14.205276996406537j),(-24.04526360086465-19.754332713705338j),108.18477233844773
(-16.03340640953558-14.460313187144232j),(-24.026522731991452-19.769455994532972j),107.9854836293523
(-15.978280624630866-14.496806029703787j),(-24.01317557246899-19.76673170649512j),107.58057947773106
(-15.996895173835567-14.47455974454431j),(-24.005986089776023-19.75908757828627j),107.62014921629137
(-16.036380978227488-14.450584692823742j),(-24.000628764127566-19.75125028358284j),107.36103741009475
(-16.104075995364063-14.41119213350972j),(-23.997804611596674-19.742023715615346j),107.25552640931649
(-16.083672005686683-14.42930096556046j),(-23.987363136500427-19.73777848496932j),106.78708775727004
(-15.908731848338757-14.516795554554298j),(-23.96312713450215-19.739744804355333j),106.34988872038636
(-16.010942887706328-14.362657295120028j),(-23.96348485989357-19.720139156560805j),106.45002050196916
(-16.026341521091336-14.438177595759573j),(-23.95614707841931-19.72112416121412j),106.37446158387225
(-16.059351236038772-14.270720223522577j),(-23.950460313715567-19.699906260564077j),106.04067028136983
(-16.256322334204917-14.10054647479786j),(-23.96008797708106-19.6781008221562j),105.94298878062675
(-16.154080294079936-14.224786367614168j),(-23.941983547643513-19.68362991855573j),105.75767311029102
(-16.108202765555813-14.266998364151016j),(-23.929029262727802-19.68161484459435j),105.40655156757
(-16.237729586244495-14.264004925433595j),(-23.932822040279472-19.675344472841626j),105.50335251739412
