ks,Gs_exact,E_estimate
0.0,(-1.0440306508910564-2.9659791879741373e-18j),(-1.031606475678069+3.746652691753129e-07j)
0.010101010101010102,(-1.043942374193423-5.077425182263616e-17j),(-1.0296764693851386+0.0012765163559392558j)
0.020202020202020204,(-1.0436774431242701+1.9569849213363355e-17j),(-1.0220844408786511+0.008010912579047362j)
0.030303030303030304,(-1.0432355541368294+1.444360581658033e-17j),(-1.0260206320491831+0.015079152574041431j)
0.04040404040404041,(-1.0426161992508445-2.4720233049143128e-17j),(-1.035882374087296+0.01464116912711727j)
0.05050505050505051,(-1.0418186629175343-1.5395670849294163e-17j),(-1.0419607707277134+0.012750887231382171j)
0.06060606060606061,(-1.0408420175665138-3.112846081159554e-17j),(-1.0443142624644188+0.00670794114312112j)
0.07070707070707072,(-1.0396851177685806-5.2909066017292616e-17j),(-1.0488059395620999+0.006202228363099885j)
0.08080808080808081,(-1.0383465929264595+2.896175053251904e-17j),(-1.044991666710756+0.002246348439891271j)
0.09090909090909091,(-1.0368248383812488+2.524031127875727e-17j),(-1.0430277511133002+0.001088522860914804j)
0.10101010101010102,(-1.0351180047948212-9.443400922348744e-17j),(-1.0380533220240342+0.000357971403064645j)
0.11111111111111112,(-1.0332239856369034-1.1622647289044608e-16j),(-1.036945666102318+0.00015549765888464893j)
0.12121212121212122,(-1.031140402568927-3.71881345162528e-17j),(-1.0314554203135766+2.889686149465161e-05j)
0.13131313131313133,(-1.028864588473482-1.0481524502503614e-16j),(-1.030220652175645+2.1802516863120302e-05j)
0.14141414141414144,(-1.0263935678270344+2.7376104855258987e-18j),(-1.027124547857804+1.3467408583734568e-05j)
0.15151515151515152,(-1.0237240340519913+2.168404344971009e-18j),(-1.023276368368984+2.8212281571021007e-06j)
0.16161616161616163,(-1.0208523234098574-3.642919299551295e-17j),(-1.0209953564838725+2.671497621960409e-06j)
0.17171717171717174,(-1.0177743849065932+4.889751797909625e-17j),(-1.0177825609296676+1.459610639173929e-06j)
0.18181818181818182,(-1.0144857455699927+7.20316818345057e-17j),(-1.0143747386990227-1.0692718823693334e-06j)
0.19191919191919193,(-1.0109814703210485+3.175526519256372e-18j),(-1.011683723312123-8.91369292847208e-06j)
0.20202020202020204,(-1.007256115489856-5.2705778109951584e-17j),(-1.0079170636451307-1.0967635419827471e-05j)
0.21212121212121213,(-1.0033036748105573-1.571042299853794e-17j),(-1.0052772255771834-8.19848307728427e-06j)
0.22222222222222224,(-0.9991175164571214-2.0816681711721685e-17j),(-1.0020753890097853-5.806717053580909e-06j)
0.23232323232323235,(-0.9946903093328131+4.8279929462901765e-17j),(-0.9986148097428591-1.9493296044002675e-06j)
0.24242424242424243,(-0.9900139363774538-5.456586246212203e-17j),(-0.9966606633653411-5.055492358418047e-07j)
0.25252525252525254,(-0.9850793920727399+1.3702113174553915e-16j),(-0.9952913271687396-1.100128650661731e-07j)
0.26262626262626265,(-0.9798766605600063-4.2717565595928875e-17j),(-0.9868270308777337-2.2379211180928063e-08j)
0.27272727272727276,(-0.9743945697683941-6.8077308520249e-17j),(-0.9847166875681297-3.8291694991507454e-09j)
0.2828282828282829,(-0.9686206155879078-1.1099519740820352e-17j),(-0.9807033793152955+3.0473961823984685e-09j)
0.29292929292929293,(-0.9625407482695618+8.429671891074797e-18j),(-0.9736989136969467+6.423625558248752e-09j)
0.30303030303030304,(-0.956139110685229+2.4096650833736622e-17j),(-0.9717068526424618+8.482034723729038e-09j)
0.31313131313131315,(-0.9493977145185746+3.998473272863616e-17j),(-0.9715606703830036+9.525134983640225e-09j)
0.32323232323232326,(-0.9422960354046873+9.57079467761579e-17j),(-0.9649532603972445+1.0489238895875283e-08j)
0.33333333333333337,(-0.9348105007371377+7.521652571618187e-17j),(-0.9608791717712287+1.117247340029612e-08j)
0.3434343434343435,(-0.9269138331136105+4.117257750013703e-17j),(-0.9643434516265781+1.1484548299849964e-08j)
0.3535353535353536,(-0.9185741962204133+2.6183482465524932e-17j),(-0.9494742225932599+1.2004212692810605e-08j)
0.36363636363636365,(-0.9097540650304035+5.579816305147903e-17j),(-0.9473768712298555+1.2132114148108385e-08j)
0.37373737373737376,(-0.9004087027078235+1.1719099343378496e-17j),(-0.9446755792259052+1.2477385747012978e-08j)
0.38383838383838387,(-0.8904840621090304-2.981555974335137e-16j),(-0.9388899633143372+1.2925953581263217e-08j)
0.393939393939394,(-0.8799138205647414-2.60065664409601e-16j),(-0.9382484391423703+1.300332382504649e-08j)
0.4040404040404041,(-0.8686150639575568+8.763948149752786e-17j),(-0.931761144641026+1.308880228713675e-08j)
0.4141414141414142,(-0.8564817792462196-1.6650835758212806e-16j),(-0.9354024133490129+1.3188072105550706e-08j)
0.42424242424242425,(-0.8433746140870835+1.2136391300400062e-16j),(-0.9342129163892049+1.3150979041911393e-08j)
0.43434343434343436,(-0.8291038862140602-3.656482061959235e-16j),(-0.9224706676823486+1.3731391981643436e-08j)
0.4444444444444445,(-0.813399426983543-5.191124532355929e-16j),(-0.9183595946585447+1.345833939854271e-08j)
0.4545454545454546,(-0.7958520676734554+1.9092770739681896e-16j),(-0.9031394929985048+1.4138896930733342e-08j)
0.4646464646464647,(-0.7757850832046341+5.0871636754902203e-17j),(-0.9100783355395012+1.4121267581096773e-08j)
0.4747474747474748,(-0.7519132747453262+7.916513844689329e-18j),(-0.9073551583391802+1.4248476071965826e-08j)
0.48484848484848486,(-0.721081742965535-3.8936436974926695e-16j),(-0.9094910787308057+1.4328657325382193e-08j)
0.494949494949495,(-0.6654436043535001+3.2046879474055134e-15j),(-0.8997313600290086+1.4629680165719301e-08j)
0.5050505050505051,(-0.6385592690767844+0.07220991328987392j),(-0.8935007615500937+1.5142826158136144e-08j)
0.5151515151515152,(-0.6372262763061386-0.10591175300305314j),(-0.8828050736140547+1.5024096206533635e-08j)
0.5252525252525253,(-0.6358686941388598+0.1317421244644847j),(-0.884830608308711+1.594245493285688e-08j)
0.5353535353535354,(-0.6344866677962262+0.15372508569283666j),(-0.889074169934665+1.4880202228967001e-08j)
0.5454545454545455,(-0.6330803492813281+0.17333389030057753j),(-0.8601739559771043+1.684612356989019e-08j)
0.5555555555555556,(-0.6316498976231344+0.19130294361747083j),(-0.8669548384336558+1.6208781618677705e-08j)
0.5656565656565657,(-0.6301954791249245-0.2080603002110304j),(-0.8826688921765374+1.585899382783565e-08j)
0.5757575757575758,(-0.6287172676167768+0.2238808461452031j),(-0.8554491070177513+1.7680887407444234e-08j)
0.5858585858585859,(-0.6272154447117794+0.23895325495196754j),(-0.8709597222842692+1.6231269656965932e-08j)
0.595959595959596,(-0.625690200065568+0.2534134948088812j),(-0.86580675304148+1.677002418284075e-08j)
0.6060606060606061,(-0.6241417316387561-0.2673632786198779j),(-0.8657946118802792+1.7374044954529318e-08j)
0.6161616161616162,(-0.622570245961804-0.28088097679379403j),(-0.8615845043705479+1.7264769885298728e-08j)
0.6262626262626263,(-0.6209759584017395+0.29402844207864365j),(-0.8514350257322798+1.8156500142354866e-08j)
0.6363636363636365,(-0.619359093430196+0.30685547326364376j),(-0.8317802181199518+1.9315087576967747e-08j)
0.6464646464646465,(-0.6177198848920933+0.31940284401787566j),(-0.831074421037348+1.8800777595947347e-08j)
0.6565656565656566,(-0.6160585762742659+0.33170442237051967j),(-0.8401682524541282+1.918103475202621e-08j)
0.6666666666666667,(-0.6143754209732686-0.34378869316591354j),(-0.8382686167386417+2.005772099424693e-08j)
0.6767676767676768,(-0.612670682561527-0.3556798765629336j),(-0.8383749931357022+1.9364840281779142e-08j)
0.686868686868687,(-0.6109446350509429+0.36739876600600974j),(-0.824653940002214+2.0113978670755683e-08j)
