E,z,var,E_Final,E_ED
(-41.398601468015436+0.2126996150818556j),(-48.75-26.25j),807.1670000599858,(-25.143434418784217-7.3807270106179566j),(-25.238749219512442-7.377384305848825j)
(-40.712297882015065-4.147045068984759j),(-48.75-26.25j),587.4457104375568,(-25.143434418784217-7.3807270106179566j),(-25.238749219512442-7.377384305848825j)
(-39.734648527787954-7.265210201042871j),(-48.75-26.25j),475.30774484159025,(-25.143434418784217-7.3807270106179566j),(-25.238749219512442-7.377384305848825j)
(-38.64320989447273-9.294596027783006j),(-48.75-26.25j),403.28893981746876,(-25.143434418784217-7.3807270106179566j),(-25.238749219512442-7.377384305848825j)
(-37.71988513181018-10.655435916254094j),(-48.75-26.25j),366.6877560256107,(-25.143434418784217-7.3807270106179566j),(-25.238749219512442-7.377384305848825j)
(-36.92411736729604-11.611916737215443j),(-48.75-26.25j),343.5529739279121,(-25.143434418784217-7.3807270106179566j),(-25.238749219512442-7.377384305848825j)
(-36.31313702664643-12.339073099317071j),(-48.75-26.25j),329.80814634522096,(-25.143434418784217-7.3807270106179566j),(-25.238749219512442-7.377384305848825j)
(-35.864015434800976-12.837671600782349j),(-48.75-26.25j),324.2545072856408,(-25.143434418784217-7.3807270106179566j),(-25.238749219512442-7.377384305848825j)
(-35.503373128900016-13.162248220916448j),(-48.75-26.25j),321.31474916403903,(-25.143434418784217-7.3807270106179566j),(-25.238749219512442-7.377384305848825j)
(-35.21339934184678-13.455792008494312j),(-48.75-26.25j),318.4841731768165,(-25.143434418784217-7.3807270106179566j),(-25.238749219512442-7.377384305848825j)
(-35.01087552389944-13.649890858732475j),(-48.75-26.25j),318.37629856003554,(-25.143434418784217-7.3807270106179566j),(-25.238749219512442-7.377384305848825j)
(-34.912400684381176-13.710099621892256j),(-48.75-26.25j),317.73206624127823,(-25.143434418784217-7.3807270106179566j),(-25.238749219512442-7.377384305848825j)
(-34.67975517925062-14.00288787397868j),(-48.75-26.25j),317.4881615136486,(-25.143434418784217-7.3807270106179566j),(-25.238749219512442-7.377384305848825j)
(-34.74849957145261-13.875804148188132j),(-48.75-26.25j),317.1840904180062,(-25.143434418784217-7.3807270106179566j),(-25.238749219512442-7.377384305848825j)
(-34.59877221339021-14.061621032185322j),(-48.75-26.25j),317.0466576387471,(-25.143434418784217-7.3807270106179566j),(-25.238749219512442-7.377384305848825j)
(-34.56948771107767-14.10032296012296j),(-48.75-26.25j),317.0714759495657,(-25.143434418784217-7.3807270106179566j),(-25.238749219512442-7.377384305848825j)
(-34.48364816161741-14.173260946254825j),(-48.75-26.25j),317.03218299986924,(-25.143434418784217-7.3807270106179566j),(-25.238749219512442-7.377384305848825j)
(-34.55987100434944-14.09734052098418j),(-48.75-26.25j),317.00510513858956,(-25.143434418784217-7.3807270106179566j),(-25.238749219512442-7.377384305848825j)
(-34.49669733384789-14.14185735800848j),(-48.75-26.25j),316.9526215785992,(-25.143434418784217-7.3807270106179566j),(-25.238749219512442-7.377384305848825j)
