ks,hs,Gs_exact,E_estimate,re_E,M_z_exact,M_z_estimate,M_x_exact,M_x_estimate,M_z_LR_exact,M_z_LR_estimate,M_x_LR_exact,M_x_LR_estimate
0.031578947368421054,2.0,,(-74.36079818437811-0.00010119712785072141j),,,-0.0008655124240451392,,0.9591774735589815,,(-0.0009882532229705718-0.09793294970688114j),,(0.9644628247347761-0.0001357492160453677j)
0.06315789473684211,2.0,,(-74.1881496347012+4.830988791941828e-05j),,,0.0009795294867621528,,0.9564935365349594,,(-0.001029280472865037-0.20514356631762434j),,(0.9769768358969865+5.39787734402219e-05j)
0.09473684210526316,2.0,,(-73.87533840618426+4.350460122152101e-05j),,,0.0006056891547309031,,0.9513978699108413,,(0.0016482817160359687-0.3492557352823246j),,(1.006306964695922-0.000274939297835869j)
0.12631578947368421,2.0,,(-73.33488167385214-0.00013694770856230744j),,,-0.0023163689507378483,,0.9414743575021025,,(-0.0035472670422359957-0.659339278237316j),,(1.0967925543976065-0.0025431495003630077j)
0.15789473684210525,2.0,,(-72.56474371547475+0.5258788714855849j),,,0.08965852525499134,,0.9259637704464548,,(0.48727213757841703-0.4004926121275863j),,(0.9709319335015484+0.18244902478271952j)
0.18947368421052632,2.0,,(-72.08430253611579+1.0282570804420166j),,,0.1513794793023004,,0.9155707554148388,,(0.48705638447255817-0.42359780743076186j),,(0.9741718261972204+0.16526793110738264j)
0.2210526315789474,2.0,,(-71.58909299126827+1.5955543615221195j),,,0.19928910997178823,,0.904046069203242,,(0.5207803426045409-0.40744625826588987j),,(0.9570684820545791+0.18704943259189835j)
0.25263157894736843,2.0,,(-71.11109234991888+2.2108362557298324j),,,0.24342219034830737,,0.8914032768820762,,(0.5474261404865479-0.39337427323548996j),,(0.9333549233079917+0.20535381679107328j)
0.28421052631578947,2.0,,(-70.66021892611573+2.853087561826033j),,,0.2789463467068143,,0.8794031283556187,,(0.5636999542103165-0.40130484447341136j),,(0.9156543927879515+0.21096353712703714j)
0.3157894736842105,2.0,,(-70.21389123927761+3.5412339990164092j),,,0.31173324584960943,,0.8666934543918281,,(0.621217612995011-0.4083969592163799j),,(0.9025535511940935+0.20912069331051508j)
0.3473684210526316,2.0,,(-69.77937046177004+4.246497478486687j),,,0.3401705423990886,,0.8547395731424997,,(0.624334120213144-0.3489370099915843j),,(0.8922148393035146+0.22971855029304783j)
0.37894736842105264,2.0,,(-69.35189033473875+4.977937699776878j),,,0.3661503261990018,,0.8428401183531299,,(0.665749728658156-0.32951435669307705j),,(0.8803434250660729+0.2459835856879228j)
0.4105263157894737,2.0,,(-68.94970383895283+5.731439640531159j),,,0.3872265285915799,,0.831744291538765,,(0.6697159284030431-0.3429395479610424j),,(0.8668747939876266+0.2408200388957968j)
