ks,hs,E,Vs,V_score
0.031578947368421054,0.5,(-21.723331875818754-14.275132166211037j),0.5860287906044661,0.030008813131155485
0.06315789473684211,0.5,(-21.723331875818754-14.275132166211037j),4.991593102102573,0.25493178650867027
0.09473684210526316,0.5,(-21.723331875818754-14.275132166211037j),11.757863115870991,0.5975452168925693
0.12631578947368421,0.5,(-21.723331875818754-14.275132166211037j),22.730718480861402,1.1472491450588507
0.15789473684210525,0.5,(-21.723331875818754-14.275132166211037j),41.571033649758945,2.079639070447977
0.18947368421052632,0.5,(-21.723331875818754-14.275132166211037j),70.45138762379943,3.486574403295101
0.2210526315789474,0.5,(-21.723331875818754-14.275132166211037j),104.11285215553443,5.087432031861466
0.25263157894736843,0.5,(-21.723331875818754-14.275132166211037j),140.8982608214026,6.785355484351443
0.28421052631578947,0.5,(-21.723331875818754-14.275132166211037j),179.71203191037256,8.513846581672226
0.3157894736842105,0.5,(-21.723331875818754-14.275132166211037j),222.84727438416655,10.367431609995961
0.3473684210526316,0.5,(-21.723331875818754-14.275132166211037j),269.9469063782203,12.311961742139395
0.37894736842105264,0.5,(-21.723331875818754-14.275132166211037j),321.85021452669196,14.36754608424827
0.4105263157894737,0.5,(-21.723331875818754-14.275132166211037j),378.8143115536321,16.526142911857164
0.4421052631578948,0.5,(-21.723331875818754-14.275132166211037j),439.9092811580016,18.728267316134424
0.4736842105263158,0.5,(-21.723331875818754-14.275132166211037j),506.38835359085397,21.01005257186694
0.5052631578947369,0.5,(-21.723331875818754-14.275132166211037j),576.9182781646161,23.298392995315442
0.5368421052631579,0.5,(-21.723331875818754-14.275132166211037j),653.1605342393641,25.64478991479576
0.5684210526315789,0.5,(-21.723331875818754-14.275132166211037j),733.2242639500507,27.95967421726001
0.6,0.5,(-21.723331875818754-14.275132166211037j),818.3423489975845,30.278359033422838
