ks,hs,Gs_exact,E_estimate,re_E,M_z_exact,M_z_estimate,M_x_exact,M_x_estimate
0.031578947368421054,0.5,(-13.429029561319062+0.468217473111995j),(-13.44541329402407+0.3338706337611695j),0.01007220731934693,-0.9266804155341618,-0.2818460464477539,0.3604593608762704,0.364513229133073
0.06315789473684211,0.5,(-13.425454285250687-0.9367422020947815j),(-13.425431717240224+0.9367840092500801j),0.13921184797337277,0.9269844708229538,-0.9214181900024414,0.3593938910114308,0.3603913326121837
0.09473684210526316,0.5,(-13.419605739126549+1.4058583652229153j),(-13.419537488664119+1.405942012312116j),8.00102182891192e-06,-0.9274760048345638,-0.9278135299682617,0.35766043598253267,0.35674573642221763
0.12631578947368421,0.5,(-13.411631852499006-1.875810551735709j),(-13.411608267451847+1.8758700023725658j),0.27703675685758516,0.9281354292442429,-0.9279880523681641,0.3553144103759221,0.3555549996668928
0.15789473684210525,0.5,(-13.401712253290258+2.346796063420742j),(-13.401741002876987+2.346776993845362j),2.535647155692371e-06,-0.9289401084373767,-0.9283056259155273,0.3524211894195258,0.35358649719685603
0.18947368421052632,0.5,(-13.390042137338172+2.8189645842212396j),(-13.39000116016472+2.8189412226790935j),3.447110761223339e-06,-0.9298667899340897,-0.9291458129882812,0.3490495658576648,0.35107714166239223
0.2210526315789474,0.5,(-13.376819734233244+3.2924224551260313j),(-13.376837494971216+3.292431779560717j),1.4561245166751868e-06,-0.9308932536814677,-0.9309978485107422,0.34526706505260407,0.3448347702405733
0.25263157894736843,0.5,(-13.362237698778772-3.7672390629350687j),(-13.362265420213545+3.7672438009836426j),0.5427075300574217,0.9319992473407076,-0.9316997528076172,0.3411370598036232,0.3420509079815214
0.28421052631578947,0.5,(-13.346477838872469+4.2434536552668645j),(-13.346466395548019+4.243470822251917j),1.4731634530601502e-06,-0.933166891783223,-0.9331398010253906,0.3367172860570542,0.33666900305284103
0.3157894736842105,0.5,(-13.329708316441469+4.721081661343387j),(-13.329734199045248+4.72110004362001j),2.2449608002738464e-06,-0.9343807454742106,-0.9344615936279297,0.33205931018819057,0.33200194673093447
0.3473684210526316,0.5,(-13.312082521647193+5.200120137071739j),(-13.312080112818371+5.20013989077896j),1.392418701638721e-06,-0.935627676177679,-0.9348907470703125,0.32720857579101786,0.32870641868858275
0.37894736842105264,0.5,(-13.293739003917636-5.680552262707751j),(-13.29373479679835+5.680543438231719j),0.7858781420813412,0.936896640550757,-0.9373531341552734,0.3222047665040566,0.3206948568829923
0.4105263157894737,0.5,(-13.274802030930541+6.162350967574897j),(-13.274832851076441+6.162327631045779j),2.641433752679391e-06,-0.938178432563484,-0.938237190246582,0.31708231676644827,0.3165135959915282
0.4421052631578948,0.5,(-13.25538249505289-6.645481807106807j),(-13.255390173236854+6.64549445693068j),0.8963472097049902,0.9394654340403966,-0.9394598007202148,0.3118709715762321,0.3122152472795324
0.4736842105263158,0.5,(-13.235578990183718+7.129905221561369j),(-13.235580720445713+7.129910438615928j),3.656084321828473e-07,-0.9407513834004577,-0.9408693313598633,0.3065963411091457,0.30605513395152506
0.5052631578947369,0.5,(-13.21547894909095+7.615578291534501j),(-13.215476765887065+7.615571261888187j),4.825930101244306e-07,-0.9420311688747078,-0.9407453536987305,0.3012804228251771,0.3048715834816193
0.5368421052631579,0.5,(-13.195159773385518-8.10245608693744j),(-13.195177390529123+8.102443420061876j),1.0465407250629652,0.9433006473762934,-0.9435749053955078,0.2959420787392854,0.295653976679689
0.5684210526315789,0.5,(-13.174689914516906+8.590492689082625j),(-13.174692862743322+8.590517498710637j),1.588519669090952e-06,-0.94455648780422,-0.9443540573120117,0.2905974636017812,0.29079652022841523
0.6,0.5,(-13.154129880961246+9.079641951454203j),(-13.15413468504638+9.079645273587452j),3.6543233303420653e-07,-0.9457960366098127,-0.9457988739013672,0.2852604039236007,0.2852029006390433
0.031578947368421054,1.5,(-25.063141376795855-1.053024699568254e-15j),(-25.063151484691396-3.347580618429915e-05j),1.3952179677950127e-06,2.2343238370581275e-15,0.0007724761962890625,0.9429962077909746,0.9430919700024722
0.06315789473684211,1.5,(-24.968167945767334+4.517214849245922e-15j),(-24.96823336920149-5.8534807151876694e-05j),3.5159549839359407e-06,-2.6020852139652106e-15,5.7220458984375e-06,0.9377146842127537,0.9375572467309456
0.09473684210526316,1.5,(-24.788945512353237-3.2492963126986435e-15j),(-24.78903713107211-1.946980356186713e-05j),3.778483835700474e-06,1.2906342661267445e-15,-0.0025234222412109375,0.9274378242400394,0.928079228565818
0.12631578947368421,1.5,(-24.40821696817456-5.861977570020827e-14j),(-24.408288685010465-0.0009491013383422402j),3.899535342248694e-05,2.968458812091512e-14,0.0003337860107421875,0.9032954880270289,0.9042113976600239
0.15789473684210525,1.5,(-24.14409208600848+0.45592987369511917j),(-24.143877817737536+0.45580210844926716j),1.0330670861576288e-05,-0.18047224167098458,-0.18482685089111328,0.8848371490875662,0.884584546649245
0.18947368421052632,1.5,(-23.99183538297321-0.7284419549909735j),(-23.991871257225696+0.7285491850593848j),0.06070065142553418,0.24028467265327202,-0.23973941802978516,0.8749650087662765,0.8749245852118019
