ks,Gs_exact,E_estimate
0.1,(-2.5316474551992783-8.937997538545784e-17j),(-2.5317813964901097-8.19377686962294e-05j)
0.2,(-2.450348721536461-7.263815742473978e-17j),(-2.4571462266457433-0.0010499860262942696j)
0.30000000000000004,(-2.2835884715463473-8.764283786558136e-16j),(-2.2862087438571232-0.00032614822075311865j)
0.4,(-1.9871684353670322+0.20760286590581445j),(-1.9801528862960303-0.2033221599749431j)
0.5,(-1.8594079485183417-0.43468705568638843j),(-1.859032691648181-0.4350922336523544j)
0.6,(-1.7316114584600937-0.6743792644599393j),(-1.7311817948479136-0.674877678239259j)
0.7000000000000001,(-1.627467370782187-0.9272867774250029j),(-1.6277900587604082-0.9277846971108294j)
0.8,(-1.5384570672954772-1.1819015935031878j),(-1.538476337411671-1.1819180884129437j)
0.9,(-1.4580506895830623+1.4389923583946473j),(-1.4579961255649998-1.4390126702026012j)
1.0,(-1.384608873440704-1.699626630140355j),(-1.384664647681182-1.6997526847216244j)
