ks,infidelity
0.1,0.0015735937582455636
0.2,0.0009914872961036625
0.3,0.0023060767238770154
0.4,0.001533959042395301
0.5,0.0005716497645068712
0.6,0.0004112795012040903
0.7,0.0002957151828326845
0.7999999999999999,0.00016689235319655013
0.8999999999999999,0.00010967085764011383
0.9999999999999999,4.48270147348617e-05
1.0999999999999999,4.156607311168264e-05
1.2,2.118703817872182e-05
1.3,1.3520055382405155e-05
1.4,6.79286792845403e-06
1.5,6.5316021413456524e-06
1.5999999999999999,4.350549263006288e-06
1.7,3.1719074507622545e-06
1.8,3.168641793087534e-06
1.9,3.6423269483099804e-06
2.0,1.285135657334497e-06
2.0999999999999996,7.764197385991314e-06
2.1999999999999997,4.095487664895877e-07
2.3,2.7640342386541216e-06
2.4,3.782541608381509e-06
2.5,7.58704445468272e-07
2.6,6.116423418397602e-07
2.6999999999999997,3.5266708486130636e-07
2.8,5.549500577421979e-07
2.9,1.537177042453072e-06
3.0,9.182889556712052e-07
