ks,infidelity
0.1,7.505343004373421e-07
0.1292929292929293,1.1579580786052357e-06
0.15858585858585858,1.7827791717433788e-06
0.18787878787878787,8.830126781151097e-07
0.21717171717171718,7.731104179175402e-07
0.24646464646464647,1.1498073334549107e-06
0.27575757575757576,1.5987505499901018e-06
0.305050505050505,2.270740667843979e-06
0.33434343434343433,2.834602518578496e-06
0.36363636363636365,3.1216113844265553e-06
0.3929292929292929,5.9431421293255865e-06
0.42222222222222217,9.482681842462577e-06
0.45151515151515154,2.1799441288089026e-05
0.4808080808080808,1.762416919951259e-05
0.51010101010101,2.9015964455508735e-05
0.5393939393939393,3.057706862724997e-05
0.5686868686868687,2.3324671006621163e-05
0.597979797979798,2.9714695338109144e-05
0.6272727272727272,2.488234259874707e-05
0.6565656565656565,2.338999714268701e-05
0.6858585858585858,3.2926501524521744e-05
0.7151515151515151,2.903222295724897e-05
0.7444444444444444,2.818021600994701e-05
0.7737373737373736,2.6380772289577824e-05
0.803030303030303,2.9093131387073744e-05
0.8323232323232322,3.1286849308767634e-05
0.8616161616161615,1.8960054913534594e-05
0.8909090909090909,2.544284213483539e-05
0.9202020202020201,1.9490093945475153e-05
0.9494949494949494,2.9804722575746864e-05
0.9787878787878787,2.1656268169420227e-05
1.0080808080808081,2.0618395065398596e-05
1.0373737373737373,2.4225913866988593e-05
1.0666666666666667,2.0672413024105363e-05
1.095959595959596,2.655473773083895e-05
1.1252525252525252,2.990733555812358e-05
1.1545454545454545,2.1285533559881665e-05
1.183838383838384,1.916022976099859e-05
1.213131313131313,2.8040557695348065e-05
1.2424242424242424,2.407000370820121e-05
1.2717171717171718,1.917054068378287e-05
1.301010101010101,1.889849198037292e-05
1.3303030303030303,2.1982420436606273e-05
1.3595959595959597,2.7466797249598405e-05
1.3888888888888888,2.844355522683699e-05
1.4181818181818182,2.796280285408704e-05
1.4474747474747474,1.9178565028421815e-05
1.4767676767676767,1.7611425649201074e-05
1.506060606060606,1.4280638146487147e-05
1.5353535353535352,2.3265689461860652e-05
1.5646464646464646,1.1742782745834443e-05
1.593939393939394,2.2888358769450883e-05
1.6232323232323231,2.0311026862173926e-05
1.6525252525252525,2.481798699195948e-05
1.6818181818181819,2.737547406414912e-05
1.711111111111111,2.3916600504557958e-05
1.7404040404040404,1.7177766092336014e-05
1.7696969696969698,2.1137246015391372e-05
1.798989898989899,1.2361428304941802e-05
1.8282828282828283,2.5351580237755035e-05
1.8575757575757574,2.0515766557951158e-05
1.8868686868686868,3.0731942332701624e-05
1.9161616161616162,1.8692386116942994e-05
1.9454545454545453,2.392750904959666e-05
1.9747474747474747,1.8597527351805387e-05
2.004040404040404,1.8758355804055397e-05
2.033333333333333,2.1437547009208852e-05
2.0626262626262624,2.1695634073628348e-05
2.091919191919192,2.4026310109489286e-05
2.121212121212121,1.7801582770594458e-05
2.1505050505050503,2.6549649883186788e-05
2.17979797979798,2.13253845106643e-05
2.209090909090909,2.035357289732027e-05
2.238383838383838,1.821875212639785e-05
2.2676767676767677,1.8075913151099913e-05
2.296969696969697,2.016632216146124e-05
2.326262626262626,1.880735512610704e-05
2.3555555555555556,1.881441038607144e-05
2.3848484848484848,2.06500437880294e-05
2.414141414141414,1.545341108191473e-05
2.4434343434343435,1.844312843130165e-05
2.4727272727272727,1.576615116552819e-05
2.502020202020202,1.9692400661741872e-05
2.5313131313131314,1.802580121825729e-05
2.5606060606060606,1.8962596781465854e-05
2.5898989898989897,1.4256893357671493e-05
2.6191919191919193,1.4232303346701216e-05
2.6484848484848484,1.5094693933462226e-05
2.6777777777777776,1.4616211615946404e-05
2.707070707070707,1.4452047410786988e-05
2.7363636363636363,2.0977369152304224e-05
2.7656565656565655,1.8668219566751626e-05
2.7949494949494946,1.3247353628029542e-05
2.824242424242424,1.6838948095498625e-05
2.8535353535353534,1.4870986915794642e-05
2.8828282828282825,1.3699851811426305e-05
2.912121212121212,1.4754672209879177e-05
2.9414141414141413,1.5745184335896315e-05
2.9707070707070704,1.9000338911061996e-05
3.0,1.2306218451225056e-05
0.1,1.7640836047410283e-08
0.2,3.8462082260086843e-08
0.3,7.636570541126667e-08
0.4,2.797765863138939e-07
0.5,2.642005354711988e-06
0.6,2.6025511887712818e-06
0.7,2.3182836912188497e-06
0.7999999999999999,1.9680953262515057e-06
0.8999999999999999,1.1976603409056566e-06
0.9999999999999999,0.034694513427421
1.0999999999999999,6.744718827476266e-07
1.2,4.3378662753799643e-07
1.3,2.6736232683737725e-07
1.4,2.547506747622039e-07
1.5,2.0181204066643403e-07
1.5999999999999999,1.2656505864783845e-07
1.7,1.2062270485076775e-07
1.8,4.897222833916751e-08
1.9,3.112968032001595e-07
2.0,1.7417600397181007e-08
2.0999999999999996,3.167927996530669e-06
2.1999999999999997,2.427561492635033e-08
2.3,1.6744986882489545e-08
2.4,6.545074249635064e-09
2.5,1.000250457735632e-08
2.6,8.392565735859017e-09
2.6999999999999997,5.47154614126247e-08
2.8,1.514502895133556e-08
2.9,6.567006039280827e-09
3.0,5.398142814348214e-09
