ks,infidelity
0.1,1.1828020083922537e-08
0.2,6.760525683389379e-09
0.3,1.5577028939352494e-08
0.4,1.2364760954644934e-08
0.5,2.2343904379583532e-08
0.6,2.8056387460781014e-08
0.7,3.714558159872756e-08
0.7999999999999999,6.973919253730448e-08
0.8999999999999999,7.504791558392965e-08
0.9999999999999999,1.2869136986136515e-07
1.0999999999999999,3.255985953383892e-07
1.2,9.761787856058042e-07
1.3,2.1733258996858854e-06
1.4,1.1696359904419728e-06
1.5,1.3982179529412623e-06
1.5999999999999999,1.7520841972175129e-06
1.7,1.3393690506094203e-06
1.8,1.2947242872574986e-06
1.9,8.870873446924492e-07
2.0,6.7220419658396e-07
2.0999999999999996,6.864796665372561e-07
2.1999999999999997,4.984772768416638e-07
2.3,4.7615740611057714e-07
2.4,3.922570410181329e-07
2.5,5.479097557878927e-07
2.6,4.1071734770377614e-07
2.6999999999999997,1.951476613910128e-07
2.8,1.9222863953858564e-07
2.9,1.3375138193844919e-07
3.0,1.772675967392928e-07
