ks,infidelity
0.1,6.928717000054626e-06
0.2,3.242719290172088e-06
0.3,1.0180357781486947e-06
0.4,7.779823431123198e-07
0.5,4.760106137894716e-07
0.6,7.312606058315583e-07
0.7,5.194751498229438e-07
0.7999999999999999,4.873664448833138e-07
0.8999999999999999,5.40224520987216e-07
0.9999999999999999,4.515600267977341e-07
1.0999999999999999,2.8999857677741346e-07
1.2,1.87354821319119e-07
1.3,1.8295075905672655e-07
1.4,1.718878667699798e-07
1.5,1.1299945348842096e-07
1.5999999999999999,1.3656588682169201e-07
1.7,1.0754480905327699e-07
1.8,9.316598475523911e-08
1.9,7.576367611887463e-08
2.0,6.129426983081564e-08
2.0999999999999996,1.1204740554599024e-07
2.1999999999999997,8.45760259485396e-08
2.3,5.1693576528531145e-08
2.4,6.927547770911931e-08
2.5,7.832923489649606e-08
2.6,8.10535739866215e-08
2.6999999999999997,7.508511915608846e-08
2.8,8.709097586661743e-08
2.9,7.950090916339205e-08
3.0,5.088053025242585e-08
