ks,infidelity
0.1,3.6176171508754396e-08
0.2,9.877593210360058e-08
0.3,2.407017473711984e-07
0.4,7.118542809581462e-07
0.5,3.506055261212564e-06
0.6,2.6103450117485926e-06
0.7,3.2749479955426317e-06
0.7999999999999999,4.043739316604075e-06
0.8999999999999999,2.6849841379615324e-06
0.9999999999999999,2.232026919029743e-06
1.0999999999999999,1.378479458481951e-06
1.2,1.2454116952546134e-06
1.3,5.883501686427742e-07
1.4,4.7016180329370687e-07
1.5,4.3880159333020366e-07
1.5999999999999999,3.2402626888047205e-07
1.7,2.9002893826410987e-07
1.8,2.9552072492940634e-07
1.9,2.530300464520841e-07
2.0,2.0027134280769285e-07
2.0999999999999996,1.553714214664793e-07
2.1999999999999997,5.140713107330284e-07
2.3,1.5010940549015814e-07
2.4,3.287713721935074e-07
2.5,3.523942922320542e-07
2.6,2.4286324786605113e-07
2.6999999999999997,2.4109318975807196e-07
2.8,2.1994970812041493e-07
2.9,2.330418555582915e-07
3.0,1.5650549043893868e-07
