N,h,k,energy
4,0.5,0.5,-13.218846147081525 + 7.534547887235079im
4,2.75,0.25,-44.18907356133952 - 6.7823351102003215e-15im
5,0.5,0.5,-21.80947318094141 - 11.856177977661579im
5,2.75,0.25,-69.06257087012474 - 1.6807822494913083e-13im
6,0.5,0.5,-32.517505927009864 - 17.147665135886815im
6,2.75,0.25,-99.46321831293248 + 1.5815300458132953e-13im
8,0.5,0.5,-60.285762523736025 - 30.640141834721735im
8,2.75,0.25,-176.84630574182066 - 1.6856212370353063e-8im
