r,c_r,cc_r
0.0,1.0000000000000024,0.04939285171145589
1.0,0.9509286839005267,0.0003215356119807979
2.0,0.9506101562478252,3.0079592777248567e-6
3.0,0.9506071589973495,1.0708802984803356e-8
4.0,0.9506071479091506,-3.7939595600968956e-10
5.0,0.9506071482862011,-2.3455049630922214e-12
6.0,0.9506071482898995,1.35312440264891e-12
