ks,hs,E_ED,Infidelity
0.24736842105263157,2.5,(-30.07175669060211+2.9704981999757078e-15j),1.0835114195544599e-07
0.5421052631578946,2.5,(-29.163334143378055+1.6577514804111649e-15j),7.650571868712135e-07
0.6894736842105262,2.5,(-28.405294053391305+4.697257571840128e-15j),7.882631091907629e-07
0.39473684210526316,2.5,(-29.70990921690961+4.664377279189027e-16j),4.963443086368986e-07
0.8368421052631578,2.5,(-27.38584789610647+1.0450008248764548e-14j),9.291077630000647e-07
0.9842105263157893,2.5,(-25.994799010605337+3.653035732845613e-14j),1.16622950777211e-06
0.1,2.5,(-30.263589224926626+9.550919851652797e-16j),1.8234608935230852e-07
1.5736842105263158,2.5,(-18.7123042120544-5.895729738636586j),7.444672961737671e-06
1.131578947368421,2.5,(-23.778146912657906-1.5058882784225135e-13j),2.285617762242173e-06
1.4263157894736842,2.5,(-19.894433083611545+3.981957724613931j),7.405976172641849e-06
1.2789473684210526,2.5,(-21.321352307762353-2.040848444314719j),7.989619582532678e-06
1.7210526315789474,2.5,(-17.674144225153775+7.804662188711761j),5.4012556811615435e-06
2.0157894736842104,2.5,(-15.886833696972685+11.650704511445127j),3.3083160257566365e-06
2.163157894736842,2.5,(-15.099761910457467-13.594037732550868j),4.995554452443976e-06
2.3105263157894735,2.5,(-14.369486564054274+15.552614618238113j),4.342371369654817e-06
2.6052631578947367,2.5,(-13.055861604964617+19.517050549342933j),6.861027272132505e-06
2.457894736842105,2.5,(-13.68959175088074+17.526922404871453j),4.358057158153592e-06
2.7526315789473683,2.5,(-12.465685986335565+21.522601620878024j),7.358027093042614e-06
2.9,2.5,(-11.917560926573316-23.542557381096568j),6.922909561196236e-06
1.8684210526315788,2.5,(-16.7401885363402+9.72164000887024j),7.1704851851415275e-06
