ks,hs,E_ED,Infidelity
0.1,2.5,(-37.82948652894129+2.6223944929098953e-15j),2.7325649061923696e-07
0.24736842105263157,2.5,(-37.589695860330266+6.565220840919645e-15j),4.75049363260174e-07
0.39473684210526316,2.5,(-37.13738651616586+2.826596013881859e-15j),9.62205770608079e-07
0.5421052631578946,2.5,(-36.45416766782645+1.2157046438162945e-14j),5.255310526638218e-07
0.6894736842105262,2.5,(-35.50661752844447+7.82108543995884e-15j),1.2357840174794692e-06
0.8368421052631578,2.5,(-34.232309645938685+7.098504336134285e-15j),2.827922382697337e-06
0.9842105263157893,2.5,(-32.49349519968369-7.19214936576615e-14j),3.0190446367202943e-06
1.131578947368421,2.5,(-29.720622602655645-1.268471427227505e-13j),3.4330520438143603e-06
1.7210526315789474,2.5,(-22.09274931741134+9.755902263547675j),6.6036122350933974e-06
1.5736842105263158,2.5,(-23.38995583576537+7.36948439897348j),7.426529159143282e-06
1.2789473684210526,2.5,(-26.657831526294697+2.538238496020714j),6.89431829698292e-06
1.4263157894736842,2.5,(-24.87006065197479-4.978743756138471j),8.763302312999845e-06
2.163157894736842,2.5,(-18.87470376513984+16.992547926196007j),6.170581298383553e-06
2.0157894736842104,2.5,(-19.858537028254556-14.563384179331377j),1.0611929107302434e-05
2.3105263157894735,2.5,(-17.961858274288982+19.440767883957502j),6.978905800629905e-06
1.8684210526315788,2.5,(-20.92523581169113-12.15202540928895j),7.259259889836483e-06
2.457894736842105,2.5,(-17.11198959120806-21.908653009599732j),7.990522008236507e-06
2.7526315789473683,2.5,(-15.582107488423823-26.90325202529217j),7.368757938051417e-06
2.6052631578947367,2.5,(-16.31982700952253+24.39631320998357j),7.338757938051417e-06
2.9,2.5,(-14.896951158151378-29.428196725087112j),7.923759203230773e-06
