N,h,k,energy
5,0.5,0.03157894736842105,-22.07965027306073 + 0.7396722754552009im
5,0.5,0.0631578947368421,-22.075237682518065 - 1.4796897085751792im
5,0.5,0.09473684210526315,-22.067995773699707 + 2.2203767980210127im
5,0.5,0.1263157894736842,-22.058079272342585 + 2.96202104320181im
5,0.5,0.15789473684210525,-22.045681374077112 - 3.704863285274337im
5,0.5,0.1894736842105263,-22.03101797563941 + 4.4490946758159975im
5,0.5,0.22105263157894736,-22.014314087608746 - 5.194858678324796im
5,0.5,0.25263157894736843,-21.995793446663946 + 5.94225610030237im
5,0.5,0.28421052631578947,-21.97567135602117 + 6.6913514822018065im
5,0.5,0.3157894736842105,-21.954150248634704 + 7.4421796642276im
5,0.5,0.34736842105263155,-21.93141730456973 - 8.194751866471655im
5,0.5,0.37894736842105264,-21.90764361531345 - 8.949061053098964im
5,0.5,0.41052631578947363,-21.882984252894538 + 9.705086359198168im
5,0.5,0.44210526315789467,-21.85757900595256 + 10.46279672789672im
5,0.5,0.4736842105263158,-21.831553438841166 + 11.222153783713317im
5,0.5,0.5052631578947369,-21.80502011466363 - 11.983114072932917im
5,0.5,0.5368421052631579,-21.778079856757113 + 12.745630777066163im
5,0.5,0.5684210526315789,-21.750822973856845 - 13.509655006099154im
5,0.5,0.6,-21.723330400708473 - 14.275136756218066im
5,1.5,0.03157894736842105,-39.27480231653267 - 1.3156142841808105e-14im
5,1.5,0.0631578947368421,-39.035093625714616 - 2.6825763832505345e-14im
5,1.5,0.09473684210526315,-38.536338309069656 + 0.3183984990395583im
5,1.5,0.1263157894736842,-38.34253970406114 + 0.706563471920588im
5,1.5,0.15789473684210525,-38.08668820429448 - 1.076146850133143im
5,1.5,0.1894736842105263,-37.819979473574136 + 1.4833071055477194im
5,1.5,0.22105263157894736,-37.55312773257424 + 1.9217057334330003im
5,1.5,0.25263157894736843,-37.28650266839204 + 2.3857851639895022im
5,1.5,0.28421052631578947,-37.02015962808503 + 2.8731463509848973im
5,1.5,0.3157894736842105,-36.75474689692357 - 3.3818863538393638im
5,1.5,0.34736842105263155,-36.490891205904944 + 3.9102205250729707im
5,1.5,0.37894736842105264,-36.229115439241646 + 4.456556827935812im
5,1.5,0.41052631578947363,-35.96986854862187 + 5.019464874949664im
5,1.5,0.44210526315789467,-35.713520228229456 + 5.597635668852219im
5,1.5,0.4736842105263158,-35.46035218703667 - 6.189869806960067im
5,1.5,0.5052631578947369,-35.21056321391554 - 6.795077705519417im
5,1.5,0.5368421052631579,-34.964283956463206 - 7.412278301338795im
5,1.5,0.5684210526315789,-34.721593972453604 + 8.040592801017185im
5,1.5,0.6,-34.48253657493328 + 8.679234591192758im
