N,h,k,energy
4,2.0,0.03157894736842105,-33.08870631229828 - 6.8903491625501165e-15im
4,2.0,0.0631578947368421,-33.017643317041234 + 5.773159728050814e-15im
4,2.0,0.09473684210526315,-32.892366097813124 - 1.1102230246251565e-15im
4,2.0,0.1263157894736842,-32.697249088675036 - 8.311462706148172e-15im
4,2.0,0.15789473684210525,-32.38062817154658 - 1.3322676295501878e-15im
4,2.0,0.1894736842105263,-31.881993494732644 - 0.367236443980854im
4,2.0,0.22105263157894736,-31.731411929674 - 0.7061821759449796im
4,2.0,0.25263157894736843,-31.561469183487368 + 0.9925941478302498im
4,2.0,0.28421052631578947,-31.377703548420538 + 1.2783087565433817im
4,2.0,0.3157894736842105,-31.18755257260107 - 1.5767668906218901im
4,2.0,0.34736842105263155,-30.997656068679984 + 1.8903155673770988im
4,2.0,0.37894736842105264,-30.81148814676881 + 2.2167772579098317im
4,2.0,0.41052631578947363,-30.62966484533512 - 2.5534752734360544im
4,2.0,0.44210526315789467,-30.45160987524198 - 2.898699203644101im
4,2.0,0.4736842105263158,-30.27666177338397 + 3.2515624260432623im
4,2.0,0.5052631578947369,-30.104390473172643 - 3.6115586071625296im
4,2.0,0.5368421052631579,-29.934561778563225 + 3.9782960596888106im
4,2.0,0.5684210526315789,-29.767042273844893 + 4.351405815673171im
4,2.0,0.6,-29.601737255982417 + 4.730530384137767im
