N,h,k,energy,variance,magx,magz
6,2.25,0.03157894736842105,-83.07567133683303 - 1.6336394043081626e-12im,4.779310984304175e-6,0.9701888069297664,1.438409113012642e-12
6,2.25,0.15789473684210525,-82.20307390643278 + 7.036773386204231e-10im,5.532673640118446e-6,0.9580300180120128,-1.2380070959763785e-10
6,2.25,0.47368421052631576,-76.15512838065978 + 4.815093552098322im,5.896346010558773e-6,0.8553677808362381,-0.2823665971909574
6,2.25,0.3157894736842105,-78.91437395062734 - 1.4892106452483027im,8.733060894883238e-6,0.9078217587251982,0.1309953808320279
6,2.0,0.47368421052631576,-68.14164259693955 + 7.302099063699549im,4.327293027017731e-6,0.8090620913273171,-0.42820951299472804
6,2.0,0.03157894736842105,-74.360767317577 - 8.41050493138873e-12im,1.2139467798988335e-5,0.9592967507491053,7.381088728505611e-12
6,2.0,0.15789473684210525,-72.56684312826829 + 0.5254327681442206im,2.2775152501708362e-5,0.9255888525642588,-0.09243724624758748
6,2.0,0.3157894736842105,-70.21336950406118 + 3.537519413320183im,1.0313610800949391e-5,0.8669114384282446,-0.31117068913464774
6,2.25,0.0631578947368421,-82.97326129554367 + 1.7068011934351368e-11im,4.875662853009999e-6,0.9687719412390161,-7.511366317794578e-12
6,2.25,0.5052631578947369,-75.64916903883633 - 5.557947087522104im,5.221597348281648e-6,0.8450133885176078,0.3055584336311367
6,2.25,0.1894736842105263,-81.74575496014526 + 4.1067431677532795e-9im,6.05540208198363e-6,0.9515582345680832,-6.020581250316747e-10
6,2.25,0.34736842105263155,-78.32121068491487 - 2.0916821180954983im,8.375768629775848e-6,0.8973264111474758,0.1672641424402962
6,2.0,0.5052631578947369,-67.75018434961163 - 8.112116261822854im,3.6385845305630937e-6,0.7981525262562498,0.4459786139312362
6,2.0,0.0631578947368421,-74.18820884691189 + 3.883591365161365e-11im,1.2641443390748464e-5,0.9563612463954654,-1.7084166023434125e-11
6,2.0,0.1894736842105263,-72.08454561067963 + 1.0307142282905168im,1.7254272279387806e-5,0.915343544613362,-0.15110779581420944
6,2.0,0.34736842105263155,-69.78106836992427 + 4.245922417040148im,8.770599379204214e-6,0.8549232097014815,-0.3395308330124652
6,2.25,0.09473684210526315,-82.79891942969084 + 7.352101566437952e-12im,5.022192453907337e-6,0.9663543129359634,-2.1544864916829874e-12
6,2.25,0.5368421052631579,-75.15450282760541 - 6.320811221385705im,4.813162377104163e-6,0.8347630282108897,0.32705722550744
6,2.25,0.22105263157894736,-81.1086095264804 + 1.1974025160288448e-8im,7.034534974081907e-6,0.9423544368304374,-1.5046768394037248e-9
6,2.25,0.3789473684210526,-77.75463603757748 - 2.7297802071057475im,7.83441100793425e-6,0.8868261958975588,0.20009962937889755
6,2.0,0.5368421052631579,-67.36492808432403 - 8.93771389622701im,3.0349792723427527e-6,0.7874579973412994,0.4624634096631656
6,2.0,0.09473684210526315,-73.87520682912526 - 2.9018074054754095e-10im,1.3635258255817462e-5,0.9509482949230088,8.508842417762952e-11
6,2.0,0.22105263157894736,-71.58702219736603 + 1.593961548998557im,1.58290295075858e-5,0.9034556450764294,-0.20029940099849686
6,2.0,0.3789473684210526,-69.35871709239657 + 4.97889333901707im,7.359247319982387e-6,0.8431284257533433,-0.3649651753137512
6,2.25,0.1263157894736842,-82.54616046262372 - 9.154163885249922e-11im,5.2547629820765e-6,0.9628356710176749,2.0129804590931806e-11
6,2.25,0.5684210526315789,-74.67011041970412 - 7.102060702990012im,4.073997843079269e-6,0.824628394180581,0.34706572365435007
6,2.0,0.5684210526315789,-66.98546514881413 - 9.777839620346153im,2.5282752176281065e-6,0.7769711565323364,0.4778265246568362
6,2.25,0.41052631578947363,-77.20627619329515 - 3.3982381787494003im,7.261535756697413e-6,0.8763070752723481,0.22993776850512532
6,2.25,0.25263157894736843,-80.00503091243851 + 0.4431968580806078im,0.004329946517827921,0.9251350843622682,-0.048731136015809
6,2.0,0.1263157894736842,-73.33361706729231 + 1.1964279150733503e-9im,1.580952539370628e-5,0.9411604961220932,-2.6310565749410905e-10
6,2.0,0.25263157894736843,-71.11360818415777 + 2.2076087993494653im,1.3970402505947277e-5,0.8912639334825402,-0.24273476381736409
6,2.0,0.41052631578947363,-68.94525508429057 - 5.733908276633335im,6.156009476399049e-6,0.8315487485357356,0.3879781241311706
6,2.25,0.6,-74.19510308566242 + 7.900262477001796im,3.5870898500434123e-6,0.8146170403932503,-0.3657528924537866
6,2.0,0.6,-66.61145360257827 - 10.631571471242534im,2.1003224901505746e-6,0.7666842634727037,0.49220238292789187
6,2.25,0.4421052631578947,-76.67367157027408 + 4.094337301710027im,6.593481884920038e-6,0.8658081553434415,-0.2572500288772859
6,2.25,0.28421052631578947,-79.53171973227066 + 0.9473215462743507im,8.972059731604531e-6,0.9180323969061619,-0.0925880112099458
6,2.0,0.28421052631578947,-70.657000916529 - 2.8568234093049227im,1.2130169125157408e-5,0.8790507838485584,0.27921627971601465
6,2.0,0.4421052631578947,-68.53980183481971 - 6.508883878819137im,5.125280949869193e-6,0.8201929496786681,0.4089576511162841
