ks,hs,E_ED,E_SR,E_Adam
2.1979220387136813,0.26123827466610106,(-5.058928675652467-21.850664077160463j),(-5.0589405305512-21.85067731996176j),(-5.059118738200019-21.851061830012394j)
2.169472879089894,0.3387268181956459,(-5.101713262903683+21.47686372901978j),(-5.10175539968676-21.476858450754392j),(-5.101491980709244-21.47727988962832j)
2.822492545027553,1.3453025702729446,(-6.164298826523422-25.36480923851071j),(-6.164200903247581-25.364928817761754j),(-6.168266051744112-25.384526805187456j)
0.5844789532686592,2.18456303582828,(-20.72410079627237+3.230721618552845e-15j),(-20.724113578938983+1.3655287730712758e-05j),(-20.724091281850185-0.00012478706978443947j)
2.999871864302592,2.1398487217572786,(-8.132801866146703-23.13269885037357j),(-8.132766366782738-23.132263719820543j),(-8.153451384562487-23.178174469144928j)
0.5079300941432401,2.6531039924745468,(-26.013497612939-1.3578154032971472e-15j),(-26.013506185215935-9.415739857863607e-06j),(-26.013283228786733-0.0002503811092404362j)
1.4491786295733173,1.884612376887608,(-11.281904471838239-7.777829360271962j),(-11.28201231324603-7.7771832373821255j),(-11.340864967883816-7.892691151206993j)
1.986460274635189,2.2263653092901676,(-11.47766888931078-11.284858022713474j),(-11.477637521560093-11.285571617974945j),(-11.686933789008101-11.160786895199548j)
1.1544999627396393,2.9024489795664223,(-25.397374972219854+1.4363942787941868e-14j),(-25.39752294359976+1.7444061243622286e-05j),(-25.39373559170612+0.005087990139713362j)
2.235070787021102,2.2130304095519815,(-10.507028239347033+14.089757806286348j),(-10.50738636857505-14.089252158081287j),(-10.614353098716917-13.967835488376737j)
1.0942180631563962,2.4855678106650974,(-20.181883668200435-5.472921407378549e-15j),(-18.77516256590947-0.023057365398440582j),(-18.076999178073407-0.11312602693909628j)
1.947857967059322,0.4644886231268842,(-5.230118214239546+19.04235772047899j),(-5.230138758843427-19.042354782088587j),(-5.225802739474123-19.04338103047322j)
2.119891892235421,0.8477188941889626,(-5.701275929795069-19.827205739676764j),(-5.701254352646408-19.827176456718078j),(-5.700910787944319-19.826668539849194j)
1.932676093526846,1.9404730154392482,(-9.944016785304491-12.540113367691486j),(-9.943981205895488-12.540535849102739j),(-10.04451730709474-12.45786063345891j)
2.5745095309560546,0.913335992235949,(-5.5883811559965935+24.337119436412962j),(-5.5884617835571415-24.337213857438446j),(-5.586076166583605-24.33794128999546j)
1.8878238947457668,0.9819212196754838,(-6.153191475160082+16.943062687960662j),(-6.15318466353963-16.943022657350145j),(-6.14176237520598-16.941350746755198j)
0.9351002776598657,0.8730987265371749,(-6.957480897514093+7.638535145087532j),(-6.957401748336112-7.638522701767653j),(-6.9823964788094655-7.632775801728684j)
0.9943204638981757,2.4509624413195215,(-20.890656314340678-1.9498709800751934e-14j),(-20.890988261524026+0.00013530097416740883j),(-20.885278452841543+0.002124510297459087j)
0.9993348906943506,1.577302818623922,(-10.871262381839953+5.021704947730471j),(-10.870678908622708-5.021632900322745j),(-10.849278302310875-5.070754085636689j)
2.5253656045815096,2.486510892904519,(-11.082631848387877+15.45812233695692j),(-11.082491868867567-15.458458678946059j),(-8.295451467109483-11.280713724406356j)
