Es_NH,Es_H,fidelity_GS_NH,fidelity_GS_H
-29.159712014677954,-29.977746270415544,0.9693792440993786,1.0000000000000033
-29.073946637283097,-29.88683717870456,0.9708006349697857,0.9999999999999998
-28.98818125988824,-29.79592808699358,0.9722404696762358,0.9999999999999936
-28.902415882493383,-29.705018995282597,0.9736974534109127,1.0000000000000004
-28.816650505098526,-29.614109903571613,0.9751700073040336,0.9999999999999989
-28.730885127703672,-29.523200811860633,0.9766562255021387,1.000000000000001
-28.645119750308815,-29.43229172014965,0.9781538261016519,1.0000000000000022
-28.55935437291396,-29.341382628438666,0.9796600950896454,1.0000000000000002
-28.4735889955191,-29.250473536727686,0.9811718223405007,1.0000000000000042
-28.387823618124244,-29.159564445016702,0.9826852286073996,1.000000000000001
-28.302058240729387,-29.06865535330572,0.9841958823332888,1.0000000000000009
-28.21629286333453,-28.97774626159474,0.9856986049907092,0.9999999999999998
-28.130527485939673,-28.886837169883755,0.987187363549083,0.9999999999999989
-28.044762108544816,-28.79592807817277,0.9886551485699108,0.9999999999999967
-27.95899673114996,-28.70501898646179,0.9900938363559892,0.9999999999999998
-27.873231353755102,-28.614109894750808,0.9914940335467318,0.9999999999999998
-27.78746597636025,-28.523200803039828,0.9928449025798189,0.9999999999999993
-27.70170059896539,-28.432291711328844,0.9941339665594074,1.0000000000000013
-27.615935221570535,-28.34138261961786,0.9953468923228174,1.0000000000000027
-27.530169844175678,-28.250473527906877,0.9964672509314131,0.9999999999999993
-27.44440446678082,-28.159564436195897,0.9974762554934888,1.0000000000000024
-27.358639089385964,-28.068655344484913,0.9983524772380751,0.9999999999999947
-27.272873711991107,-27.977746252773933,0.9990715421968922,1.000000000000001
-27.18710833459625,-27.88683716106295,0.9996058128342029,1.0000000000000002
-27.101342957201396,-27.795928069351966,0.99992406161733,0.9999999999999978
-27.01557757980654,-27.705018977640986,0.9999911469813163,0.9999999999999973
-26.929812202411682,-27.614109885930002,0.999767706529602,0.9999999999999998
-26.844046825016825,-27.52320079421902,0.9992098877192689,0.9999999999999984
-26.758281447621968,-27.43229170250804,0.9982691427099832,1.0000000000000038
-26.67251607022711,-27.341382610797055,0.9968921213875519,1.0000000000000038
-26.586750692832254,-27.25047351908607,0.9950207044657421,1.0000000000000016
-26.500985315437397,-27.15956442737509,0.9925922263812531,1.0000000000000009
-26.41521993804254,-27.068655335664108,0.989539944378232,1.0000000000000033
-26.329454560647683,-26.977746243953124,0.9857938141954461,1.0000000000000018
-26.243689183252826,-26.886837152242144,0.9812816320723092,0.9999999999999987
-26.15792380585797,-26.79592806053116,0.9759305948986948,0.9999999999999976
-26.072158428463116,-26.705018968820177,0.9696693126048875,1.0000000000000016
-25.98639305106826,-26.614109877109197,0.9624302770185791,1.0000000000000038
-25.9006276736734,-26.523200785398213,0.9541527482322171,0.9999999999999976
-25.814862296278545,-26.43229169368723,0.9447859639560791,0.9999999999999998
-25.729096918883688,-26.34138260197625,0.934292513433628,1.0000000000000027
-25.64333154148883,-26.250473510265266,0.9226516530567977,1.0000000000000062
-25.557566164093974,-26.159564418554282,0.9098622872235056,1.000000000000001
-25.471800786699117,-26.068655326843302,0.8959453087356062,1.0000000000000016
-25.386035409304263,-25.97774623513232,0.880945000952437,0.9999999999999991
-25.300270031909406,-25.88683714342134,0.8649292572783076,1.0000000000000027
-25.21450465451455,-25.795928051710355,0.8479884723770722,0.9999999999999991
-25.128739277119692,-25.70501895999937,0.8302330933227214,0.9999999999999993
-25.042973899724835,-25.614109868288388,0.81178996750546,0.9999999999999996
-24.957208522329978,-25.523200776577408,0.7927977615847186,0.9999999999999978
-24.87144314493512,-25.432291684866424,0.7734018268675107,6.332314700548925e-25
-24.785677767540264,-25.341382593155444,0.7537489333469418,3.120289857535575e-26
-24.699912390145407,-25.25047350144446,0.7339822814157284,4.612877895623382e-28
-24.61414701275055,-25.159564409733477,0.7142371339987823,2.999253026224331e-26
-24.528381635355693,-25.068655318022493,0.6946373094942261,1.0402585669161204e-28
-24.442616257960836,-24.977746226311513,0.6752926590052583,2.5538836879488254e-27
-24.356850880565982,-24.88683713460053,0.6562975402944025,2.725337831799762e-27
-24.271085503171125,-24.79592804288955,0.6377302107286723,1.9327539023754582e-27
-24.18532012577627,-24.705018951178566,0.6196530000199936,5.035707840359925e-28
-24.09955474838141,-24.614109859467582,0.6021130917595336,3.2602299332711573e-29
-24.013789370986554,-24.5232007677566,0.5851437365573453,1.0837734606615268e-27
-23.928023993591697,-24.43229167604562,0.5687657323262197,1.0464603246477808e-28
-23.84225861619684,-24.341382584334635,0.5529890316026471,2.3516086103454313e-30
-23.756493238801987,-24.250473492623655,0.5378143653454222,4.013392816670125e-28
