ks,Gs_exact,E_estimate
0.1,(-4.05002126793245+3.3207119981235456e-16j),(-4.049838497410272-0.0001403430167191103j)
0.2,(-3.919360354538473+2.6604595885134476e-16j),(-3.919863034660192-0.00021923802079461035j)
0.30000000000000004,(-3.64725788489729+3.9880373534003554e-16j),(-3.6471933899360267+0.000516323707646226j)
0.4,(-3.2075620409898375-0.3005729462938338j),(-3.2091342693175244-0.30105991351130473j)
0.5,(-2.9593468485769305-0.6939912164772124j),(-2.9594538845055385-0.6937484938775834j)
0.6,(-2.7701715627751913+1.0854723959480295j),(-2.7701481049862715-1.0854749540128694j)
0.7000000000000001,(-2.6065299500287145+1.484531766044702j),(-2.6065418862051466-1.4845360792694209j)
0.8,(-2.462356639829085-1.8901751914689737j),(-2.4623535237495817-1.8901714824485227j)
0.9,(-2.332738060423303+2.3018727987809013j),(-2.3327523874223424-2.301876549671508j)
1.0,(-2.2151507874645833-2.71932013474595j),(-2.215154857370905-2.7193107065871653j)
