ks,Gs_exact,E_estimate
0.0,(-4.601834674390033-2.1939654605996425e-17j),(-4.566472714738839-3.5990409099188146e-05j)
0.010101010101010102,(-4.6013770081757706+1.1558721447841905e-16j),(-4.595160961196104-0.0007413601130688542j)
0.020202020202020204,(-4.600003143238128-1.5777671741147499e-16j),(-4.597716039219572-0.0018839522600363407j)
0.030303030303030304,(-4.597710470667438-3.2683481352916997e-16j),(-4.59854593358385-0.00032579941310433344j)
0.04040404040404041,(-4.594494608572239+7.034183889239984e-17j),(-4.593998102065217-0.0002576296766550763j)
0.05050505050505051,(-4.590349350480001+7.722886688480351e-16j),(-4.589042910853865+0.00029874618568207043j)
0.06060606060606061,(-4.58526659096725+4.699211669101793e-17j),(-4.582567085374104+0.00045779329148645906j)
0.07070707070707072,(-4.579236226245812+6.637504987927846e-17j),(-4.576347108097576-0.0009632622948508348j)
0.08080808080808081,(-4.572246026565453-3.4925988526451547e-16j),(-4.5731058546352275-0.00047510791800679385j)
0.09090909090909091,(-4.564281476236809+1.2556740917916845e-16j),(-4.566798878791184+0.00030139247292972006j)
0.10101010101010102,(-4.55532557575322-1.2162040007228023e-15j),(-4.557836699364658+0.00024249821091096004j)
0.11111111111111112,(-4.545358598795005-7.508604430341381e-16j),(-4.5475336636807935+0.0035972326035280428j)
0.12121212121212122,(-4.534357794681545+1.4305564543746557e-16j),(-4.53978068637857-0.0005105440682914966j)
0.13131313131313133,(-4.522297023889381-6.074826118033131e-16j),(-4.524819902768704-0.0010454913919034164j)
0.14141414141414144,(-4.509146310268121+1.7525679308332184e-17j),(-4.512065628999455+0.0008846465586404233j)
0.15151515151515152,(-4.494871288106273-1.4520817918630132e-15j),(-4.4978952980788085+4.778124348598746e-05j)
0.16161616161616163,(-4.479432514534622+7.693340739257453e-18j),(-4.482579061402443+0.0006376372507971085j)
0.17171717171717174,(-4.462784606841372-1.0393455968372677e-15j),(-4.4680844998684845+0.0012984785399112254j)
0.18181818181818182,(-4.444875148425005+7.922749100999042e-16j),(-4.447593306833869+0.0014389286388669274j)
0.19191919191919193,(-4.425643283596322+1.8354739805585947e-17j),(-4.424670945638626-0.0012092649038675223j)
0.20202020202020204,(-4.405017885716807+1.3880362705113816e-16j),(-4.407040238794172-0.0005476021587856775j)
0.21212121212121213,(-4.382915127408152-7.355332742005058e-16j),(-4.383753375708259+0.0010787382875122782j)
0.22222222222222224,(-4.359235191894039+3.180270040399278e-17j),(-4.36207860709681+0.00022475581448588603j)
0.23232323232323235,(-4.333857715201148+1.4140756323876771e-15j),(-4.334608894034674+0.0006165252096778218j)
0.24242424242424243,(-4.306635290067989+1.5102897465916628e-16j),(-4.310488166799104+0.008775694490927473j)
0.25252525252525254,(-4.277383891950641-5.794869421062823e-16j),(-4.275385873647637-4.973300018267478e-05j)
0.26262626262626265,(-4.2458681830794305+3.4540888544011066e-17j),(-4.245328308918697-0.0015642674429672814j)
0.27272727272727276,(-4.211777788774892-1.067376716427048e-15j),(-4.201749148588937-0.0008924243042155353j)
0.2828282828282829,(-4.174686467363757-1.5283890083799248e-15j),(-4.175151530168654-0.0015899018355854853j)
0.29292929292929293,(-4.133975659765551+2.993203840614932e-15j),(-4.137745433957698+0.01230715298797484j)
0.30303030303030304,(-4.0886736635228385-2.1508519896852527e-15j),(-4.089256651171778+0.0007986935730141045j)
0.31313131313131315,(-4.037053226336613+7.575207867008965e-16j),(-4.0109630836694175+0.01733550512584692j)
0.32323232323232326,(-3.9752781666288737+4.295489761030463e-15j),(-3.9349073233954384+0.0492722755897747j)
0.33333333333333337,(-3.887902078530255+2.4173371637736807e-15j),(-3.8731467389610317+0.02685754398046868j)
0.3434343434343435,(-3.802068793718723-0.08832759897135833j),(-3.8378190975350734+0.12966378753678456j)
0.3535353535353536,(-3.769043260713443+0.14148911175600754j),(-3.8109581397530703+0.11581081260198539j)
0.36363636363636365,(-3.734263167151081+0.18477274041833436j),(-3.7520509527694386+0.19012431413566877j)
0.37373737373737376,(-3.69798320742556-0.2254710882293825j),(-3.7389149624606923+0.23423510976759399j)
0.38383838383838387,(-3.660835068726109+0.2664225462377828j),(-3.6586184384220934+0.26451333560545154j)
0.393939393939394,(-3.6239033948471944-0.309009192657514j),(-3.64482576298389+0.291527530853088j)
0.4040404040404041,(-3.5884392145937714-0.3534691264835204j),(-3.5331770880468927+0.3191528418057294j)
0.4141414141414142,(-3.555253090221581-0.39916110040430874j),(-3.595815645520728+0.3718968510657331j)
0.42424242424242425,(-3.5244221865036907+0.4452182452407438j),(-3.5381758324083057+0.45999883239486106j)
0.43434343434343436,(-3.4955556368606593+0.49105262321589355j),(-3.534176089752139+0.4251933808774699j)
0.4444444444444445,(-3.468163580759361-0.5364266421577337j),(-3.4974024251894065+0.5190487352850409j)
0.4545454545454546,(-3.4418396277538488+0.5813257888566907j),(-3.454865936103567+0.5818590923598753j)
0.4646464646464647,(-3.416297382436944+0.6258372538060653j),(-3.431210141118801+0.6277786032617905j)
0.4747474747474748,(-3.391352494983282-0.6700789748740851j),(-3.415631102627067+0.6974777370908606j)
0.48484848484848486,(-3.366894952896614-0.714165322525471j),(-3.3960403840281583+0.7296462010380806j)
0.494949494949495,(-3.3428650084259472-0.7581926273147906j),(-3.3499760873194773+0.7575798804507521j)
0.5050505050505051,(-3.319234803569241-0.8022345937926332j),(-3.3209588182663685+0.7882906140498843j)
0.5151515151515152,(-3.2959949373934805-0.8463426207738671j),(-3.2877671693512722+0.8487788601713198j)
0.5252525252525253,(-3.2731449499138208-0.8905485745269424j),(-3.272651497411038+0.9021650817831046j)
0.5353535353535354,(-3.2506869198561783+0.9348686864586466j),(-3.2632769625981655+0.9328580100503217j)
0.5454545454545455,(-3.228621549698113-0.9793077437884263j),(-3.2204959145136307+0.975736386859881j)
0.5555555555555556,(-3.206946181611036-1.023863012505637j),(-3.198750492462813+1.0368100466369523j)
0.5656565656565657,(-3.185654213231926+1.0685275413751039j),(-3.1827358358814073+1.0778166521363772j)
0.5757575757575758,(-3.1647354207346643+1.113292683245004j),(-3.163327875253055+1.11944307143638j)
0.5858585858585859,(-3.1441767707550734-1.1581498247644744j),(-3.142593240146745+1.164764740685053j)
0.595959595959596,(-3.123963404019936-1.2030914216175916j),(-3.132484221649016+1.2081939525477887j)
0.6060606060606061,(-3.104079580797071+1.2481114898818944j),(-3.101659184399058+1.2515292817515495j)
0.6161616161616162,(-3.08450947243802-1.2932057144563225j),(-3.07656574073213+1.2942369729703362j)
0.6262626262626263,(-3.0652377541351066+1.3383713180909758j),(-3.063814521695406+1.33247358433782j)
0.6363636363636365,(-3.0462500000798447+1.3836068042006666j),(-3.048952706432727+1.379872605818156j)
0.6464646464646465,(-3.0275329074046176-1.4289116540676574j),(-3.0257645881267368+1.4315310107516008j)
0.6565656565656566,(-3.009074385500173-1.474286030295207j),(-3.0090368828910075+1.472017413135851j)
0.6666666666666667,(-2.9908635481394024-1.5197305158802865j),(-2.988478736720965+1.5209065659904097j)
0.6767676767676768,(-2.972890641659714-1.5652459022031602j),(-2.9735241558857344+1.5663459435368723j)
0.686868686868687,(-2.9551469361918286+1.610833028666507j),(-2.9550013801739046+1.612629878654288j)
0.696969696969697,(-2.93762460033525-1.6564926703968543j),(-2.9350681061769843+1.6554179654476853j)
0.7070707070707072,(-2.920316573689059+1.7022254671372168j),(-2.9218343846857286+1.7021080035246483j)
0.7171717171717172,(-2.9032164466464088-1.748031885213378j),(-2.905129688724451+1.747221445792301j)
0.7272727272727273,(-2.8863183529381815-1.7939122044853335j),(-2.8842619892314465+1.7936930584486743j)
