h,k,r,M_z,M_z_err,c_r_z,c_r_z_err,cc_r_z,cc_r_z_err
2.75,0.25,0,(-0.240323486328125+0j),0.000655804994865449,(1+0j),,(0.9422328077442944+0j),(0.00022285193797693813+0j)
2.75,0.25,1,(-0.240323486328125+0j),0.000655804994865449,(0.1422674560546875+0j),(0.00028908730418397444+0j),(0.08451143930666148+0j),(0.0003098316342077351+0j)
2.75,0.25,2,(-0.240323486328125+0j),0.000655804994865449,(0.0761572265625+0j),(0.00020745359431223736+0j),(0.018402770329266786+0j),(0.0002219212763981033+0j)
2.75,0.25,3,(-0.240323486328125+0j),0.000655804994865449,(0.06392181396484375+0j),(0.00020697204886052482+0j),(0.00616610455326736+0j),(0.00022146615248853615+0j)
2.75,0.25,4,(-0.240323486328125+0j),0.000655804994865449,(0.0597979736328125+0j),(0.0002924195580406577+0j),(0.0020450067287310957+0j),(0.0003129419799855276+0j)
0.5,1.0,0,(-0.9713317871093751+0j),0.0007373428917059412,(1+0j),,(0.05651370635256171+0j),(0.0010128229203864405+0j)
0.5,1.0,1,(-0.9713317871093751+0j),0.0007373428917059412,(0.9694494628906251+0j),(0.0001166251553992573+0j),(0.025963922017253935+0j),(0.0005196818001456569+0j)
0.5,1.0,2,(-0.9713317871093751+0j),0.0007373428917059412,(0.9691799926757813+0j),(8.459390346823692e-05+0j),(0.025694553731009366+0j),(0.0003679603187434615+0j)
0.5,1.0,3,(-0.9713317871093751+0j),0.0007373428917059412,(0.9691525268554688+0j),(8.463377871708902e-05+0j),(0.02566727954428643+0j),(0.00036797127694326344+0j)
0.5,1.0,4,(-0.9713317871093751+0j),0.0007373428917059412,(0.9691839599609375+0j),(0.00011949829926116224+0j),(0.025698442701250317+0j),(0.0005203378349494823+0j)
