h,k,r,M_z,M_z_err,c_r_z,c_r_z_err,cc_r_z,cc_r_z_err
0.5,1.0,0,(-0.9852266311645508+0j),0.00018778904247560507,(1+0j),,(0.029328085292945616+0j),(0.000261647146472892+0j)
0.5,1.0,1,(-0.9852266311645508+0j),0.00018778904247560507,(0.9719152450561523+0j),(0.00011739815516163062+0j),(0.001243722923391033+0j),(0.0001757768766006565+0j)
0.5,1.0,2,(-0.9852266311645508+0j),0.00018778904247560507,(0.9718119303385416+0j),(9.581655369774715e-05+0j),(0.0011404514661990106+0j),(0.000143495708977039+0j)
0.5,1.0,3,(-0.9852266311645508+0j),0.00018778904247560507,(0.9717817306518555+0j),(0.0001185486581892892+0j),(0.001110226039600093+0j),(0.0001765476921156296+0j)
0.5,1.0,4,(-0.9852266311645508+0j),0.00018778904247560507,(0.9718914031982422+0j),(0.00023447242251737748+0j),(0.001220062025822699+0j),(0.00035133765615860874+0j)
2.75,0.25,0,(0.2377471923828125+0j),0.0008215038249389721,(1+0j),,(0.9434665128646884+0j),(0.0002762192242126568+0j)
2.75,0.25,1,(0.2377471923828125+0j),0.0008215038249389721,(0.14434528350830078+0j),(0.0003577805102705162+0j),(0.08782092098408611+0j),(0.00038351038621416156+0j)
2.75,0.25,2,(0.2377471923828125+0j),0.0008215038249389721,(0.0808417002360026+0j),(0.00029618294553614643+0j),(0.024318321113241836+0j),(0.0003169279612626317+0j)
2.75,0.25,3,(0.2377471923828125+0j),0.0008215038249389721,(0.0671529769897461+0j),(0.0003649105785714182+0j),(0.010631740093231201+0j),(0.00039017518819431846+0j)
2.75,0.25,4,(0.2377471923828125+0j),0.0008215038249389721,(0.0605621337890625+0j),(0.0007325813126827916+0j),(0.004038653569296002+0j),(0.000782927619781782+0j)
