h,k,r,M_z,M_z_err,c_r_z,c_r_z_err,cc_r_z,cc_r_z_err
0.5,1.0,0,0.9862442016601562,0.00037909892346493865,(1+0j),,(0.02731340005993843+0j),(0.0005283720318352494+0j)
0.5,1.0,1,0.9862442016601562,0.00037909892346493865,(0.972747802734375+0j),(0.0002656147761685932+0j),(6.981194019317627e-05+0j),(0.00037475586695092457+0j)
0.5,1.0,2,0.9862442016601562,0.00037909892346493865,(0.9726600646972656+0j),(0.0001880887253137771+0j),(-1.7346814274787903e-05+0j),(0.0002651900123721634+0j)
0.5,1.0,3,0.9862442016601562,0.00037909892346493865,(0.9726816813151041+0j),(0.00015356028023514557+0j),(4.662821690241495e-06+0j),(0.00021652161875160457+0j)
0.5,1.0,4,0.9862442016601562,0.00037909892346493865,(0.9726627894810267+0j),(0.00014215423561925248+0j),(-1.4593558652060371e-05+0j),(0.00020044655229579906+0j)
0.5,1.0,5,0.9862442016601562,0.00037909892346493865,(0.9726842244466145+0j),(0.00015355140875045973+0j),(6.457790732383728e-06+0j),(0.0002165087863033818+0j)
0.5,1.0,6,0.9862442016601562,0.00037909892346493865,(0.9726486206054688+0j),(0.00018834068024335782+0j),(-2.866983413696289e-05+0j),(0.00026537157725407785+0j)
0.5,1.0,7,0.9862442016601562,0.00037909892346493865,(0.97265625+0j),(0.00026600314231569087+0j),(-2.2394582629203796e-05+0j),(0.00037502016825915726+0j)
0.5,1.0,8,0.9862442016601562,0.00037909892346493865,(0.9726409912109375+0j),(0.0005321935816369098+0j),(-3.548711538314819e-05+0j),(0.0007502279224928074+0j)
2.75,0.25,0,(0.24075818061828613+0j),0.0004166388904101726,(1+0j),,(0.9420254691976879+0j),(0.00014186777590333583+0j)
2.75,0.25,1,(0.24075818061828613+0j),0.0004166388904101726,(0.1425027847290039+0j),(0.00018324062677470813+0j),(0.08453707906664931+0j),(0.00019649399820180537+0j)
2.75,0.25,2,(0.24075818061828613+0j),0.0004166388904101726,(0.07496070861816406+0j),(0.00013037266383996574+0j),(0.01699653168907389+0j),(0.00013968827437811643+0j)
2.75,0.25,3,(0.24075818061828613+0j),0.0004166388904101726,(0.061920166015625+0j),(0.00010641836025231975+0j),(0.0039558791462089475+0j),(0.0001140262003336744+0j)
2.75,0.25,4,(0.24075818061828613+0j),0.0004166388904101726,(0.05922303880964006+0j),(9.837957422288428e-05+0j),(0.0012591086675196753+0j),(0.00010543358565906614+0j)
2.75,0.25,5,(0.24075818061828613+0j),0.0004166388904101726,(0.05850036938985188+0j),(0.00010627698185626373+0j),(0.0005363983309507603+0j),(0.00011389520848909642+0j)
2.75,0.25,6,(0.24075818061828613+0j),0.0004166388904101726,(0.05832934379577637+0j),(0.00013015029231267574+0j),(0.0003647612893473706+0j),(0.0001394805435988487+0j)
2.75,0.25,7,(0.24075818061828613+0j),0.0004166388904101726,(0.05829024314880371+0j),(0.00018444374495852958+0j),(0.0003247142522013746+0j),(0.00019761463875060531+0j)
2.75,0.25,8,(0.24075818061828613+0j),0.0004166388904101726,(0.05851411819458008+0j),(0.0003684911682734305+0j),(0.0005496816302184016+0j),(0.00039487975039681267+0j)
