h,k,r,M_z,c_r_z,cc_r_z
2.75,0.25,0,0.23868094550238717,1.0,0.9430268221314893
2.75,0.25,1,0.23868094550238717,0.14102596706814235,0.08405679030693136
2.75,0.25,2,0.23868094550238717,0.0745908949110243,0.01762294318824489
2.75,0.25,3,0.23868094550238717,0.062231953938802084,0.005263742429411245
2.75,0.25,4,0.23868094550238717,0.05887179904513889,0.0019031406134470468
2.75,0.25,5,0.23868094550238717,0.0581300523546007,0.0011611003331684817
2.75,0.25,6,0.23868094550238717,0.056733025444878474,-0.000235660079245766
0.5,1.0,0,0.7855182223849826,1.0,0.3829563793260604
0.5,1.0,1,0.7855182223849826,0.9528783162434896,0.3358372778554137
0.5,1.0,2,0.7855182223849826,0.9521342383490669,0.3350951649772469
0.5,1.0,3,0.7855182223849826,0.9520365397135416,0.3349986383626755
0.5,1.0,4,0.7855182223849826,0.9520876142713759,0.3350496566498704
0.5,1.0,5,0.7855182223849826,0.9520848592122396,0.33504572254928966
0.5,1.0,6,0.7855182223849826,0.952056884765625,0.3350168699398637
