h,k,r,M_z,c_r_z,cc_r_z
2.75,0.25,0,0.2400250244140625,1.0,0.9423834908101708
2.75,0.25,1,0.2400250244140625,0.1428387451171875,0.08522631927859038
2.75,0.25,2,0.2400250244140625,0.07619781494140625,0.018585435575805605
2.75,0.25,3,0.2400250244140625,0.06368072509765625,0.006069023469462991
2.75,0.25,4,0.2400250244140625,0.0603082275390625,0.002697865506634116
0.5,1.0,0,0.972550048828125,1.0,0.0541458759829402
0.5,1.0,1,0.972550048828125,0.9694482421875,0.02359453508630395
0.5,1.0,2,0.972550048828125,0.9691989135742187,0.023345303020905702
0.5,1.0,3,0.972550048828125,0.9691644287109376,0.02331088706618175
0.5,1.0,4,0.972550048828125,0.96917236328125,0.023318921560421587
